SSC_NAME16	Address1YearAgo	persons
Arrawarra Headland	Northern Territory	6
Arrawarra Headland	Queensland	6
Arrawarra Headland	Victoria	3
Artarmon	(Overseas)	399
Artarmon	(Same Address)	7004
Artarmon	(Same SA2)	238
Artarmon	Australian Capital Territory	10
Artarmon	New South Wales	997
Artarmon	Queensland	22
Artarmon	South Australia	4
Artarmon	Victoria	28
Artarmon	Western Australia	7
Arthurville	(Same Address)	36
Arumpo	(Same Address)	32
Ashbury	(Overseas)	23
Ashbury	(Same Address)	2870
Ashbury	(Same SA2)	24
Ashbury	New South Wales	177
Ashbury	South Australia	5
Ashbury	Victoria	6
Ashby (NSW)	(Same Address)	248
Ashby (NSW)	New South Wales	34
Ashby (NSW)	Queensland	3
Ashby Heights	(Same Address)	170
Ashby Heights	New South Wales	27
Ashby Heights	Victoria	5
Ashby Island	(Same Address)	8
Ashcroft	(Overseas)	16
Ashcroft	(Same Address)	2685
Ashcroft	(Same SA2)	66
Ashcroft	New South Wales	274
Ashcroft	Northern Territory	3
Ashcroft	Queensland	3
Ashcroft	Victoria	6
Ashcroft	Western Australia	8
Ashfield (NSW)	(Overseas)	1275
Ashfield (NSW)	(Same Address)	16837
Ashfield (NSW)	(Same SA2)	896
Ashfield (NSW)	Australian Capital Territory	22
Ashfield (NSW)	New South Wales	2415
Ashfield (NSW)	Queensland	49
Ashfield (NSW)	South Australia	32
Ashfield (NSW)	Tasmania	13
Ashfield (NSW)	Victoria	66
Ashfield (NSW)	Western Australia	19
Ashford (NSW)	(Same Address)	505
Ashford (NSW)	(Same SA2)	15
Ashford (NSW)	New South Wales	36
Ashford (NSW)	Northern Territory	6
Ashford (NSW)	Queensland	14
Ashley	(Same Address)	296
Ashley	(Same SA2)	25
Ashley	New South Wales	16
Ashmont	(Overseas)	9
Ashmont	(Same Address)	2790
Ashmont	(Same SA2)	153
Ashmont	Australian Capital Territory	3
Ashmont	New South Wales	370
Ashmont	Queensland	13
Ashmont	South Australia	5
Ashmont	Victoria	14
Ashtonfield	(Overseas)	15
Ashtonfield	(Same Address)	3729
Ashtonfield	(Same SA2)	197
Ashtonfield	New South Wales	309
Ashtonfield	Northern Territory	4
Ashtonfield	Queensland	21
Ashtonfield	Victoria	16
Ashtonfield	Western Australia	8
Asquith	(Overseas)	51
Asquith	(Same Address)	2657
Asquith	(Same SA2)	71
Asquith	New South Wales	357
Asquith	Victoria	10
Atholwood	(Same Address)	73
Attunga	(Same Address)	470
Attunga	(Same SA2)	20
Attunga	New South Wales	29
Auburn (NSW)	(Overseas)	2043
Auburn (NSW)	(Same Address)	27581
Auburn (NSW)	(Same SA2)	1244
Auburn (NSW)	Australian Capital Territory	9
Auburn (NSW)	New South Wales	2854
Auburn (NSW)	Northern Territory	13
Auburn (NSW)	Queensland	75
Auburn (NSW)	South Australia	99
Auburn (NSW)	Tasmania	13
Auburn (NSW)	Victoria	126
Auburn (NSW)	Western Australia	78
Auburn Vale	(Same Address)	94
Auburn Vale	New South Wales	18
Austinmer	(Overseas)	34
Austinmer	(Same Address)	1996
Austinmer	(Same SA2)	98
Austinmer	New South Wales	179
Austinmer	Northern Territory	3
Austinmer	Queensland	11
Austinmer	Victoria	10
Austral	(Overseas)	11
Austral	(Same Address)	2397
Austral	(Same SA2)	39
Austral	New South Wales	188
Austral	Queensland	4
Austral Eden	(Same Address)	123
Austral Eden	New South Wales	3
Avalon Beach	(Overseas)	110
Avalon Beach	(Same Address)	7945
Avalon Beach	(Same SA2)	419
Avalon Beach	Australian Capital Territory	6
Avalon Beach	New South Wales	627
Avalon Beach	Queensland	10
Avalon Beach	Victoria	12
Avalon Beach	Western Australia	18
Avisford	(Same Address)	24
Avoca (NSW)	(Same Address)	168
Avoca (NSW)	(Same SA2)	3
Avoca (NSW)	New South Wales	13
Avoca Beach	(Overseas)	37
Avoca Beach	(Same Address)	3679
Avoca Beach	(Same SA2)	154
Avoca Beach	New South Wales	334
Avoca Beach	Queensland	7
Avoca Beach	South Australia	3
Avoca Beach	Victoria	4
Avoca Beach	Western Australia	3
Avondale (NSW)	(Overseas)	9
Avondale (NSW)	(Same Address)	1310
Avondale (NSW)	(Same SA2)	46
Avondale (NSW)	New South Wales	132
Avondale (NSW)	Queensland	3
Avonside	(Same Address)	94
Avonside	(Same SA2)	6
Avonside	New South Wales	5
Awaba	(Same Address)	338
Awaba	(Same SA2)	9
Awaba	New South Wales	19
Aylmerton	(Same Address)	176
Aylmerton	New South Wales	11
Baan Baa	(Same Address)	122
Baan Baa	(Same SA2)	3
Baan Baa	New South Wales	5
Babyl Creek	(Same Address)	9
Back Creek (Bland - NSW)	(Same Address)	35
Back Creek (Bland - NSW)	New South Wales	4
Back Creek (Gwydir - NSW)	(Same Address)	13
Back Creek (Mid-Coast - NSW)	(Same Address)	20
Back Creek (Queanbeyan-Palerang Regional - NSW)	(Same Address)	4
Back Creek (Tenterfield - NSW)	(Same Address)	11
Back Creek (Tweed - NSW)	(Same Address)	9
Back Forest	(Same Address)	69
Back Forest	New South Wales	5
Backmede	(Same Address)	122
Backmede	New South Wales	10
Backwater	(Same Address)	8
Backwater	New South Wales	3
Badgerys Creek	(Same Address)	190
Badgerys Creek	New South Wales	10
Badgerys Creek	Victoria	4
Badgerys Creek	Western Australia	3
Badja	(Same Address)	6
Baerami	(Same Address)	54
Baerami Creek	(Same Address)	28
Baerami Creek	New South Wales	3
Bagnoo	(Same Address)	38
Bago	(Same Address)	22
Bago	New South Wales	3
Bagotville	(Same Address)	38
Bakers Creek (Mid-Coast - NSW)	(Overseas)	3
Bakers Creek (Mid-Coast - NSW)	(Same Address)	31
Bakers Creek (Nambucca - NSW)	(Same Address)	12
Bakers Creek (Uralla - NSW)	(Same Address)	10
Bakers Swamp	(Overseas)	3
Bakers Swamp	(Same Address)	31
Bakers Swamp	New South Wales	5
Balaclava (NSW)	(Same Address)	346
Balaclava (NSW)	(Same SA2)	21
Balaclava (NSW)	Australian Capital Territory	4
Balaclava (NSW)	New South Wales	52
Balaclava (NSW)	Tasmania	3
Balala	(Same Address)	104
Balala	(Same SA2)	3
Balala	New South Wales	3
Balcolyn	(Overseas)	4
Balcolyn	(Same Address)	726
Balcolyn	(Same SA2)	40
Balcolyn	New South Wales	97
Balcolyn	Queensland	7
Balcolyn	Victoria	3
Bald Blair	(Same Address)	32
Bald Blair	(Same SA2)	3
Bald Blair	New South Wales	3
Bald Hills (NSW)	(Same Address)	196
Bald Hills (NSW)	(Same SA2)	20
Bald Hills (NSW)	New South Wales	17
Bald Hills (NSW)	Northern Territory	3
Bald Hills (NSW)	Queensland	4
Bald Nob	(Same Address)	9
Bald Ridge	(Same Address)	9
Baldersleigh	(Same Address)	36
Baldersleigh	(Same SA2)	5
Baldersleigh	New South Wales	5
Baldry	(Same Address)	83
Baldry	New South Wales	5
Balfours Peak	(Same Address)	28
Balfours Peak	New South Wales	3
Balgowlah	(Overseas)	144
Balgowlah	(Same Address)	6040
Balgowlah	(Same SA2)	213
Balgowlah	Australian Capital Territory	3
Balgowlah	New South Wales	760
Balgowlah	Queensland	12
Balgowlah	South Australia	6
Balgowlah	Tasmania	3
Balgowlah	Victoria	17
Balgowlah	Western Australia	15
Balgowlah Heights	(Overseas)	64
Balgowlah Heights	(Same Address)	2801
Balgowlah Heights	(Same SA2)	89
Balgowlah Heights	New South Wales	161
Balgowlah Heights	Northern Territory	7
Balgowlah Heights	Victoria	3
Balgowlah Heights	Western Australia	13
Balgownie	(Overseas)	46
Balgownie	(Same Address)	4669
Balgownie	(Same SA2)	149
Balgownie	Australian Capital Territory	5
Balgownie	New South Wales	290
Balgownie	Queensland	10
Balickera	(Same Address)	18
Balickera	New South Wales	7
Balladoran	(Same Address)	88
Balladoran	New South Wales	6
Ballalaba	(Same Address)	20
Balldale	(Same Address)	127
Balldale	New South Wales	3
Ballengarra	(Same Address)	64
Ballengarra	(Same SA2)	9
Ballengarra	New South Wales	3
Ballengarra	Queensland	15
Ballimore	(Same Address)	131
Ballimore	(Same SA2)	12
Ballimore	New South Wales	9
Ballina	(Overseas)	44
Ballina	(Same Address)	6246
Ballina	(Same SA2)	563
Ballina	New South Wales	618
Ballina	Northern Territory	5
Ballina	Queensland	130
Ballina	South Australia	4
Ballina	Tasmania	4
Ballina	Victoria	20
Ballina	Western Australia	4
Ballyroe	(Same Address)	4
Balmain	(Overseas)	249
Balmain	(Same Address)	7357
Balmain	(Same SA2)	411
Balmain	Australian Capital Territory	23
Balmain	New South Wales	946
Balmain	Northern Territory	3
Balmain	Queensland	33
Balmain	South Australia	7
Balmain	Tasmania	6
Balmain	Victoria	57
Balmain	Western Australia	27
Balmain East	(Overseas)	34
Balmain East	(Same Address)	1403
Balmain East	(Same SA2)	67
Balmain East	New South Wales	144
Balmain East	Queensland	19
Balmain East	South Australia	3
Balmain East	Victoria	10
Balmoral (Lake Macquarie - NSW)	(Same Address)	601
Balmoral (Lake Macquarie - NSW)	(Same SA2)	37
Balmoral (Lake Macquarie - NSW)	New South Wales	48
Balmoral (Lake Macquarie - NSW)	Queensland	3
Balmoral (Wingecarribee - NSW)	(Overseas)	12
Balmoral (Wingecarribee - NSW)	(Same Address)	339
Balmoral (Wingecarribee - NSW)	(Same SA2)	8
Balmoral (Wingecarribee - NSW)	New South Wales	41
Balranald	(Overseas)	8
Balranald	(Same Address)	1056
Balranald	(Same SA2)	75
Balranald	New South Wales	29
Balranald	Northern Territory	3
Balranald	Queensland	11
Balranald	Victoria	13
Bamarang	(Same Address)	24
Bamarang	New South Wales	3
Bandon Grove	(Same Address)	97
Bandon Grove	(Same SA2)	3
Bandon Grove	New South Wales	7
Bangadang	(Same Address)	13
Bangalee (NSW)	(Same Address)	562
Bangalee (NSW)	(Same SA2)	15
Bangalee (NSW)	New South Wales	24
Bangalow	(Overseas)	23
Bangalow	(Same Address)	1550
Bangalow	(Same SA2)	72
Bangalow	Australian Capital Territory	3
Bangalow	New South Wales	137
Bangalow	Queensland	26
Bangalow	Victoria	17
Bangalow	Western Australia	3
Bangheet	(Same Address)	32
Bangheet	Queensland	3
Bango	(Same Address)	82
Bango	Australian Capital Territory	5
Bango	New South Wales	3
Bangor (NSW)	(Overseas)	31
Bangor (NSW)	(Same Address)	4805
Bangor (NSW)	(Same SA2)	118
Bangor (NSW)	New South Wales	282
Bangor (NSW)	Queensland	7
Bangor (NSW)	Victoria	4
Banksia	(Overseas)	71
Banksia	(Same Address)	2721
Banksia	(Same SA2)	43
Banksia	New South Wales	217
Banksia	Queensland	3
Banksmeadow	(Same Address)	12
Banksmeadow	New South Wales	4
Bankstown	(Overseas)	875
Bankstown	(Same Address)	24061
Bankstown	(Same SA2)	634
Bankstown	Australian Capital Territory	6
Bankstown	New South Wales	2825
Bankstown	Northern Territory	8
Bankstown	Queensland	48
Bankstown	South Australia	24
Bankstown	Tasmania	3
Bankstown	Victoria	46
Bankstown	Western Australia	37
Bannaby	(Same Address)	31
Bannister (NSW)	(Same Address)	112
Banoon	(Same Address)	17
Banoon	New South Wales	4
Banora Point	(Overseas)	55
Banora Point	(Same Address)	12708
Banora Point	(Same SA2)	489
Banora Point	Australian Capital Territory	8
Banora Point	New South Wales	1031
Banora Point	Northern Territory	11
Banora Point	Queensland	441
Banora Point	South Australia	17
Banora Point	Tasmania	15
Banora Point	Victoria	42
Banora Point	Western Australia	11
Banyabba	(Same Address)	33
Banyabba	(Same SA2)	8
Banyabba	Australian Capital Territory	6
Banyabba	New South Wales	3
Bar Beach	(Overseas)	22
Bar Beach	(Same Address)	872
Bar Beach	(Same SA2)	46
Bar Beach	New South Wales	146
Bar Beach	Queensland	8
Bar Beach	Western Australia	3
Bar Point	(Same Address)	53
Bar Point	New South Wales	4
Bara	(Same Address)	10
Bara	New South Wales	13
Baradine	(Same Address)	601
Baradine	(Same SA2)	36
Baradine	New South Wales	45
Baradine	Queensland	3
Barangaroo	(Overseas)	15
Barangaroo	(Same Address)	8
Barangaroo	(Same SA2)	11
Barangaroo	New South Wales	59
Barangaroo	Queensland	3
Barangaroo	Victoria	3
Barden Ridge	(Overseas)	18
Barden Ridge	(Same Address)	3811
Barden Ridge	(Same SA2)	76
Barden Ridge	New South Wales	225
Barden Ridge	Queensland	6
Bardia	(Overseas)	49
Bardia	(Same Address)	1040
Bardia	(Same SA2)	31
Bardia	New South Wales	315
Bardia	Northern Territory	3
Bardia	Queensland	12
Bardia	Victoria	3
Bardia	Western Australia	3
Bardwell Park	(Overseas)	40
Bardwell Park	(Same Address)	1913
Bardwell Park	(Same SA2)	21
Bardwell Park	Australian Capital Territory	4
Bardwell Park	New South Wales	125
Bardwell Park	Queensland	6
Bardwell Park	South Australia	4
Bardwell Valley	(Overseas)	23
Bardwell Valley	(Same Address)	1936
Bardwell Valley	(Same SA2)	47
Bardwell Valley	New South Wales	133
Bardwell Valley	South Australia	3
Bardwell Valley	Victoria	3
Bardwell Valley	Western Australia	3
Barellan	(Same Address)	415
Barellan	(Same SA2)	11
Barellan	New South Wales	42
Barellan	Victoria	3
Bargo	(Overseas)	3
Bargo	(Same Address)	3638
Bargo	(Same SA2)	65
Bargo	Australian Capital Territory	3
Bargo	New South Wales	316
Bargo	Victoria	3
Bargo	Western Australia	7
Barham	(Same Address)	1162
Barham	(Same SA2)	68
Barham	New South Wales	26
Barham	Northern Territory	10
Barham	Queensland	4
Barham	Victoria	63
Barham	Western Australia	3
Barigan	(Same Address)	9
Barkers Vale	(Same Address)	138
Barkers Vale	New South Wales	13
Barmedman	(Same Address)	369
Barmedman	(Same SA2)	21
Barmedman	New South Wales	16
Barnsley	(Same Address)	1464
Barnsley	(Same SA2)	34
Barnsley	New South Wales	140
Barnsley	Victoria	4
Barooga	(Overseas)	25
Barooga	(Same Address)	1395
Barooga	(Same SA2)	74
Barooga	New South Wales	19
Barooga	Queensland	4
Barooga	Victoria	106
Barraba	(Overseas)	3
Barraba	(Same Address)	1073
Barraba	(Same SA2)	59
Barraba	New South Wales	65
Barraba	Queensland	10
Barrack Heights	(Overseas)	25
Barrack Heights	(Same Address)	4728
Barrack Heights	(Same SA2)	195
Barrack Heights	Australian Capital Territory	3
Barrack Heights	New South Wales	417
Barrack Heights	Queensland	18
Barrack Heights	South Australia	3
Barrack Heights	Victoria	9
Barrack Heights	Western Australia	9
Barrack Point	(Overseas)	3
Barrack Point	(Same Address)	535
Barrack Point	(Same SA2)	22
Barrack Point	New South Wales	51
Barraganyatti	(Same Address)	108
Barraganyatti	(Same SA2)	4
Barraganyatti	New South Wales	5
Barraganyatti	Queensland	5
Barragga Bay	(Same Address)	77
Barragga Bay	(Same SA2)	5
Barragga Bay	Australian Capital Territory	4
Barrengarry	(Overseas)	3
Barrengarry	(Same Address)	137
Barrengarry	New South Wales	10
Barrengarry	Queensland	6
Barrengarry	South Australia	3
Barretts Creek	(Same Address)	13
Barringella	(Same Address)	25
Barringella	New South Wales	5
Barrington (NSW)	(Same Address)	298
Barrington (NSW)	(Same SA2)	18
Barrington (NSW)	New South Wales	19
Barry (Blayney - NSW)	(Same Address)	114
Barry (Blayney - NSW)	(Same SA2)	21
Barry (Blayney - NSW)	New South Wales	10
Barry (Upper Hunter Shire - NSW)	(Same Address)	3
Barwang	(Same Address)	68
Barwang	New South Wales	4
Barwon	(Same Address)	29
Barwon	(Same SA2)	6
Baryulgil	(Same Address)	69
Baryulgil	New South Wales	7
Basin View	(Overseas)	3
Basin View	(Same Address)	1209
Basin View	(Same SA2)	77
Basin View	Australian Capital Territory	6
Basin View	New South Wales	86
Basin View	Queensland	5
Basin View	Tasmania	4
Basin View	Victoria	3
Bass Hill	(Overseas)	76
Bass Hill	(Same Address)	7406
Bass Hill	(Same SA2)	150
Bass Hill	Australian Capital Territory	3
Bass Hill	New South Wales	759
Bass Hill	Queensland	15
Bass Hill	Victoria	6
Bass Hill	Western Australia	7
Bassendean (NSW)	(Same Address)	3
Batar Creek	(Same Address)	63
Batar Creek	(Same SA2)	3
Bateau Bay	(Overseas)	35
Bateau Bay	(Same Address)	9640
Bateau Bay	(Same SA2)	403
Bateau Bay	Australian Capital Territory	4
Bateau Bay	New South Wales	962
Bateau Bay	Northern Territory	7
Bateau Bay	Queensland	21
Bateau Bay	South Australia	5
Bateau Bay	Tasmania	3
Bateau Bay	Victoria	18
Bateau Bay	Western Australia	7
Batehaven	(Overseas)	9
Batehaven	(Same Address)	1300
Batehaven	(Same SA2)	88
Batehaven	Australian Capital Territory	13
Batehaven	New South Wales	149
Batehaven	Northern Territory	3
