SSC_NAME16	Address1YearAgo	persons
Aarons Pass	(Same Address)	22
Abbotsbury	(Overseas)	29
Abbotsbury	(Same Address)	3692
Abbotsbury	(Same SA2)	48
Abbotsbury	New South Wales	253
Abbotsbury	Victoria	12
Abbotsford (NSW)	(Overseas)	73
Abbotsford (NSW)	(Same Address)	4145
Abbotsford (NSW)	(Same SA2)	150
Abbotsford (NSW)	New South Wales	409
Abbotsford (NSW)	Northern Territory	4
Abbotsford (NSW)	Queensland	9
Abbotsford (NSW)	Tasmania	4
Abbotsford (NSW)	Victoria	3
Abbotsford (NSW)	Western Australia	4
Abercrombie	(Same Address)	853
Abercrombie	(Same SA2)	75
Abercrombie	New South Wales	101
Abercrombie	Queensland	5
Abercrombie	Victoria	3
Abercrombie	Western Australia	3
Abercrombie River	(Same Address)	20
Aberdare	(Same Address)	1884
Aberdare	(Same SA2)	131
Aberdare	New South Wales	194
Aberdare	Queensland	20
Aberdare	Tasmania	6
Aberdeen (NSW)	(Same Address)	1649
Aberdeen (NSW)	(Same SA2)	68
Aberdeen (NSW)	New South Wales	134
Aberdeen (NSW)	Victoria	6
Aberfoyle	(Same Address)	77
Aberfoyle	(Same SA2)	9
Aberfoyle	Queensland	9
Aberglasslyn	(Overseas)	20
Aberglasslyn	(Same Address)	3973
Aberglasslyn	(Same SA2)	407
Aberglasslyn	Australian Capital Territory	5
Aberglasslyn	New South Wales	601
Aberglasslyn	Queensland	20
Aberglasslyn	Victoria	6
Abermain	(Overseas)	8
Abermain	(Same Address)	1911
Abermain	(Same SA2)	64
Abermain	New South Wales	122
Abermain	Queensland	5
Abermain	Victoria	3
Abernethy	(Same Address)	246
Abernethy	(Same SA2)	6
Abernethy	New South Wales	17
Abington (NSW)	(Same Address)	10
Abington (NSW)	New South Wales	3
Acacia Creek	(Same Address)	27
Acacia Creek	Queensland	3
Acacia Gardens	(Overseas)	60
Acacia Gardens	(Same Address)	3198
Acacia Gardens	(Same SA2)	18
Acacia Gardens	New South Wales	305
Acacia Gardens	Queensland	5
Adaminaby	(Overseas)	3
Adaminaby	(Same Address)	262
Adaminaby	(Same SA2)	7
Adaminaby	New South Wales	15
Adamstown	(Overseas)	51
Adamstown	(Same Address)	4539
Adamstown	(Same SA2)	141
Adamstown	Australian Capital Territory	12
Adamstown	New South Wales	815
Adamstown	Northern Territory	12
Adamstown	Queensland	25
Adamstown	South Australia	19
Adamstown	Tasmania	7
Adamstown	Victoria	6
Adamstown	Western Australia	5
Adamstown Heights	(Overseas)	21
Adamstown Heights	(Same Address)	4495
Adamstown Heights	(Same SA2)	104
Adamstown Heights	New South Wales	364
Adamstown Heights	Queensland	9
Adamstown Heights	Tasmania	4
Adamstown Heights	Victoria	13
Adamstown Heights	Western Australia	3
Adelong	(Same Address)	791
Adelong	(Same SA2)	17
Adelong	New South Wales	43
Adelong	Queensland	7
Adjungbilly	(Same Address)	76
Afterlee	(Same Address)	41
Afterlee	New South Wales	3
Agnes Banks	(Overseas)	4
Agnes Banks	(Same Address)	754
Agnes Banks	(Same SA2)	17
Agnes Banks	New South Wales	67
Airds	(Overseas)	8
Airds	(Same Address)	2201
Airds	(Same SA2)	55
Airds	New South Wales	203
Airds	Queensland	10
Airds	Victoria	4
Akolele	(Same Address)	118
Akolele	(Same SA2)	3
Albert	(Same Address)	67
Albion Park	(Overseas)	40
Albion Park	(Same Address)	10988
Albion Park	(Same SA2)	405
Albion Park	Australian Capital Territory	3
Albion Park	New South Wales	907
Albion Park	Northern Territory	7
Albion Park	Queensland	24
Albion Park	South Australia	4
Albion Park	Victoria	10
Albion Park	Western Australia	6
Albion Park Rail	(Overseas)	21
Albion Park Rail	(Same Address)	5467
Albion Park Rail	(Same SA2)	93
Albion Park Rail	New South Wales	628
Albion Park Rail	Queensland	24
Albion Park Rail	Victoria	6
Albion Park Rail	Western Australia	5
Albury	(Overseas)	55
Albury	(Same Address)	3396
Albury	(Same SA2)	180
Albury	Australian Capital Territory	7
Albury	New South Wales	327
Albury	Queensland	32
Albury	South Australia	3
Albury	Tasmania	3
Albury	Victoria	192
Albury	Western Australia	3
Aldavilla	(Same Address)	589
Aldavilla	(Same SA2)	18
Aldavilla	New South Wales	33
Aldavilla	Queensland	4
Alectown	(Same Address)	117
Alectown	(Same SA2)	3
Alectown	New South Wales	12
Alectown	Queensland	3
Alectown	South Australia	11
Alectown	Western Australia	3
Alexandria	(Overseas)	312
Alexandria	(Same Address)	5413
Alexandria	(Same SA2)	204
Alexandria	Australian Capital Territory	15
Alexandria	New South Wales	1194
Alexandria	Queensland	64
Alexandria	South Australia	17
Alexandria	Tasmania	12
Alexandria	Victoria	41
Alexandria	Western Australia	18
Alfords Point	(Overseas)	16
Alfords Point	(Same Address)	2731
Alfords Point	(Same SA2)	23
Alfords Point	New South Wales	171
Alfords Point	Queensland	3
Alfords Point	Victoria	5
Alfredtown	(Same Address)	89
Alice	(Same Address)	10
Alison (Central Coast - NSW)	(Same Address)	65
Alison (Central Coast - NSW)	New South Wales	10
Alison (Dungog - NSW)	(Same Address)	66
Alison (Dungog - NSW)	(Same SA2)	3
Alison (Dungog - NSW)	New South Wales	4
Allambie Heights	(Overseas)	73
Allambie Heights	(Same Address)	5889
Allambie Heights	(Same SA2)	94
Allambie Heights	Australian Capital Territory	4
Allambie Heights	New South Wales	502
Allambie Heights	Northern Territory	5
Allambie Heights	Queensland	6
Allambie Heights	Victoria	3
Allambie Heights	Western Australia	7
Allandale (NSW)	(Same Address)	52
Allandale (NSW)	New South Wales	10
Allawah	(Overseas)	284
Allawah	(Same Address)	4274
Allawah	(Same SA2)	100
Allawah	Australian Capital Territory	3
Allawah	New South Wales	580
Allawah	Northern Territory	3
Allawah	Queensland	13
Allawah	South Australia	7
Allawah	Victoria	5
Alleena	(Same Address)	47
Allgomera	(Same Address)	110
Allgomera	New South Wales	6
Allworth	(Same Address)	129
Allworth	New South Wales	21
Allynbrook	(Same Address)	56
Allynbrook	New South Wales	10
Alma Park	(Same Address)	48
Alma Park	New South Wales	4
Alpine	(Same Address)	111
Alpine	New South Wales	8
Alstonvale	(Same Address)	358
Alstonvale	(Same SA2)	3
Alstonvale	New South Wales	33
Alstonvale	Queensland	21
Alstonville	(Overseas)	20
Alstonville	(Same Address)	4613
Alstonville	(Same SA2)	214
Alstonville	Australian Capital Territory	6
Alstonville	New South Wales	355
Alstonville	Northern Territory	4
Alstonville	Queensland	52
Alstonville	Tasmania	3
Alstonville	Victoria	8
Alstonville	Western Australia	5
Alumy Creek	(Same Address)	67
Alumy Creek	(Same SA2)	4
Alumy Creek	New South Wales	4
Amaroo (NSW)	(Same Address)	41
Ambarvale	(Overseas)	65
Ambarvale	(Same Address)	5731
Ambarvale	(Same SA2)	165
Ambarvale	New South Wales	592
Ambarvale	Queensland	17
Ambarvale	Tasmania	3
Ambarvale	Victoria	4
Ambarvale	Western Australia	7
Amosfield	(Same Address)	27
Amosfield	Queensland	3
Anabranch North	(Same Address)	6
Anabranch South	(Same Address)	34
Anabranch South	(Same SA2)	6
Anambah	(Same Address)	23
Ando	(Same Address)	62
Ando	New South Wales	3
Anembo	(Same Address)	48
Anembo	Australian Capital Territory	4
Anembo	New South Wales	3
Angledale	(Same Address)	132
Angledale	(Same SA2)	3
Angledale	New South Wales	3
Angledool	(Same Address)	42
Anglers Reach	(Same Address)	53
Anglers Reach	New South Wales	11
Angourie	(Same Address)	174
Angourie	(Same SA2)	16
Angourie	New South Wales	6
Anna Bay	(Overseas)	18
Anna Bay	(Same Address)	2897
Anna Bay	(Same SA2)	126
Anna Bay	Australian Capital Territory	3
Anna Bay	New South Wales	294
Anna Bay	Northern Territory	3
Anna Bay	Queensland	11
Anna Bay	Tasmania	4
Anna Bay	Victoria	14
Annandale (NSW)	(Overseas)	225
Annandale (NSW)	(Same Address)	6639
Annandale (NSW)	(Same SA2)	275
Annandale (NSW)	Australian Capital Territory	13
Annandale (NSW)	New South Wales	1156
Annandale (NSW)	Northern Territory	5
Annandale (NSW)	Queensland	32
Annandale (NSW)	South Australia	3
Annandale (NSW)	Tasmania	3
Annandale (NSW)	Victoria	37
Annandale (NSW)	Western Australia	19
Annangrove	(Overseas)	10
Annangrove	(Same Address)	1154
Annangrove	(Same SA2)	23
Annangrove	New South Wales	97
Appin (NSW)	(Overseas)	11
Appin (NSW)	(Same Address)	1909
Appin (NSW)	(Same SA2)	58
Appin (NSW)	New South Wales	412
Appin (NSW)	Queensland	3
Apple Tree Flat	(Same Address)	30
Appleby	(Same Address)	29
Appletree Flat	(Same Address)	6
Apsley (NSW)	(Same Address)	98
Apsley (NSW)	(Same SA2)	3
Apsley (NSW)	New South Wales	5
Arable	(Same Address)	11
Arakoon	(Overseas)	3
Arakoon	(Same Address)	321
Arakoon	(Same SA2)	33
Arakoon	New South Wales	24
Arakoon	Queensland	3
Arakoon	Victoria	3
Araluen (NSW)	(Same Address)	121
Araluen (NSW)	New South Wales	11
Aratula (NSW)	(Same Address)	9
Arcadia (NSW)	(Overseas)	9
Arcadia (NSW)	(Same Address)	1188
Arcadia (NSW)	(Same SA2)	15
Arcadia (NSW)	New South Wales	78
Arcadia (NSW)	Queensland	3
Arcadia Vale	(Overseas)	11
Arcadia Vale	(Same Address)	1074
Arcadia Vale	(Same SA2)	50
Arcadia Vale	New South Wales	122
Arcadia Vale	Northern Territory	3
Arcadia Vale	Queensland	11
Arcadia Vale	Victoria	5
Ardglen	(Same Address)	47
Ardglen	(Same SA2)	3
Arding	(Same Address)	185
Arding	(Same SA2)	3
Arding	Australian Capital Territory	3
Arding	New South Wales	5
Arding	Queensland	7
Ardlethan	(Overseas)	3
Ardlethan	(Same Address)	372
Ardlethan	(Same SA2)	13
Ardlethan	New South Wales	20
Argalong	(Same Address)	29
Argenton	(Overseas)	4
Argenton	(Same Address)	1039
Argenton	(Same SA2)	28
Argenton	New South Wales	129
Argenton	Tasmania	7
Argenton	Western Australia	5
Argents Hill	(Same Address)	184
Argents Hill	(Same SA2)	3
Argents Hill	New South Wales	13
Argoon (NSW)	(Same Address)	15
Ariah Park	(Same Address)	408
Ariah Park	(Same SA2)	4
Ariah Park	New South Wales	34
Ariah Park	Queensland	3
Arkell	(Same Address)	33
Arkstone	(Same Address)	18
Armatree	(Same Address)	131
Armatree	(Same SA2)	3
Armatree	New South Wales	3
Armidale	(Overseas)	417
Armidale	(Same Address)	16345
Armidale	(Same SA2)	2250
Armidale	Australian Capital Territory	23
Armidale	New South Wales	1470
Armidale	Northern Territory	15
Armidale	Queensland	198
Armidale	South Australia	9
Armidale	Tasmania	12
Armidale	Victoria	64
Armidale	Western Australia	24
Arncliffe	(Overseas)	408
Arncliffe	(Same Address)	7973
Arncliffe	(Same SA2)	216
Arncliffe	Australian Capital Territory	16
Arncliffe	New South Wales	964
Arncliffe	Queensland	38
Arncliffe	South Australia	4
Arncliffe	Victoria	23
Arncliffe	Western Australia	9
Arndell Park	(Same Address)	14
Arrawarra	(Overseas)	4
Arrawarra	(Same Address)	389
Arrawarra	(Same SA2)	15
Arrawarra	New South Wales	31
Arrawarra	Queensland	3
Arrawarra	Victoria	4
Arrawarra Headland	(Overseas)	14
Arrawarra Headland	(Same Address)	431
Arrawarra Headland	(Same SA2)	23
Arrawarra Headland	New South Wales	33
