SSC_NAME16	Sex	unemployment
Baradine	M	7.7
Barden Ridge	F	2.7
Barden Ridge	M	3.5
Bardia	F	8.3
Bardia	M	4.9
Bardwell Park	F	4.4
Bardwell Park	M	4.8
Bardwell Valley	F	5.5
Bardwell Valley	M	6.3
Barellan	M	4.4
Bargo	F	5.2
Bargo	M	4.7
Barham	F	1.1
Barham	M	4.1
Barkers Vale	F	10.3
Barkers Vale	M	7.9
Barmedman	F	11.9
Barmedman	M	14.1
Barnsley	F	8
Barnsley	M	7.8
Barooga	F	3.2
Barooga	M	5.4
Barraba	F	7.2
Barraba	M	11
Barrack Heights	F	7.2
Barrack Heights	M	9
Barrack Point	F	5.6
Barrack Point	M	2.5
Barragga Bay	F	13
Barrington (NSW)	M	6.5
Barry (Blayney - NSW)	M	7.3
Basin View	F	7.9
Basin View	M	6.9
Bass Hill	F	9.9
Bass Hill	M	8.7
Bateau Bay	F	5.7
Bateau Bay	M	5.5
Batehaven	F	8
Batehaven	M	12.5
Batemans Bay	F	14.3
Batemans Bay	M	14.3
Bathurst	F	6.6
Bathurst	M	9.1
Batlow	F	2.2
Batlow	M	5.4
Baulkham Hills	F	5.1
Baulkham Hills	M	4.7
Bawley Point	F	7.2
Bawley Point	M	9.4
Bayview (NSW)	F	3.7
Bayview (NSW)	M	3.6
Beacon Hill	F	3.3
Beacon Hill	M	3.9
Beaconsfield (NSW)	F	2.2
Beaconsfield (NSW)	M	2
Beaumont (NSW)	M	15.6
Beaumont Hills	F	4.2
Beaumont Hills	M	4.2
Bedgerabong	F	17.9
Beechwood	F	3.7
Beechwood	M	9
Beecroft	F	3.7
Beecroft	M	4.5
Beelbangera	F	4.1
Bega	F	5.4
Bega	M	6.9
Belbora	M	10
Belfield	F	4.9
Belfield	M	5.1
Belford	F	5.9
Belford	M	5.7
Belimbla Park	F	4
Belimbla Park	M	4.3
Bella Vista	F	6.3
Bella Vista	M	5.3
Bellambi	F	10.5
Bellambi	M	10.2
Bellangry	F	17.6
Bellata	M	8.2
Bellbird	F	6.4
Bellbird	M	9.3
Bellbird Heights	F	8.2
Bellbird Heights	M	7.9
Bellbrook	F	13.2
Bellbrook	M	6.4
Bellevue Hill	F	3.6
Bellevue Hill	M	3.2
Bellimbopinni	F	12
Bellimbopinni	M	11.1
Bellingen	F	4.6
Bellingen	M	9
Bellmount Forest	M	8.1
Belmont (NSW)	F	6.7
Belmont (NSW)	M	8.7
Belmont North	F	6.1
Belmont North	M	8.7
Belmont South	F	9.1
Belmont South	M	13.8
Belmore	F	8.6
Belmore	M	8.2
Belmore River	F	4.8
Belmore River	M	4.4
Belrose	F	3.6
Belrose	M	4.2
Bemboka	F	3.4
Bemboka	M	9.4
Bendalong	M	21.1
Bendemeer	F	2.9
Bendemeer	M	7.2
Bendick Murrell	M	7.9
Bendolba	M	18.4
Bensville	F	4.8
Bensville	M	3.4
Berala	F	10.7
Berala	M	9.8
Berambing	M	11.1
Beresfield	F	9.9
Beresfield	M	9.9
Berkeley	F	9.7
Berkeley	M	8.7
Berkeley Vale	F	6.6
Berkeley Vale	M	6.3
Berkshire Park	F	4.9
Berkshire Park	M	3.3
Bermagui	F	4.7
Bermagui	M	7.5
Berowra	F	3.7
Berowra	M	4.2
Berowra Heights	F	3.6
Berowra Heights	M	3.6
Berrambool	F	4
Berrambool	M	5.2
Berrara	F	5.6
Berridale	F	1.1
Berridale	M	2.5
Berrigan	F	6.7
Berrigan	M	6.2
Berrilee	F	6.5
Berrilee	M	4.8
Berrima	F	3.1
Berrima	M	4.3
Berry	F	3.1
Berry	M	2.3
Berry Park	M	9.5
Beryl	F	12.5
Bethungra	F	7.9
Beverley Park	F	5.7
Beverley Park	M	4.7
Beverly Hills	F	6.9
Beverly Hills	M	6.9
Bexhill	F	2.4
Bexhill	M	3.9
Bexley	F	5.9
Bexley	M	6.2
Bexley North	F	4.5
Bexley North	M	6.7
Bidwill (NSW)	F	23.3
Bidwill (NSW)	M	19.1
Big Springs	F	20
Bilambil	F	5.3
Bilambil	M	6.9
Bilambil Heights	F	6.7
Bilambil Heights	M	5.6
Bilbul	F	2.2
Bilbul	M	1.9
Bilgola Beach	M	10.9
Bilgola Plateau	F	3.8
Bilgola Plateau	M	3.1
Billeroy	M	21.4
Billinudgel	F	10.4
Billinudgel	M	11.5
Billywillinga	F	12.5
Billywillinga	M	6.3
Bilpin	F	4.3
Bilpin	M	5.9
Bimbimbie	F	11.5
Bimbimbie	M	12.9
Binalong	F	7
Binalong	M	4.8
Binda	F	7.3
Binda	M	4.3
Bingara	F	5.8
Bingara	M	6.1
Bingie	M	5.7
Binjura	F	6.5
Binjura	M	11.8
Binna Burra (NSW)	F	7.3
Binnaway	F	17.1
Binnaway	M	17.6
Binya	M	7.3
Birchgrove	F	5.1
Birchgrove	M	3.7
Birdwood (NSW)	M	27.3
Birmingham Gardens	F	15.3
Birmingham Gardens	M	16.3
Birriwa	M	33.3
Birrong	F	9.7
Birrong	M	8.8
Bishops Bridge	F	8.6
Bishops Bridge	M	4.3
Black Head	F	6.3
Black Head	M	9
Black Hill (NSW)	F	3.8
Black Hill (NSW)	M	2.2
Black Mountain (NSW)	F	4.3
Black Mountain (NSW)	M	3.6
Black Springs (NSW)	M	9.8
Blackalls Park	F	7.2
Blackalls Park	M	7.6
Blackbutt (NSW)	F	6.6
Blackbutt (NSW)	M	7
Blackett	F	15.4
Blackett	M	10.3
Blackheath	F	5
Blackheath	M	6
Blacksmiths	F	7
Blacksmiths	M	9.1
Blacktown	F	9.1
Blacktown	M	7.4
Blackwall (NSW)	F	7.1
Blackwall (NSW)	M	9.5
Blair Athol (NSW)	F	7.4
Blair Athol (NSW)	M	6.4
Blairmount	F	9.9
Blairmount	M	7
Blakebrook	M	8.8
Blakehurst	F	5.2
Blakehurst	M	4.3
Blandford	M	4.6
Blaxland (NSW)	F	4.1
Blaxland (NSW)	M	3.7
Blaxlands Creek	M	18.2
Blaxlands Ridge	M	5.6
Blayney	F	7.5
Blayney	M	8.3
Bligh Park	F	5.2
Bligh Park	M	3.5
Blue Bay	F	5.7
Blue Bay	M	5.7
Blue Haven	F	9
Blue Haven	M	9.3
Blue Knob	F	8.8
Blue Knob	M	20
Blueys Beach	F	10.7
Boambee	F	3.7
Boambee	M	7
Boambee East	F	6.4
Boambee East	M	8.3
Boat Harbour (Lismore - NSW)	F	8.1
Boat Harbour (Lismore - NSW)	M	8.6
Boat Harbour (Port Stephens - NSW)	F	6
Boat Harbour (Port Stephens - NSW)	M	4.7
Bobin	F	12.9
Bobin	M	18.2
Bobs Farm	F	6.1
Bobs Farm	M	5.6
Bocoble	M	10.7
Bodalla	F	5.1
Bodalla	M	9.5
Bodangora	M	14.3
Bogan Gate	M	9.3
Bogangar	F	5.2
Bogangar	M	8.1
Boggabilla	F	16.7
Boggabilla	M	14.9
Boggabri	F	8.5
Boggabri	M	7.8
Bohena Creek	M	9.5
Bolton Point	F	12.6
Bolton Point	M	14.7
Bolwarra (NSW)	F	3.9
Bolwarra (NSW)	M	3.3
Bolwarra Heights	F	4.3
Bolwarra Heights	M	4.2
Bomaderry	F	6.6
Bomaderry	M	8.2
Bombala	F	3.5
Bombala	M	3.9
Bombira	M	3.3
Bombo	M	10
Bomera	M	33.3
Bonalbo	F	12
Bonalbo	M	11.7
Bondi	F	4.1
Bondi	M	4
Bondi Beach	F	3.7
Bondi Beach	M	3.7
Bondi Junction	F	3.7
Bondi Junction	M	4.6
Bonnells Bay	F	7.9
Bonnells Bay	M	8.6
Bonnet Bay	F	2.6
Bonnet Bay	M	2.6
Bonny Hills	F	4.6
Bonny Hills	M	5.4
Bonnyrigg	F	11.7
Bonnyrigg	M	11.7
Bonnyrigg Heights	F	8
Bonnyrigg Heights	M	7.7
Bonshaw (NSW)	F	20
Bonshaw (NSW)	M	18.5
Bonville	F	4.4
Bonville	M	6.8
Booerie Creek	M	8.8
Booker Bay	F	7.8
Booker Bay	M	5.7
Bookham	F	7.9
Boolaroo	F	7.8
Boolaroo	M	9.9
Boomerang Beach	M	8.2
Boorabee Park	M	10
Booragul	F	9.3
Booragul	M	10.7
Booral (NSW)	F	5.4
Booral (NSW)	M	6.4
Boorooma	F	3.1
Boorooma	M	2.1
Boorowa	F	6
Boorowa	M	3.8
Bootawa	F	20.9
Bora Ridge	M	15.8
Boree Creek	F	7.1
Boree Creek	M	5.9
Borenore	F	2.6
Borenore	M	5.3
Bossley Park	F	7.2
Bossley Park	M	7.2
Bostobrick	M	20
Botany	F	3.9
Botany	M	4
Bourke	F	5.7
Bourke	M	8.5
Bourkelands	F	3.4
Bourkelands	M	1.9
Bow Bowing	F	6.4
Bow Bowing	M	5.2
Bowen Mountain	F	4.3
Bowen Mountain	M	5
Bowenfels	F	12.7
Bowenfels	M	18
Bowman	M	10.7
Bowman Farm	F	37.5
Bowning	F	3.5
Bowning	M	1.9
Bowral	F	4.5
Bowral	M	3.8
Bowraville	F	10.2
Bowraville	M	8.9
Box Hill (NSW)	F	5.1
Box Hill (NSW)	M	3.7
Boxers Creek	F	8.2
Boxers Creek	M	4.9
Bradbury (NSW)	F	9.4
Bradbury (NSW)	M	7.2
Braemar	F	2.7
Braemar	M	3
Braidwood	F	7.2
Braidwood	M	3.8
Brandy Hill	F	1.7
Brandy Hill	M	3.4
Branxton	F	5.1
Branxton	M	4.9
Braunstone	F	4.5
Braunstone	M	11.1
Bray Park (NSW)	F	11.5
Bray Park (NSW)	M	15.2
Brayton	F	8.6
Brayton	M	7.1
Breakfast Point	F	4.2
Breakfast Point	M	4.3
Bredbo	F	14.4
Breeza	M	13
Brewarrina	F	16.2
Brewarrina	M	19.8
Briarbrook	M	133.3
Bribbaree	M	11.4
Bridgman	F	8.7
Brierfield	M	7.6
Brighton-le-Sands	F	5.8
Brighton-le-Sands	M	4.7
Brightwaters	F	6.7
Brightwaters	M	7
Brimbin	M	21.4
Bringelly	F	5.9
Bringelly	M	3.5
Brisbane Grove	F	8.8
Brisbane Grove	M	8.3
Broadmeadow	F	7.5
Broadmeadow	M	8.7
Broadwater (Richmond Valley - NSW)	F	8.7
Broadwater (Richmond Valley - NSW)	M	5.8
Brocklehurst	F	3.5
Brocklehurst	M	6.9
Brocklesby	M	19.6
Brodies Plains	M	40
Brogo	F	5.1
Brogo	M	8.4
Broke (NSW)	F	2.9
Broke (NSW)	M	3.1
Broken Head	F	7.6
Broken Head	M	4.3
Broken Hill	F	7.3
Broken Hill	M	10.3
Bronte	F	3.3
Bronte	M	3.5
Brookfield (NSW)	F	6
Brookfield (NSW)	M	6.4
Brooklyn (NSW)	F	4.4
Brooklyn (NSW)	M	3.9
Brookvale	F	3.3
Brookvale	M	4.3
Brooms Head	F	10
Brooms Head	M	10.8
Broughton Village	F	10
Broulee	F	5.4
Broulee	M	4.9
Brownlow Hill	F	13.2
Brownlow Hill	M	3.2
Brownsville	F	7.3
Brownsville	M	14.7
Brunkerville	M	5.4
Brunswick Heads	F	9.6
Brunswick Heads	M	7.5
Brushgrove	M	6.8
Bucca (NSW)	F	4.6
Bucca (NSW)	M	9.5
Bucca Wauka	F	17.6
Buchanan (NSW)	F	6.3
Buckajo	F	11.5
Buckaroo	F	8.6
Buckra Bendinni	M	12.5
Budgee Budgee (NSW)	M	5.6
Budgewoi	F	8.2
Budgewoi	M	8.9
Budgong	M	25
Buff Point	F	9.6
Buff Point	M	7.5
Bukkulla	F	24.2
Bukkulla	M	7.9
Bulahdelah	F	4.6
Bulahdelah	M	9
Bulga (NSW)	F	8.1
Bulga (NSW)	M	5.7
Bullaburra	F	2.2
Bullaburra	M	4.8
Bulli	F	4.3
Bulli	M	4.4
Bumbaldry	F	16.7
Bumbaldry	M	25
Bumbalong	M	50
Bundabah	F	17.6
Bundagen	F	14.3
Bundagen	M	17.9
Bundanoon (NSW)	F	4.8
Bundanoon (NSW)	M	4.3
Bundarra	F	7.4
Bundarra	M	8.4
Bundeena	F	4.1
Bundeena	M	4.7
Bundook	F	18.8
Bundook	M	14.3
Bungarby	M	17.6
Bungarribee	F	6.5
Bungarribee	M	3.1
Bungawalbin	F	15
Bungendore	F	3.1
Bungendore	M	2.8
Bungonia	F	12.5
Bungonia	M	9.9
Bungwahl	M	5.4
Bunnan	F	14.3
Bunyah	M	13.3
Buronga	F	5
Buronga	M	6.3
Burra (Queanbeyan-Palerang Regional - NSW)	F	1.5
Burra (Queanbeyan-Palerang Regional - NSW)	M	3
Burradoo	F	2.7
Burradoo	M	4.3
Burragate	M	14.3
Burraneer	F	2.5
Burraneer	M	1.8
Burrangong	M	9.1
Burrapine	M	50
Burrawang	M	3.3
Burren Junction	F	5.8
Burren Junction	M	5
Burrill Lake	F	4
Burrill Lake	M	4.7
Burringbar	F	9.6
Burringbar	M	6.5
Burroway	F	12
Burrumbuttock	F	5.2
Burrumbuttock	M	3
Burwood (NSW)	F	9.9
Burwood (NSW)	M	10.1
Burwood Heights	F	3.1
Burwood Heights	M	7.1
Busby	F	14.5
Busby	M	12.8
Buttaba	F	2.9
Buttaba	M	9.9
Butterwick	F	11.1
Butterwick	M	7
Buxton (NSW)	F	5.8
Buxton (NSW)	M	5.1
Byabarra	F	6.7
Byangum	F	8.8
Byangum	M	26.5
Byron Bay	F	5.4
Byron Bay	M	5.6
Bywong	F	0.9
Bywong	M	2.6
Cabarita (NSW)	F	2.9
Cabarita (NSW)	M	3.1
Cabarita Beach	F	9.7
Cabarita Beach	M	12.5
Cabbage Tree Island (Ballina - NSW)	M	75
Cabramatta	F	17
Cabramatta	M	13.4
Cabramatta West	F	12.3
Cabramatta West	M	12.1
Caddens	F	10.4
Caddens	M	6.9
Caffreys Flat	M	23.1
Calala	F	4.3
Calala	M	3.8
Caldwell	F	50
Calga	F	12.1
Callaghan	F	28.9
Callaghan	M	33
Callala Bay	F	7.6
Callala Bay	M	6.1
Callala Beach	F	6.3
Callala Beach	M	9.7
Cambewarra Village	F	4.6
Cambewarra Village	M	2.8
Cambridge Gardens	F	4.2
Cambridge Gardens	M	5.3
Cambridge Park	F	7.6
Cambridge Park	M	5.4
Camden	F	5.6
Camden	M	4.2
Camden Head	M	12.5
Camden Park (NSW)	F	3.3
Camden Park (NSW)	M	0.8
Camden South	F	4.1
Camden South	M	2.9
Cameron Park	F	4.6
Cameron Park	M	4.5
Cammeray	F	3.2
Cammeray	M	3.9
Campbelltown (NSW)	F	9.3
Campbelltown (NSW)	M	7.6
Camperdown (NSW)	F	7.6
Camperdown (NSW)	M	7
Campsie	F	10.4
Campsie	M	8.5
Cams Wharf	F	8.3
Cams Wharf	M	8.8
Canada Bay	F	5.8
Canada Bay	M	4.9
Canbelego	M	33.3
Candelo	F	5
Candelo	M	5
Caniaba	M	2.4
Canley Heights	F	12.7
Canley Heights	M	10.7
Canley Vale	F	14.6
Canley Vale	M	13.1
Canobolas	F	2.3
Canobolas	M	2
Canowindra	F	6.4
Canowindra	M	5
Canterbury (NSW)	F	6.2
Canterbury (NSW)	M	6.1
Canton Beach	F	12.3
Canton Beach	M	11.6
Canyonleigh	F	6
Canyonleigh	M	2.6
Capertee	F	14.3
Captains Flat	F	5.2
Captains Flat	M	7.1
Carcoar	F	8.1
Carcoar	M	8.6
Cardiff (NSW)	F	6.6
Cardiff (NSW)	M	8.7
Cardiff Heights	F	5.1
Cardiff Heights	M	6.6
Cardiff South	F	5.9
Cardiff South	M	5.7
Carey Bay	F	4.2
Carey Bay	M	9.2
Cargo	F	3.2
Cargo	M	3.9
Caringbah	F	3.8
Caringbah	M	3.4
Caringbah South	F	3.3
Caringbah South	M	2.9
Carlingford	F	6.4
Carlingford	M	6.8
Carlton (NSW)	F	6
Carlton (NSW)	M	6.7
Carnes Hill	F	5
Carnes Hill	M	2.8
Carool	F	7.7
Carool	M	13.7
Caroona	F	9.7
Caroona	M	20
Carramar (NSW)	F	15.5
Carramar (NSW)	M	11.5
Carrathool	F	6.4
Carrathool	M	3.9
Carrington (Newcastle - NSW)	F	4.9
Carrington (Newcastle - NSW)	M	10.5
Carroll	F	13.6
Carroll	M	9.9
Carrs Creek	F	14.8
Carrs Creek	M	9.4
Carss Park	F	5.5
Carss Park	M	5.7
Cartwright	F	14.4
Cartwright	M	15.7
Cartwrights Hill	F	6.8
Cartwrights Hill	M	6.3
Carwoola	F	2.7
Carwoola	M	3
Casino	F	8.5
Casino	M	9.6
Cassilis (NSW)	F	7.9
Cassilis (NSW)	M	3.5
Castle Cove	F	3.1
Castle Cove	M	3
Castle Hill (NSW)	F	4.7
Castle Hill (NSW)	M	5.3
Castle Rock	F	8.1
Castle Rock	M	6.4
Castlecrag	F	5.2
Castlecrag	M	5.1
Castlereagh	F	2.3
Castlereagh	M	0.9
Casuarina (NSW)	F	3.8
Casuarina (NSW)	M	3.9
Casula	F	7.9
Casula	M	7.1
Catalina	F	8.2
Catalina	M	9.1
Catherine Field	F	2.9
Catherine Field	M	3.6
Catherine Hill Bay	F	8.8
Catherine Hill Bay	M	17.9
Cattai	F	6.1
Cattai	M	1.4
Caves Beach	F	6
Caves Beach	M	7.2
Cawdor (NSW)	M	5.5
Cawongla	F	7.9
Cawongla	M	12.5
Cecil Hills	F	5.5
Cecil Hills	M	5.9
Cecil Park	F	6.2
Cecil Park	M	2.7
Cedar Brush Creek	M	9.7
Cedar Party	F	5.6
Cedar Party	M	3.7
Cedar Point	M	7.8
Centennial Park (NSW)	F	3.7
Centennial Park (NSW)	M	4.1
Central Macdonald	F	21.4
Central Mangrove	F	3.8
Central Mangrove	M	3.5
Cessnock	F	10.6
Cessnock	M	10.6
Chain Valley Bay	F	5.3
Chain Valley Bay	M	7.2
Chakola	F	23.1
Chambigne	F	25
Charbon	F	15
Charbon	M	12
Charles Sturt University	F	22.5
Charles Sturt University	M	15.2
Charlestown (NSW)	F	4.8
Charlestown (NSW)	M	6.7
Charlotte Bay	F	9.7
Charmhaven	F	9.4
Charmhaven	M	11.2
Chatham Valley	F	37.5
Chatswood	F	7
Chatswood	M	6.3
Chatswood West	F	2.7
Chatswood West	M	5.4
Cheltenham (NSW)	F	4.9
Cheltenham (NSW)	M	5.6
Cherrybrook	F	5.2
Cherrybrook	M	5.5
Chester Hill	F	10.3
Chester Hill	M	10.1
Chifley (NSW)	F	4.2
Chifley (NSW)	M	4.7
Chilcotts Grass	F	5
Chilcotts Grass	M	4.8
Chinderah	F	10.8
Chinderah	M	10.2
Chippendale	F	12.7
Chippendale	M	10.7
Chipping Norton	F	5.2
Chipping Norton	M	4.9
Chisholm (NSW)	F	5.2
Chisholm (NSW)	M	3.5
Chiswick	F	2.3
Chiswick	M	4.3
Chittaway Bay	F	6.7
Chittaway Bay	M	6.7
Chittaway Point	F	5.7
Chittaway Point	M	5.8
Church Point	F	3
Church Point	M	3.1
Clandulla	M	9.1
Claremont Meadows	F	4.8
Claremont Meadows	M	5
Clarence	M	7.5
Clarence Town	F	6.1
Clarence Town	M	5.6
Clarenza	F	5
Clarenza	M	2.1
Clareville	F	3.9
Clareville	M	3.9
Claymore	F	22.8
Claymore	M	27
Clear Creek	M	9.4
Clear Range	M	23.1
Clemton Park	F	7.1
Clemton Park	M	5.2
Clergate	M	4.5
Cliftleigh	F	14.1
Cliftleigh	M	11.7
Clifton Grove	F	5
Clifton Grove	M	3.9
Clontarf (NSW)	F	5.5
Clontarf (NSW)	M	4.8
Clothiers Creek	F	4.5
Clothiers Creek	M	13.8
Clovelly	F	2.7
Clovelly	M	3.8
Clunes (NSW)	F	4.9
Clunes (NSW)	M	5.5
Clybucca	M	9.5
Coal Point	F	2.4
Coal Point	M	6.7
Coaldale	F	25
Cobaki	F	13
Cobaki	M	11.9
Cobaki Lakes	M	36.4
Cobar	F	4.4
Cobar	M	6.4
Cobar Park	M	50
Cobargo	F	9.7
Cobargo	M	7.2
Cobbitty	F	4.1
Cobbitty	M	1.4
Coffee Camp	F	8.3
Coffee Camp	M	15.1
Coffs Harbour	F	6.6
Coffs Harbour	M	8.8
Coleambally	F	2.1
Coleambally	M	3.2
Colebee	F	4.8
Colebee	M	3.4
Coledale	F	4.5
Coledale	M	5.1
Collarenebri	F	14.5
Collarenebri	M	13.8
Collaroy (NSW)	F	2.7
Collaroy (NSW)	M	3.6
Collaroy Plateau	F	3
Collaroy Plateau	M	2.6
Collie (NSW)	M	4.5
Collingullie	F	8.2
Collombatti	F	2.7
Collombatti	M	10.1
Colo Heights	M	3.9
Colo Vale	F	4.7
Colo Vale	M	4.9
Colyton	F	8.7
Colyton	M	6.9
Comboyne	F	6.5
Comboyne	M	5.6
Commissioners Creek	F	60
Como (NSW)	F	3.4
Como (NSW)	M	2.6
Conargo	M	8.6
Concord	F	4.1
Concord	M	4.6
Concord West	F	3.4
Concord West	M	4.4
Condell Park	F	8.9
Condell Park	M	7.8
Condobolin	F	7.9
Condobolin	M	8.1
Condong	M	3.8
Congarinni	M	3.8
Congarinni North	M	10
Congewai	F	7.3
Congewai	M	8
Congo	F	6.1
Congo	M	8.3
Coniston	F	8.6
Coniston	M	8.2
Conjola	M	7.3
Conjola Park	F	7.1
Conjola Park	M	4.5
Connells Point	F	2.5
Connells Point	M	3.4
Constitution Hill	F	7.9
Constitution Hill	M	7.3
Coogee (NSW)	F	3.4
Coogee (NSW)	M	3.1
Cookamidgera	M	7.1
Cooks Gap	F	3
Cooks Gap	M	4.4
Cooks Hill	F	5.8
Cooks Hill	M	6.7
Coolac	M	4.7
Coolagolite	F	5.8
Coolagolite	M	8.3
Coolah	F	4
Coolah	M	5.3
Coolamon	F	5.8
Coolamon	M	5.6
Coolangatta (NSW)	F	4
Coolgardie (NSW)	M	13
Coolongolook	F	4.6
Coolongolook	M	10.1
Cooma (NSW)	F	4.3
Cooma (NSW)	M	5.1
Coomba Bay	M	22.2
Coomba Park	F	15.8
Coomba Park	M	17.5
Coomealla	F	5.9
Coomealla	M	6.6
Coonabarabran	F	6.6
Coonabarabran	M	11
Coonamble	F	9.2
Coonamble	M	10
Cooperabung	M	3.7
Coopernook	F	9.4
Coopernook	M	15.1
Coorabell	F	9.9
Coorabell	M	4.8
Cooranbong	F	6.6
Cooranbong	M	7.7
Cootamundra	F	5.8
Cootamundra	M	6.9
Cooyal	F	21.1
Copacabana	F	6.6
Copacabana	M	6.1
Copeton	M	37.5
Copmanhurst	F	7.7
Copmanhurst	M	7
Coraki	F	7.2
Coraki	M	5.3
Coralville	F	15.8
Coralville	M	15
Coramba	F	8.1
Coramba	M	3.2
Cordeaux Heights	F	5.3
Cordeaux Heights	M	5.7
Corindi Beach	F	9.2
Corindi Beach	M	9.3
Corlette	F	4.6
Corlette	M	6.4
Corndale (NSW)	F	4.8
Corney Town	M	30.8
Corobimilla	F	18.8
Corowa	F	6.5
Corowa	M	5.3
Corrimal	F	5.8
Corrimal	M	6.4
Cottage Point	M	12.5
Courabyra	F	15
Couridjah	F	3.9
Couridjah	M	3.4
Coutts Crossing	F	10.3
Coutts Crossing	M	11
Cowan	F	4.8
Cowan	M	1.7
Cowra	F	6.4
Cowra	M	6.9
Crabbes Creek	F	4.4
