SSC_NAME16	Sex	unemployment
Abbotsbury	F	3.9
Abbotsbury	M	4.8
Abbotsford (NSW)	F	3.4
Abbotsford (NSW)	M	3.8
Abercrombie	F	2.1
Abercrombie	M	3
Aberdare	F	11.8
Aberdare	M	13.2
Aberdeen (NSW)	F	8.3
Aberdeen (NSW)	M	4.9
Aberfoyle	M	8.1
Aberglasslyn	F	6.6
Aberglasslyn	M	5.6
Abermain	F	7.3
Abermain	M	11.3
Abernethy	F	7.5
Acacia Gardens	F	6.3
Acacia Gardens	M	3.6
Adaminaby	M	7.6
Adamstown	F	5.9
Adamstown	M	7.3
Adamstown Heights	F	3.8
Adamstown Heights	M	6.5
Adelong	F	9.7
Adelong	M	7.8
Adjungbilly	F	20
Agnes Banks	F	3.2
Agnes Banks	M	2.3
Airds	F	27.5
Airds	M	25.7
Akolele	M	21.4
Albion Park	F	6.4
Albion Park	M	5
Albion Park Rail	F	7.3
Albion Park Rail	M	7.2
Albury	F	4.6
Albury	M	6.9
Aldavilla	F	3.3
Aldavilla	M	6.4
Alexandria	F	2.8
Alexandria	M	3.9
Alfords Point	F	3.3
Alfords Point	M	4.3
Allambie Heights	F	2.8
Allambie Heights	M	3.6
Allawah	F	8
Allawah	M	7.5
Allgomera	F	8.8
Allworth	F	11.5
Allworth	M	6.7
Alpine	F	14.3
Alstonvale	F	6.5
Alstonvale	M	3.2
Alstonville	F	5.9
Alstonville	M	6.5
Ambarvale	F	10.8
Ambarvale	M	8.6
Anambah	F	27.3
Angourie	F	5.7
Angourie	M	10.7
Anna Bay	F	5.9
Anna Bay	M	8.3
Annandale (NSW)	F	4.2
Annandale (NSW)	M	4.2
Annangrove	F	2.2
Annangrove	M	1.9
Appin (NSW)	F	4.1
Appin (NSW)	M	2.5
Arakoon	F	3.3
Arakoon	M	11.6
Araluen (NSW)	M	12.2
Arcadia (NSW)	F	3.3
Arcadia (NSW)	M	3.6
Arcadia Vale	F	5.8
Arcadia Vale	M	9.9
Arding	M	8
Ardlethan	F	4
Ardlethan	M	12
Argenton	F	10.7
Argenton	M	13.7
Argents Hill	F	10.8
Ariah Park	M	2.7
Armatree	F	16.7
Armatree	M	7
Armidale	F	7.7
Armidale	M	8.9
Arncliffe	F	5.6
Arncliffe	M	6.8
Arrawarra	F	14.3
Arrawarra	M	12
Arrawarra Headland	F	9.2
Arrawarra Headland	M	11.3
Artarmon	F	5.3
Artarmon	M	4.9
Ashbury	F	2.8
Ashbury	M	4.2
Ashby (NSW)	F	5.3
Ashby (NSW)	M	11.5
Ashby Heights	F	20.5
Ashby Heights	M	13.6
Ashcroft	F	14
Ashcroft	M	13.4
Ashfield (NSW)	F	7.4
Ashfield (NSW)	M	6.7
Ashford (NSW)	F	8.9
Ashford (NSW)	M	12.8
Ashley	M	2.9
Ashmont	F	12.6
Ashmont	M	13.2
Ashtonfield	F	4.2
Ashtonfield	M	5.8
Asquith	F	5.9
Asquith	M	4.3
Attunga	F	2.3
Attunga	M	4.3
Auburn (NSW)	F	12.2
Auburn (NSW)	M	12.9
Austinmer	F	5.7
Austinmer	M	4.3
Austral	F	5.7
Austral	M	4.4
Avalon Beach	F	3.5
Avalon Beach	M	3.4
Avoca Beach	F	4.5
Avoca Beach	M	5.5
Avondale (NSW)	F	7.8
Avondale (NSW)	M	7
Avonside	F	9.4
Avonside	M	13.3
Awaba	F	8.6
Awaba	M	8.7
Aylmerton	F	8.2
Aylmerton	M	6.3
Baan Baa	F	11.8
Baan Baa	M	15.1
Badgerys Creek	M	10.3
Balaclava (NSW)	F	6
Balaclava (NSW)	M	2.4
Balala	M	11.1
Balcolyn	F	3.5
Balcolyn	M	10
Bald Hills (NSW)	F	5.3
Baldry	M	12.5
Balgowlah	F	3.2
Balgowlah	M	3
Balgowlah Heights	F	3.8
Balgowlah Heights	M	3.7
Balgownie	F	3.7
Balgownie	M	5.3
Balladoran	M	15.6
Ballimore	F	14
Ballimore	M	8
Ballina	F	5.3
Ballina	M	9
Balmain	F	3.6
Balmain	M	4
Balmain East	F	4.1
Balmain East	M	4.5
Balmoral (Lake Macquarie - NSW)	F	3.9
Balmoral (Lake Macquarie - NSW)	M	11.7
Balmoral (Wingecarribee - NSW)	F	2.8
Balmoral (Wingecarribee - NSW)	M	2.3
Balranald	F	8.4
Balranald	M	7.4
Bandon Grove	M	10
Bangalee (NSW)	F	6.9
Bangalee (NSW)	M	1.8
Bangalow	F	2.2
Bangalow	M	3.6
Bangor (NSW)	F	3.4
Bangor (NSW)	M	3.3
Banksia	F	7
Banksia	M	5.7
Bankstown	F	12.5
Bankstown	M	9.6
Banora Point	F	5.7
Banora Point	M	7.1
Bar Beach	F	4.2
Bar Beach	M	4.3
Baradine	F	11.5
