SSC_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Aarons Pass	0	1	0	0	3
Aarons Pass	1	0	0	1	6
Abbotsbury					40
Abbotsbury	0	0	0	1	174
Abbotsbury	0	0	1	0	37
Abbotsbury	0	0	1	1	35
Abbotsbury	0	1	0	0	127
Abbotsbury	0	1	0	1	9
Abbotsbury	0	1	1	0	43
Abbotsbury	0	1	1	1	13
Abbotsbury	1	0	0	1	844
Abbotsbury	1	0	1	0	312
Abbotsbury	1	0	1	1	303
Abbotsbury	1	1	0	0	961
Abbotsbury	1	1	0	1	114
Abbotsbury	1	1	1	0	363
Abbotsbury	1	1	1	1	67
Abbotsford (NSW)					66
Abbotsford (NSW)	0	0	0	1	209
Abbotsford (NSW)	0	0	1	0	65
Abbotsford (NSW)	0	0	1	1	27
Abbotsford (NSW)	0	1	0	0	199
Abbotsford (NSW)	0	1	0	1	9
Abbotsford (NSW)	0	1	1	0	30
Abbotsford (NSW)	1	0	0	1	408
Abbotsford (NSW)	1	0	1	0	169
Abbotsford (NSW)	1	0	1	1	120
Abbotsford (NSW)	1	1	0	0	1232
Abbotsford (NSW)	1	1	0	1	37
Abbotsford (NSW)	1	1	1	0	206
Abbotsford (NSW)	1	1	1	1	41
Abercrombie					4
Abercrombie	0	0	0	1	15
Abercrombie	0	0	1	0	17
Abercrombie	0	0	1	1	5
Abercrombie	0	1	0	0	42
Abercrombie	0	1	0	1	4
Abercrombie	0	1	1	0	15
Abercrombie	1	0	0	1	88
Abercrombie	1	0	1	0	76
Abercrombie	1	0	1	1	27
Abercrombie	1	1	0	0	399
Abercrombie	1	1	0	1	5
Abercrombie	1	1	1	0	69
Abercrombie	1	1	1	1	18
Abercrombie River	1	0	1	1	3
Aberdare					23
Aberdare	0	0	0	1	101
Aberdare	0	0	1	0	34
Aberdare	0	0	1	1	13
Aberdare	0	1	0	0	250
Aberdare	0	1	0	1	31
Aberdare	0	1	1	0	49
Aberdare	0	1	1	1	12
Aberdare	1	0	0	1	134
Aberdare	1	0	1	0	34
Aberdare	1	0	1	1	47
Aberdare	1	1	0	0	513
Aberdare	1	1	0	1	37
Aberdare	1	1	1	0	104
Aberdare	1	1	1	1	43
Aberdeen (NSW)					18
Aberdeen (NSW)	0	0	0	1	64
Aberdeen (NSW)	0	0	1	0	20
Aberdeen (NSW)	0	0	1	1	5
Aberdeen (NSW)	0	1	0	0	99
Aberdeen (NSW)	0	1	0	1	11
Aberdeen (NSW)	0	1	1	0	19
Aberdeen (NSW)	0	1	1	1	5
Aberdeen (NSW)	1	0	0	1	126
Aberdeen (NSW)	1	0	1	0	62
Aberdeen (NSW)	1	0	1	1	18
Aberdeen (NSW)	1	1	0	0	522
Aberdeen (NSW)	1	1	0	1	34
Aberdeen (NSW)	1	1	1	0	149
Aberdeen (NSW)	1	1	1	1	26
Aberfoyle	1	0	0	1	4
Aberfoyle	1	0	1	0	4
Aberfoyle	1	1	0	0	37
Aberfoyle	1	1	0	1	4
Aberfoyle	1	1	1	0	11
Aberglasslyn					33
Aberglasslyn	0	0	0	1	122
Aberglasslyn	0	0	1	0	41
Aberglasslyn	0	0	1	1	36
Aberglasslyn	0	1	0	0	356
Aberglasslyn	0	1	0	1	27
Aberglasslyn	0	1	1	0	64
Aberglasslyn	0	1	1	1	19
Aberglasslyn	1	0	0	1	327
Aberglasslyn	1	0	1	0	202
Aberglasslyn	1	0	1	1	139
Aberglasslyn	1	1	0	0	1924
Aberglasslyn	1	1	0	1	97
Aberglasslyn	1	1	1	0	294
Aberglasslyn	1	1	1	1	98
Abermain					21
Abermain	0	0	0	1	93
Abermain	0	0	1	0	26
Abermain	0	0	1	1	16
Abermain	0	1	0	0	125
Abermain	0	1	0	1	12
Abermain	0	1	1	0	20
Abermain	0	1	1	1	6
Abermain	1	0	0	1	172
Abermain	1	0	1	0	55
Abermain	1	0	1	1	57
Abermain	1	1	0	0	564
Abermain	1	1	0	1	41
Abermain	1	1	1	0	134
Abermain	1	1	1	1	35
Abernethy	0	0	0	1	17
Abernethy	0	1	0	0	12
Abernethy	0	1	1	0	3
Abernethy	1	0	0	1	27
Abernethy	1	0	1	0	4
Abernethy	1	0	1	1	15
Abernethy	1	1	0	0	89
Abernethy	1	1	0	1	11
Abernethy	1	1	1	0	33
Abernethy	1	1	1	1	9
Abington (NSW)	1	1	0	0	4
Acacia Creek	0	1	1	0	10
Acacia Creek	1	0	0	1	3
Acacia Creek	1	0	1	0	4
Acacia Creek	1	1	1	0	5
Acacia Gardens					15
Acacia Gardens	0	0	0	1	118
Acacia Gardens	0	0	1	0	35
Acacia Gardens	0	0	1	1	44
Acacia Gardens	0	1	0	0	106
Acacia Gardens	0	1	0	1	18
Acacia Gardens	0	1	1	0	33
Acacia Gardens	0	1	1	1	5
Acacia Gardens	1	0	0	1	401
Acacia Gardens	1	0	1	0	201
Acacia Gardens	1	0	1	1	194
Acacia Gardens	1	1	0	0	1446
Acacia Gardens	1	1	0	1	75
Acacia Gardens	1	1	1	0	266
Acacia Gardens	1	1	1	1	43
Adaminaby	0	0	0	1	5
Adaminaby	0	0	1	0	5
Adaminaby	0	1	0	0	4
Adaminaby	0	1	0	1	3
Adaminaby	1	0	0	1	20
Adaminaby	1	0	1	0	5
Adaminaby	1	0	1	1	4
Adaminaby	1	1	0	0	61
Adaminaby	1	1	1	0	5
Adamstown					62
Adamstown	0	0	0	1	205
Adamstown	0	0	1	0	81
Adamstown	0	0	1	1	42
Adamstown	0	1	0	0	235
Adamstown	0	1	0	1	26
Adamstown	0	1	1	0	81
Adamstown	0	1	1	1	26
Adamstown	1	0	0	1	312
Adamstown	1	0	1	0	198
Adamstown	1	0	1	1	143
Adamstown	1	1	0	0	1604
Adamstown	1	1	0	1	67
Adamstown	1	1	1	0	269
Adamstown	1	1	1	1	51
Adamstown Heights					38
Adamstown Heights	0	0	0	1	155
Adamstown Heights	0	0	1	0	53
Adamstown Heights	0	0	1	1	37
Adamstown Heights	0	1	0	0	149
Adamstown Heights	0	1	0	1	13
Adamstown Heights	0	1	1	0	28
Adamstown Heights	0	1	1	1	3
Adamstown Heights	1	0	0	1	403
Adamstown Heights	1	0	1	0	204
Adamstown Heights	1	0	1	1	158
Adamstown Heights	1	1	0	0	1679
Adamstown Heights	1	1	0	1	35
Adamstown Heights	1	1	1	0	377
Adamstown Heights	1	1	1	1	37
Adelong					4
Adelong	0	0	0	1	20
Adelong	0	0	1	0	4
Adelong	0	0	1	1	3
Adelong	0	1	0	0	48
Adelong	0	1	1	0	10
Adelong	1	0	0	1	59
Adelong	1	0	1	0	25
Adelong	1	0	1	1	12
Adelong	1	1	0	0	216
Adelong	1	1	0	1	6
Adelong	1	1	1	0	58
Adelong	1	1	1	1	14
Adjungbilly	0	1	0	0	3
Adjungbilly	1	0	0	1	9
Adjungbilly	1	0	1	0	3
Adjungbilly	1	0	1	1	3
Adjungbilly	1	1	0	0	30
Adjungbilly	1	1	1	0	10
Afterlee	0	1	0	0	6
Afterlee	1	0	0	1	6
Afterlee	1	1	0	0	9
Agnes Banks					3
Agnes Banks	0	0	0	1	29
Agnes Banks	0	0	1	0	6
Agnes Banks	0	0	1	1	4
Agnes Banks	0	1	0	0	31
Agnes Banks	0	1	0	1	10
Agnes Banks	0	1	1	0	7
Agnes Banks	1	0	0	1	100
Agnes Banks	1	0	1	0	33
Agnes Banks	1	0	1	1	19
Agnes Banks	1	1	0	0	225
Agnes Banks	1	1	0	1	18
Agnes Banks	1	1	1	0	104
Agnes Banks	1	1	1	1	29
Airds					44
Airds	0	0	0	1	261
Airds	0	0	1	0	30
Airds	0	0	1	1	59
Airds	0	1	0	0	487
Airds	0	1	0	1	128
Airds	0	1	1	0	167
Airds	0	1	1	1	36
Airds	1	0	0	1	211
Airds	1	0	1	0	44
Airds	1	0	1	1	33
Airds	1	1	0	0	319
Airds	1	1	0	1	118
Airds	1	1	1	0	92
Airds	1	1	1	1	44
Akolele	0	0	0	1	3
Akolele	0	0	1	0	3
Akolele	0	1	0	0	22
Akolele	0	1	1	0	7
Akolele	1	0	0	1	13
Akolele	1	1	0	0	16
Akolele	1	1	1	0	5
Akolele	1	1	1	1	11
Albert	0	1	1	0	5
Albert	1	0	0	1	3
Albert	1	1	0	0	31
Albert	1	1	1	0	7
Albion Park					44
Albion Park	0	0	0	1	390
Albion Park	0	0	1	0	130
Albion Park	0	0	1	1	89
Albion Park	0	1	0	0	606
Albion Park	0	1	0	1	94
Albion Park	0	1	1	0	211
Albion Park	0	1	1	1	60
Albion Park	1	0	0	1	1208
Albion Park	1	0	1	0	500
Albion Park	1	0	1	1	551
Albion Park	1	1	0	0	3759
Albion Park	1	1	0	1	376
Albion Park	1	1	1	0	876
Albion Park	1	1	1	1	266
Albion Park Rail					56
Albion Park Rail	0	0	0	1	289
Albion Park Rail	0	0	1	0	94
Albion Park Rail	0	0	1	1	52
Albion Park Rail	0	1	0	0	555
Albion Park Rail	0	1	0	1	75
Albion Park Rail	0	1	1	0	82
Albion Park Rail	0	1	1	1	30
Albion Park Rail	1	0	0	1	619
Albion Park Rail	1	0	1	0	171
Albion Park Rail	1	0	1	1	186
Albion Park Rail	1	1	0	0	1366
Albion Park Rail	1	1	0	1	124
Albion Park Rail	1	1	1	0	247
Albion Park Rail	1	1	1	1	85
Albury					27
Albury	0	0	0	1	106
Albury	0	0	1	0	48
Albury	0	0	1	1	9
Albury	0	1	0	0	153
Albury	0	1	0	1	8
Albury	0	1	1	0	46
Albury	1	0	0	1	151
Albury	1	0	1	0	136
Albury	1	0	1	1	60
Albury	1	1	0	0	979
Albury	1	1	0	1	39
Albury	1	1	1	0	178
Albury	1	1	1	1	20
Aldavilla	0	0	0	1	24
Aldavilla	0	0	1	1	4
Aldavilla	0	1	0	0	25
Aldavilla	0	1	0	1	4
Aldavilla	0	1	1	0	11
Aldavilla	1	0	0	1	86
Aldavilla	1	0	1	0	18
Aldavilla	1	0	1	1	13
Aldavilla	1	1	0	0	103
Aldavilla	1	1	0	1	4
Aldavilla	1	1	1	0	42
Aldavilla	1	1	1	1	13
Alectown	0	1	0	1	4
Alectown	1	0	0	1	15
Alectown	1	0	1	0	8
Alectown	1	0	1	1	5
Alectown	1	1	0	0	41
Alectown	1	1	1	0	3
Alexandria					107
Alexandria	0	0	0	1	114
Alexandria	0	0	1	0	35
Alexandria	0	0	1	1	15
Alexandria	0	1	0	0	153
Alexandria	0	1	0	1	10
Alexandria	0	1	1	0	25
Alexandria	0	1	1	1	3
Alexandria	1	0	0	1	140
Alexandria	1	0	1	0	130
Alexandria	1	0	1	1	39
Alexandria	1	1	0	0	1536
Alexandria	1	1	1	0	137
Alexandria	1	1	1	1	11
Alfords Point					17
Alfords Point	0	0	0	1	85
Alfords Point	0	0	1	0	36
