SSC_NAME16	medianTotalHouseholdIncome
Aarons Pass	49348
Abbotsbury	112892
Abbotsford (NSW)	104312
Abercrombie	104312
Abercrombie River	43316
Aberdare	51896
Aberdeen (NSW)	69056
Aberfoyle	94224
Aberglasslyn	98644
Abermain	61620
Abernethy	81900
Abington (NSW)	85748
Acacia Creek	39624
Acacia Gardens	123656
Adaminaby	40716
Adamstown	73008
Adamstown Heights	92040
Adelong	52936
Adjungbilly	71500
Afterlee	44200
Agnes Banks	99320
Airds	35204
Akolele	35724
Albert	81224
Albion Park	87256
Albion Park Rail	62296
Albury	71344
Aldavilla	58500
Alectown	68224
Alexandria	125892
Alfords Point	136344
Alfredtown	82316
Alice	
Alison (Central Coast - NSW)	108316
Alison (Dungog - NSW)	55224
Allambie Heights	115908
Allandale (NSW)	92612
Allawah	77688
Alleena	49348
Allgomera	49868
Allworth	54600
Allynbrook	97500
Alma Park	84500
Alpine	114400
Alstonvale	73892
Alstonville	55588
Alumy Creek	61724
Amaroo (NSW)	95316
Ambarvale	66924
Amosfield	56316
Anabranch North	
Anabranch South	45032
Anambah	51948
Ando	53612
Anembo	71500
Angledale	60320
Angledool	22880
Anglers Reach	49868
Angourie	70044
Anna Bay	55380
Annandale (NSW)	121524
Annangrove	129168
Appin (NSW)	109408
Apple Tree Flat	71448
Appleby	84500
Appletree Flat	81224
Apsley (NSW)	63648
Arable	117000
Arakoon	55900
Araluen (NSW)	37232
Aratula (NSW)	
Arcadia (NSW)	126516
Arcadia Vale	71032
Ardglen	43316
Arding	66612
Ardlethan	39988
Argalong	46800
Argenton	52104
Argents Hill	41288
Argoon (NSW)	46800
Ariah Park	47164
Arkell	60632
Arkstone	
Armatree	63856
Armidale	62452
Arncliffe	86164
Arndell Park	
Arrawarra	35464
Arrawarra Headland	63544
Artarmon	113516
Arthurville	97500
Arumpo	46800
Ashbury	112164
Ashby (NSW)	52312
Ashby Heights	45500
Ashby Island	
Ashcroft	46124
Ashfield (NSW)	84864
Ashford (NSW)	41132
Ashley	80964
Ashmont	45552
Ashtonfield	95888
Asquith	105508
Atholwood	38636
Attunga	61568
Auburn (NSW)	64480
Auburn Vale	87724
Austinmer	105612
Austral	70356
Austral Eden	66612
Avalon Beach	111124
Avisford	35724
Avoca (NSW)	79612
Avoca Beach	98592
Avon (NSW)	
Avondale (NSW)	66456
Avonside	106548
Awaba	83044
Aylmerton	79040
Baan Baa	63336
