SSC_NAME16	medianTotalHouseholdIncome
Babinda (NSW)	
Babyl Creek	48516
Back Creek (Bland - NSW)	84500
Back Creek (Gwydir - NSW)	90948
Back Creek (Mid-Coast - NSW)	37700
Back Creek (Queanbeyan-Palerang Regional - NSW)	
Back Creek (Tenterfield - NSW)	46124
Back Creek (Tweed - NSW)	84448
Back Forest	97500
Backmede	71500
Backwater	
Badgerys Creek	66456
Badja	39624
Baerami	74724
Baerami Creek	77948
Bagnoo	46800
Bago	90948
Bagotville	54132
Bakers Creek (Mid-Coast - NSW)	58448
Bakers Creek (Nambucca - NSW)	22048
Bakers Creek (Uralla - NSW)	58500
Bakers Swamp	81224
Balaclava (NSW)	63076
Balala	54184
Balcolyn	59956
Bald Blair	58448
Bald Hills (NSW)	70044
Bald Nob	56836
Bald Ridge	
Baldersleigh	75816
Baldry	57200
Balfours Peak	58500
Balgowlah	117572
Balgowlah Heights	193752
Balgownie	81016
Balickera	84500
Balladoran	66612
Ballalaba	42848
Balldale	56836
Ballengarra	73632
Ballimore	66612
Ballina	42588
Ballyroe	
Balmain	132600
Balmain East	129220
Balmoral (Lake Macquarie - NSW)	80236
Balmoral (Wingecarribee - NSW)	87256
Balranald	54964
Bamarang	84500
Banda Banda	
Bandon Grove	71500
Bangadang	85748
Bangalee (NSW)	99632
Bangalow	72852
Bangheet	55224
Bango	111228
Bangor (NSW)	119028
Banksia	87620
Banksmeadow	
Bankstown	58240
Bankstown Aerodrome	
Bannaby	40248
Bannister (NSW)	81224
Banoon	34580
Banora Point	56160
Banyabba	49348
Bar Beach	89388
Bar Point	43316
Bara	37700
Baradine	40092
Barangaroo	190372
Barcoongere	
Barden Ridge	144144
Bardia	113724
Bardwell Park	103584
Bardwell Valley	87568
Barellan	60008
Bargo	77220
Barham	43420
Barigan	
Barkers Vale	29900
Barmedman	42016
Barneys Reef	
Barnsley	72904
Barooga	56108
Barraba	38324
Barrack Heights	56576
Barrack Point	69784
Barraganyatti	44200
Barragga Bay	61724
Barratta (NSW)	
Barren Grounds	
Barrengarry	71500
Barretts Creek	46800
Barringella	52624
Barrington (NSW)	55640
Barrington Tops	
Barry (Blayney - NSW)	66612
Barry (Upper Hunter Shire - NSW)	
Barwang	93184
Barwon	46748
Baryulgil	29900
Basin View	50440
Bass Hill	63700
Bassendean (NSW)	
Batar Creek	53612
Bateau Bay	64740
Batehaven	46852
Batemans Bay	36556
Bathampton	103948
Bathurst	53508
Batlow	48256
Baulkham Hills	109564
Baw Baw (NSW)	74984
Bawley Point	53300
Baxters Ridge	
Bayview (NSW)	76752
Beacon Hill	123188
Beaconsfield (NSW)	121160
Bean Creek	40560
Bearbong	66300
Beaumont (NSW)	97500
Beaumont Hills	144924
Beckom	71500
Bective	82316
Bectric	68224
Bedgerabong	66612
Beechwood	56836
Beecroft	135096
Beecroft Peninsula	
Beelbangera	71136
Beemunnel	
Bega	50648
Beggan Beggan	97500
Belanglo	143000
Belbora	49348
Belfield	74880
Belford	125632
Belfrayden	39624
Belgravia	102336
Belimbla Park	102960
Bell (NSW)	46748
Bella Vista	152984
Bellambi	48048
Bellangry	55224
Bellata	63336
Bellawongarah	112632
Bellbird	61100
Bellbird Heights	71136
Bellbrook	38480
Bellevue Hill	150384
Bellimbopinni	56836
Bellingen	53664
Bellmount Forest	143000
Belltrees	86632
Belmont (NSW)	54080
Belmont North	73268
Belmont South	53352
Belmore	61984
Belmore River	55796
Beloka	90948
Belowra	46800
Belrose	110084
Bemboka	45240
Ben Bullen	106132
Ben Lomond (NSW)	54600
Benandarah	38428
Bendalong	42900
Bendemeer	47060
Bendick Murrell	48048
Bendolba	48984
Bendoura	58448
Benerembah	63336
Bengalla	61724
Bennetts Green	38948
Benolong	97500
Bensville	101920
Bentley (NSW)	51220
Berala	68588
Berambing	94224
Beresfield	53664
Bergalia	72540
Berkeley	55068
Berkeley Vale	72644
Berkshire Park	89232
Berlang	
Bermagui	43836
Berowra	122460
Berowra Creek	
Berowra Heights	111176
Berowra Waters	38948
Berrambool	47476
Berrara	46332
Berremangra	71500
Berrico	37700
Berridale	57460
Berrigal	46800
Berrigan	45760
Berrilee	111436
Berrima	80496
Berringer Lake	72748
Berry	65104
Berry Jerry	81224
Berry Mountain	64948
Berry Park	100724
Berthong	71500
Beryl	68224
Bethungra	37700
Bevendale	37700
Beverley Park	94588
Beverly Hills	80548
Bewong	61724
Bexhill	75608
Bexley	80912
Bexley North	81640
Biala	71500
Bibbenluke	60112
Biddon	74724
Bidgeemia	97448
Bidwill (NSW)	41496
Bielsdown Hills	66248
Big Hill (NSW)	84448
Big Jacks Creek	97448
Big Ridge	58448
Big Springs	61724
Bigga	45032
Bilambil	69992
Bilambil Heights	67340
Bilbul	74984
Bilgola Beach	170404
Bilgola Plateau	124748
Billeroy	71448
Billilingra	71448
Billimari	43316
Billinudgel	49660
Billys Creek	27924
Billywillinga	70668
Bilpin	75660
Bimberi	
Bimbi	81224
Bimbimbie	63856
Binalong	57408
Binda	49088
Bindera	55224
Bingara	39520
Bingeebeebra Creek	37700
Bingie	50908
Bingleburra	46800
Biniguy	67184
Binjura	92872
Binna Burra (NSW)	68224
Binnaway	36920
Binya	75348
Birchgrove	167700
Birdwood (NSW)	25324
Birganbigil	68224
Birmingham Gardens	55172
Birriwa	55224
Birrong	71396
Bishops Bridge	99632
Bithramere	74724
Black Creek (Port Macquarie-Hastings - NSW)	62816
Black Creek (Snowy Valleys - NSW)	37700
Black Head	51480
Black Hill (NSW)	112632
Black Hollow	58448
Black Mountain (NSW)	79040
Black Range (NSW)	68692
Black Springs (NSW)	68224
Blackalls Park	59228
Blackbutt (NSW)	71396
Blackett	52936
Blackheath	56004
Blackmans Flat	84448
Blackmans Point	46800
Blacksmiths	51376
Blacktown	75868
Blackville	63648
Blackwall (NSW)	61776
Blair Athol (NSW)	114712
Blairmount	96200
Blakebrook	56316
Blakehurst	108160
Blakney Creek	69316
Bland	55224
Blandford	60632
Blaxland (NSW)	94328
Blaxlands Creek	74724
Blaxlands Ridge	110968
Blayney	56628
Bligh Park	91676
Blighty	49660
Blowering	
Blue Bay	59332
Blue Haven	69212
Blue Knob	31408
Blue Mountains National Park	
Blue Nobby	58448
Blue Vale	84448
Blueys Beach	42588
Boambee	80964
Boambee East	60632
Boambolo	117000
Boat Harbour (Lismore - NSW)	80600
Boat Harbour (Port Stephens - NSW)	77012
Bobadah	23400
Bobin	46020
Bobs Creek	46800
Bobs Farm	66872
Bobundara	58500
Boco	
Bocoble	45760
Bocobra	48048
Bodalla	49764
Bodangora	79612
Boeill Creek	111800
Bogan	
Bogan Gate	42432
Bogangar	66560
Bogee	38948
Boggabilla	47788
Boggabri	60424
Bogong Peaks Wilderness	
Bohena Creek	85384
Bohnock	68224
Bolaro	43316
Bolivia	46800
Bolong	76336
Bolton Point	52468
Bolwarra (NSW)	88712
Bolwarra Heights	111644
Bom Bom	
Bomaderry	48204
Bombah Point	
Bombala	56680
Bombay	66612
Bombira	112632
Bombo	71500
Bombowlee	79248
Bombowlee Creek	81224
Bomen	112632
Bomera	61724
Bonalbo	37700
Bondi	113100
Bondi Beach	117156
Bondi Forest	
Bondi Junction	105352
Bonnells Bay	62920
Bonnet Bay	140712
Bonny Hills	65728
Bonnyrigg	62192
Bonnyrigg Heights	87308
Bonshaw (NSW)	45500
Bonville	75556
Booerie Creek	54756
Book Book	84500
Booker Bay	52104
Bookham	65936
Bookookoorara	31824
Bookram	
Boolambayte	48516
Boolaroo	61724
Boolcarroll	129948
Booligal	84500
Boolijah	
Boomanoomana	71500
Boomerang Beach	57928
Boomey	95316
Boomi	71500
Boomi Creek	50024
Boona Mount	81224
Boonal	54132
Boonoo Boonoo	37700
Boorabee Park	69316
Booragul	48464
Booral (NSW)	73112
Boorga	97500
Boorganna	31824
Boorolong	50232
Boorook	24908
Boorooma	108056
Booroorban	68224
Boorowa	50596
Bootawa	55224
Booti Booti	
Booyong	58500
Bora Ridge	62192
Borah Creek	39624
Borambola	81224
Border Ranges	
Boree	98748
Boree Creek	53768
Borenore	103116
Boro	106548
Bossley Park	78572
Bostobrick	53248
Botany	105456
Botobolar	71448
Bottle Creek	35724
Bouddi	
Bourbah	94224
Bourke	68172
Bourkelands	99424
Bournda	57408
Bournewood	80184
Bow Bowing	93444
Bowan Park	93184
Bowen Mountain	89648
Bowenfels	40924
Bowling Alley Point	55224
Bowman	55796
Bowman Farm	46800
Bowmans Creek	90948
Bowna	86632
Bowning	72228
Bowral	67548
Bowraville	38584
Box Head	
Box Hill (NSW)	91520
Box Ridge	60112
Boxers Creek	62088
Boydtown	43316
Bradbury (NSW)	71396
Braefield	69316
Braemar	88816
Braemar Bay	29900
Braidwood	56732
Brandy Hill	105456
Branxton	87256
Braunstone	75192
Brawboy	38948
Bray Park (NSW)	48516
Brays Creek	44200
Brayton	58500
Breadalbane (NSW)	84448
Breakfast Creek	61724
Breakfast Point	113100
Bream Beach	
Bredbo	87412
Breelong	40924
Breeza	67600
Bretti	37700
Brewarrina	47996
Brewongle	66612
Briarbrook	
Bribbaree	37128
Bridgman	107224
Brierfield	68796
Brighton-le-Sands	71084
Brightwaters	69316
Bril Bril	
Brimbin	39208
Brindabella	58500
Brinerville	
Bringelly	88400
Bringenbrong	45032
Brisbane Grove	84500
Broadmeadow	66976
Broadwater (Bega Valley - NSW)	66300
Broadwater (Richmond Valley - NSW)	49140
Broadway	68224
Brobenah	84448
Brocklehurst	62192
Brocklesby	54600
Brockley	37700
Brodies Plains	54132
Brogans Creek	
Brogers Creek	58500
Brogo	50804
Broke (NSW)	86424
Broken Head	72540
Broken Hill	50336
Brombin	84500
Bronte	138892
Brookdale (NSW)	188500
Brookfield (NSW)	72748
Brooklana	44200
Brooklet	97500
Brooklyn (NSW)	84812
Brookong	
Brookvale	94744
Brooman	110448
Brooms Head	36556
Broughams Gate	
Broughton (NSW)	84500
Broughton Vale	80132
Broughton Village	97500
Broulee	52104
Brownlow Hill	119548
Browns Creek	102648
Browns Mountain	90948
Brownsville	45500
Brucedale	114400
Bruie Plains	71448
Bruinbun	58448
Brumby Plains	
Brundee	61724
Brungle	44200
Brungle Creek	87724
Brunkerville	66612
Brunswick Heads	43888
Brushgrove	47736
Brushy Creek	74724
Buangla	
Bucca (NSW)	65572
Bucca Wauka	40248
Buccarumbi	46800
Buchanan (NSW)	94224
Buckajo	70876
Buckaroo	68224
Buckenbowra	
Buckenderra	39624
Buckendoon	71500
Bucketty	68692
Buckra Bendinni	49868
Budawang	58500
Buddabadah	125632
Budden	37700
Budderoo	
Buddong	
Budgee Budgee (NSW)	87724
Budgewoi	53508
Budgewoi Peninsula	
Budgong	48516
Buff Point	57408
Bugaldie	34528
Bukalong	
Bukkulla	58500
Bulahdelah	40560
Bulee	
Bulga (NSW)	80756
Bulga Forest	
Bulgary	
Bulla (NSW)	
Bulla Creek	71500
Bullaburra	72228
Bullagreen	87724
Bullarah	74048
Bullatale	40560
Bullawa Creek	58500
Bulldog	24232
Bulli	98592
Bulliac	58500
Bullio	71500
Bulyeroi	46800
Bumbaldry	50232
Bumbalong	110448
Bundabah	42432
Bundagen	24856
Bundanoon (NSW)	57564
Bundarra	40196
Bundeena	83928
Bundella	71500
Bundemar	97500
Bundewallah	71500
Bundook	38064
Bundure	
Bungaba	48048
Bungabbee	
Bungalora	70200
Bungarby	53248
Bungarribee	133120
Bungawalbin	43836
Bungendore	130728
Bungonia	53300
Bungowannah	93132
Bungwahl	48932
Bunnaloo	60320
Bunnan	43316
Bunyah	49348
Bunyan	56628
Burcher	71448
Bureen	71500
Burnt Bridge	55224
Burnt Yards	113724
Buronga	59748
Burra (Queanbeyan-Palerang Regional - NSW)	132600
Burra (Snowy Valleys - NSW)	60112
Burra Creek	48516
Burraboi	68224
Burradoo	90116
Burraga	46800
Burragate	35724
Burrandana	71500
Burraneer	148720
Burrangong	48672
Burrapine	27248
Burrawang	71500
Burrell Creek	53612
Burren Junction	52728
Burrier	68224
Burrill Lake	44928
Burringbar	60580
Burrinjuck	50024
Burroway	68900
Burrumbuttock	63648
Burrundulla	99112
Burwood (NSW)	72696
Burwood Heights	96876
Busby	53352
Busbys Flat	37648
Bushells Ridge	37648
Buttaba	74620
Buttai	116948
Butterwick	122148
Buxton (NSW)	92924
Byabarra	75608
Byadbo Wilderness	
Byangum	57408
Bylong	81224
Byng	97500
Byrock	43316
Byron Bay	62244
Byrrill Creek	38324
Bywong	127400
Cabarita (NSW)	133068
Cabarita Beach	56316
Cabbage Tree Island (Ballina - NSW)	43316
Cabbage Tree Island (Mid-Coast - NSW)	
Cabramatta	50336
Cabramatta West	61828
Cabramurra	
Caddens	113880
Cadgee (NSW)	46800
Cadia	
Caffreys Flat	38636
Cairncross	
Calala	79040
Calamia	36400
Calderwood	98540
Caldwell	54184
Calga	81224
Califat	
Calimo	86632
Callaghan	
Callaghans Creek	
Callala Bay	53248
Callala Beach	46644
Calliope (NSW)	54132
Caloola	72384
Cambalong	
Camberwell (NSW)	71500
Cambewarra	100724
Cambewarra Village	97500
Camboon (NSW)	35724
Cambra	75816
Cambridge Gardens	91832
Cambridge Park	74308
Cambridge Plateau	
Camden	71708
Camden Head	46800
Camden Park (NSW)	144352
Camden South	94224
Camellia	
Cameron Park	109356
Camerons Creek	38428
Camira (NSW)	33748
Cammeray	122772
Camp Creek (NSW)	32448
Campbelltown (NSW)	62712
Camperdown (NSW)	93392
Campsie	64428
Campvale	58448
Cams Wharf	79248
Canada Bay	103428
Canadian Lead	
Canbelego	58448
Candelo	53508
Cangai	71500
Caniaba	85540
Canley Heights	65520
Canley Vale	54756
Canobolas	97500
Canoelands	100724
Canonba	117000
Canowindra	47840
Canterbury (NSW)	78156
Canton Beach	34996
Canyonleigh	68224
Caparra	53612
Capeen Creek	33748
Capertee	39312
Capoompeta	
Captains Flat	72176
Carabost	46800
Caragabal	66872
Carcalgong	43316
Carcoar	43316
Cardiff (NSW)	64012
Cardiff Heights	76336
Cardiff South	72072
Carey Bay	62712
Cargo	74516
Carinda	53612
Caringbah	81536
Caringbah South	113360
Carlaminda	112632
Carlingford	95316
Carlton (NSW)	83200
Carnes Hill	120068
Carnham	
Carool	66612
Caroona	48828
Carrabolla	
Carrai	
Carramar (NSW)	48152
Carrathool	65572
Carrick (NSW)	80184
Carrington (Mid-Coast - NSW)	35724
Carrington (Newcastle - NSW)	72904
Carrington Falls	31824
Carroll	62192
Carrowbrook	37700
Carrs Creek	62348
Carrs Island	
Carrs Peninsula	49348
Carss Park	92508
Cartwright	38480
Cartwrights Hill	84500
Carwell	97500
Carwoola	136760
Cascade (NSW)	
Casino	45500
Cassilis (NSW)	57252
Castle Cove	145444
Castle Doyle	84500
Castle Hill (NSW)	115388
Castle Rock	92612
Castlecrag	197548
Castlereagh	99320
Casuarina (NSW)	99476
Casula	82368
Catalina	47892
Cataract	
Cathcart (NSW)	58500
Catherine Field	93548
Catherine Hill Bay	73632
Cathundral	61724
Cattai	104676
Cattle Creek (NSW)	58500
Cavan (NSW)	84448
Caves Beach	73164
Cawdor (NSW)	109668
Cawongla	38376
Cecil Hills	111124
Cecil Park	104572
Cedar Brush Creek	75816
Cedar Creek (Cessnock - NSW)	58500
Cedar Creek (Tweed - NSW)	
Cedar Party	56316
Cedar Point	70564
Cells River	
Centennial Park (NSW)	104520
Central Colo	116948
Central Macdonald	74724
Central Mangrove	92300
Central Tilba	47268
Cessnock	51480
Chaelundi	
Chain Valley Bay	43888
Chakola	49348
Chambigne	55224
Charbon	37232
Charles Sturt University	
Charlestown (NSW)	74048
Charleys Forest	37700
Charlotte Bay	61984
Charlton (NSW)	
Charmhaven	62088
Chatham Valley	61724
Chatsbury	96200
Chatswood	97812
Chatswood West	131716
Chatsworth (NSW)	65520
Cheero Point	81224
Cheltenham (NSW)	164840
Cherry Tree Hill	50232
Cherrybrook	127036
Chester Hill	58500
Chichester (NSW)	48516
Chifley (NSW)	94432
Chilcotts Creek	
Chilcotts Grass	86632
Chillingham	44200
Chinderah	34528
Chinnock	93132
Chippendale	65000
Chipping Norton	92196
Chisholm (NSW)	119340
Chiswick	115440
Chittaway Bay	75036
Chittaway Point	83356
Chowan Creek	29900
Chullora	
Church Point	134680
Clandulla	46800
Clare (NSW)	
Claremont Meadows	107900
Clarence	61724
Clarence Town	82056
Clarendon (NSW)	84500
Clarenza	76180
Clareville	130520
Claymore	36296
Clear Creek	94224
Clear Range	84500
Clearfield	
Clemton Park	78416
Clergate	83200
Cleveland (NSW)	123448
Clifden	68224
Cliftleigh	80184
Clifton (NSW)	81224
Clifton Grove	110864
Clontarf (NSW)	194688
Clothiers Creek	102336
Clouds Creek	
Clovelly	143936
Clunes (NSW)	71916
Clybucca	58500
Clyde (NSW)	
Clydesdale (NSW)	110448
Coal Point	93652
Coalcliff	121316
Coaldale	46800
Coasters Retreat	
Cobaki	83824
Cobaki Lakes	58500
Cobar	85800
Cobar Park	39624
Cobargo	39520
Cobark	61724
Cobbadah	61724
Cobbitty	109200
Cobramunga	61724
Cockwhy	84500
Codrington (NSW)	71500
Coffee Camp	40664
Coffs Harbour	52988
Coggan	
Cogra Bay	46800
Coila	44200
Coldstream (NSW)	48048
Coleambally	68796
Colebee	144924
Coledale	112008
Colinroobie	84500
Colinton (NSW)	87724
Collarenebri	47164
Collaroy (NSW)	109980
Collaroy Plateau	131196
Collector	92872
Collendina	74724
Collerina	71500
Collie (NSW)	60632
Collingullie	70200
Collingwood (NSW)	56316
Collins Creek	50232
Collombatti	52364
Collum Collum	
Colly Blue	38948
Colo (Bathurst Regional - NSW)	
Colo (Hawkesbury - NSW)	71500
Colo Heights	73892
Colo Vale	79508
Colongra	
Colyton	73580
Comara	31824
Combaning	85540
Combara	44200
Comberton	49348
Comboyne	48984
Come By Chance	68900
Comerong Island	61724
Commissioners Creek	54184
Como (NSW)	132236
Comobella	64948
Conargo	57200
Concord	108056
Concord West	107744
Condell Park	72384
Condobolin	53300
Condong	63960
Coneac	37700
Congarinni	59280
Congarinni North	55900
Congewai	67184
Congo	52676
Conimbia	29900
Coniston	59020
Conjola	84448
Conjola Park	47944
Connells Point	118924
Constitution Hill	75036
Coogee (NSW)	124592
Cookamidgera	42848
Cookardinia	46748
Cooks Gap	56992
Cooks Hill	77844
Cooks Myalls	71500
Coolabah	74724
Coolac	56628
Coolagolite	50804
Coolah	50700
Coolamon	67808
Coolangatta (NSW)	105976
Coolangubra	
Coolatai	40456
Cooleman	
Cooleys Creek	46800
Coolgardie (NSW)	74724
Coolongolook	43472
Coolringdon	97500
Coolumbooka	
Coolumburra	
Cooma (NSW)	52312
Coomba Bay	40560
Coomba Park	37856
Coombadjha	46800
Coombell	39624
Coomealla	52676
Coomoo Coomoo	85748
Coonabarabran	46592
Coonamble	52780
Coongbar	
Cooperabung	92092
Coopernook	43056
Coopers Gully	75816
Coopers Shoot	71500
Cooplacurripa	49348
Coorabell	65312
Cooranbong	64064
Cootamundra	47320
Cootralantra	75348
Cooyal	99112
Copacabana	95524
Cope	58500
Copeland	55224
Copeton	58500
Copmanhurst	39312
Coppabella (NSW)	
Copperhannia	
Coraki	46540
Coralville	45500
Coramba	65260
Corang	
Corangula	37648
Corbie Hill	68224
Cordeaux	
Cordeaux Heights	117780
Coree	97500
Coreen	63856
Corindi Beach	65104
Corinella (NSW)	73632
Corlette	66612
Corndale (NSW)	69836
Corney Town	38948
Cornwallis	116948
Corobimilla	72748
Corowa	51896
Corrabare	117000
Corrimal	63960
Corrong	
Corrowong	
Corunna	54132
Cottage Point	108316
Cottonvale (NSW)	38948
Cougal	37700
Countegany	37700
Courabyra	74724
Couradda	58500
Couragago	
Couridjah	100256
Coutts Crossing	51792
Cow Flat	71500
Cowabbie	
Cowan	103532
Cowper	46800
Cowra	50232
Coxs Creek	37700
Coxs Crown	31148
Crabbes Creek	53612
Crackenback	93132
Craigie (NSW)	37700
Cranebrook	97448
Crangan Bay	
Craven	45032
Craven Plateau	
Crawford River	68224
Crawney	49348
Creewah	53248
Cremorne (NSW)	122096
Cremorne Point	130312
Crescent Head	52780
Crestwood	72540
Cringila	46852
Croki	44200
Cromer (NSW)	103896
Cronulla	93288
Crooble	81224
Croobyar	72748
Crooked Corner	56836
Crookwell	52052
Croom	94224
Croppa Creek	67132
Cross Roads (NSW)	117000
Crosslands	66612
Croudace Bay	75296
Crowdy Bay National Park	
Crowdy Head	48048
Crows Nest (NSW)	120224
Crowther	49348
Crowther Island	
Croydon (NSW)	95992
Croydon Park (NSW)	83044
Crudine	37700
Cryon	55224
Crystal Creek (NSW)	58500
Cubba	73112
Cudal	66560
Cudgegong	97448
Cudgel	60632
Cudgen	74620
Cudgera Creek	74360
Cudmirrah	47580
Culburra Beach	48932
Culcairn	54756
Cullen Bullen	40456
Cullenbone	87724
Cullendore	49348
Cullerin	107224
Cullivel	39624
Culmaran Creek	71448
Cumbalum	93600
Cumbandry	58500
Cumberland Reach	100724
Cumbo	
Cumborah	25532
Cumnock	49556
Cundle Flat	31824
Cundletown	55796
Cundumbul	110500
Cunjurong Point	40560
Cunningar	63648
Cunninyeuk	60632
Curban	76336
Curl Curl	140036
Curlew Waters	58500
Curlewis (NSW)	57200
Curlwaa	58500
Curra Creek	39624
Currabubula	58032
Curragh	
Curramore (NSW)	102076
Currans Hill	96720
Currarong	43888
Currawang	114400
Currawarna	72384
Curraweela	53248
Curricabark	
Currowan	58500
Cuttabri	38948
Cuttagee	46800
Dabee	46800
Daceyville	25896
Dairy Arm	110500
Dairy Flat	24388
Dairymans Plains	95316
Daleys Point	48568
Dalgety	50232
Dalmeny	46852
Dalmorton	
Dalswinton	84448
Dalton	60892
Dalwood (Ballina - NSW)	84500
Dalwood (Singleton - NSW)	114816
Dandaloo	71448
Dandry	37700
Dangar Island	71500
Dangarsleigh	81224
Dangelong	
Dapto	64376
Darawank	60788
Darbalara	81224
Darbys Falls	49660
Dareton	38688
Dargan	40092
Dark Corner	71500
Darkes Forest	106184
Darkwood	40560
Darling Point	154232
Darlinghurst	112216
Darlington (Singleton - NSW)	74724
Darlington (Sydney - NSW)	57772
Darlington Point	58812
Darlow	110500
Dartbrook	73112
Daruka	116012
Davidson	136760
Davis Creek	53248
Davistown	61152
Dawes Point	197912
Daysdale	43316
Dean Park	83200
Deauville	110448
Debenham	
Dee Why	89232
Deep Creek (Clarence Valley - NSW)	
Deep Creek (Kempsey - NSW)	53092
Deep Creek (Kyogle - NSW)	44148
Deepwater (NSW)	34580
Deer Vale	40924
Delegate	44408
Delungra	40664
Denham Court	92404
Denhams Beach	55380
Deniliquin	55276
Denistone	121316
Denistone East	110708
Denistone West	110656
Denman	61152
Depot Beach	39624
Derriwong	61724
Deua	
Deua River Valley	39624
Devils Hole	58500
Dewitt	
Dharruk	66612
Dhulura	116948
Dhuragoon	84500
Diamond Beach	61724
Diamond Head	
Diehard	25116
Diggers Camp	46748
Dignams Creek	46748
Dilkoon	35048
Dilpurra	110500
Dingo Forest	
Dinoga	44200
Dirnaseer	71500
Dirty Creek	56316
Dobies Bight	66248
Doctor George Mountain	84500
Doctors Gap	46800
Dog Rocks	
Dolans Bay	146380
Dolls Point	74776
Dollys Flat	56836
Dolphin Point	45760
Dombarton	117000
Donald Creek	123448
Dondingalong	50336
Doon Doon	38948
Doonbah	40144
Doonside	69680
Dooralong	89648
Dora Creek	60008
Dorrigo	40300
Dorrigo Mountain	46800
Dorroughby	59280
Double Bay	128856
Doubtful Creek	52676
Douglas Park	101036
Dover Heights	157612
Downside	97500
Doyalson	64012
Doyalson North	34632
Doyles Creek	58448
Doyles River	
Drake	25324
Drildool	84500
Dripstone	61724
Drummoyne	122356
Dry Creek (NSW)	84500
Dry Plain	67600
Dubbo	69732
Duck Creek	49348
Duckenfield	62504
Duckmaloi	50232
Dudley	103532
Duffys Forest	170248
Dulguigan	67184
Dulwich Hill	94068
Dum Dum	57408
Dumaresq	68224
Dumaresq Island	87724
Dumaresq Valley	25116
Dumbudgery	
Dunbible	67132
Dunbogan	45500
Duncans Creek	46800
Dundas (NSW)	88452
Dundas Valley	80652
Dundee	55900
Dundurrabin	24648
Dunedoo	45292
Dungarubba	69836
Dungay	81588
Dungeree	
Dungog	43784
Dungowan	66872
Dunkeld (NSW)	101816
Dunmore (NSW)	92300
Dunolly (NSW)	75816
Dunoon	54080
Duns Creek	92300
Dunville Loop	
Dural (Hornsby - NSW)	112528
Dural (Singleton - NSW)	
Duramana	78676
Duranbah	68224
Duri	75244
Duroby	62816
Durran Durra	80184
Durras North	55224
Durren Durren	84448
Duval	
Dyers Crossing	54184
Dyraaba	43680
Dyrring	112632
Eagle Vale	83824
Eagleton	84500
Earlwood	94848
East Albury	69004
East Ballina	65832
East Branxton	88920
East Coraki	59280
East Corrimal	66352
East Gosford	55380
East Gresford	55224
East Hills	78572
East Jindabyne	86112
East Kangaloon	84500
East Kempsey	48360
East Killara	131248
East Kurrajong	113724
East Lindfield	158444
East Lismore	52000
East Lynne	44200
East Maitland	61256
East Ryde	134420
East Seaham	88816
East Tamworth	71136
East Wagga Wagga	55224
East Wardell	59540
Eastern Creek	83876
Eastgardens	95316
Eastlakes	54652
Eastwood (NSW)	85696
Eatonsville	41288
Ebenezer (NSW)	98072
Ebor	41132
Eccleston	29900
Edderton	
Eden	44304
Eden Creek	50492
Edensor Park	85124
Edenville	56316
Edgecliff	114296
