SSC_NAME16	PrivateDwelling	persons
Hanging Rock	0	20
Hanging Rock	1	66
Hanleys Creek	1	4
Hannam Vale	0	8
Hannam Vale	1	167
Hanwood	0	110
Hanwood	1	1120
Harden	0	170
Harden	1	1820
Hardys Bay	0	12
Hardys Bay	1	199
Harefield	0	3
Harefield	1	140
Hargraves	0	28
Hargraves	1	230
Harolds Cross	0	8
Harolds Cross	1	40
Harparary	1	40
Harpers Hill	1	55
Harrington	0	178
Harrington	1	2766
Harrington Park	0	238
Harrington Park	1	10343
Harris Park	0	563
Harris Park	1	5173
Hartley (NSW)	0	27
Hartley (NSW)	1	390
Hartley Vale	0	14
Hartley Vale	1	48
Hartwood	0	10
Hartwood	1	12
Hartys Plains	0	3
Hartys Plains	1	23
Harwood	0	24
Harwood	1	266
Hassall Grove	0	187
Hassall Grove	1	4330
Hastings Point	0	262
Hastings Point	1	604
Hat Head	0	87
Hat Head	1	292
Hatfield	1	11
Havilah (NSW)	0	3
Havilah (NSW)	1	19
Hawkesbury Heights	0	11
Hawkesbury Heights	1	441
Hawks Nest	0	236
Hawks Nest	1	1058
Hay (NSW)	0	375
Hay (NSW)	1	1992
Hay South	0	110
Hay South	1	319
Hayes Gap	0	3
Hayes Gap	1	11
Haymarket	0	3620
Haymarket	1	5959
Haystack	1	9
Hayters Hill	1	18
Haywards Bay	0	12
Haywards Bay	1	969
Hazelbrook	0	119
Hazelbrook	1	4760
Hazelgrove	0	9
Hazelgrove	1	75
Heathcote (NSW)	0	254
Heathcote (NSW)	1	5680
Heatherbrae	0	101
Heatherbrae	1	450
Hebden	0	8
Hebden	1	29
Hebersham	0	323
Hebersham	1	5338
Heckenberg	0	223
Heckenberg	1	2901
Heddon Greta	0	47
Heddon Greta	1	1977
Heifer Station	1	8
Helensburgh	0	293
Helensburgh	1	5927
Henley	0	23
Henley	1	442
Henty (NSW)	0	83
Henty (NSW)	1	1130
Hereford Hall	0	3
Hereford Hall	1	20
Hermidale	0	36
Hermidale	1	103
Hermitage Flat	0	16
Hermitage Flat	1	310
Hernani	0	11
Hernani	1	115
Herons Creek	0	10
Herons Creek	1	209
Hexham (NSW)	0	10
Hexham (NSW)	1	115
Hickeys Creek	0	16
Hickeys Creek	1	107
High Range	0	31
High Range	1	367
Higher Macdonald	1	9
Highfields (NSW)	0	6
Highfields (NSW)	1	801
Hill End (NSW)	0	15
Hill End (NSW)	1	88
Hill Top (Snowy Monaro Regional - NSW)	0	25
Hill Top (Snowy Monaro Regional - NSW)	1	78
Hill Top (Wingecarribee - NSW)	0	106
Hill Top (Wingecarribee - NSW)	1	2525
Hilldale	0	10
Hilldale	1	182
Hillgrove (Armidale Regional - NSW)	0	16
Hillgrove (Armidale Regional - NSW)	1	157
Hillgrove (Wagga Wagga - NSW)	0	3
Hillgrove (Wagga Wagga - NSW)	1	22
Hillsborough (Lake Macquarie - NSW)	0	10
Hillsborough (Lake Macquarie - NSW)	1	621
Hillsborough (Maitland - NSW)	0	3
Hillsborough (Maitland - NSW)	1	38
Hillsdale	0	418
Hillsdale	1	4991
Hillston	0	216
Hillston	1	1234
Hillville	0	3
Hillville	1	298
Hillvue	0	266
Hillvue	1	5927
Hinchinbrook (NSW)	0	279
Hinchinbrook (NSW)	1	10941
Hinton	0	11
Hinton	1	427
Hobartville (NSW)	0	95
Hobartville (NSW)	1	2642
Hobbys Yards	0	12
Hobbys Yards	1	75
Hogarth Range	1	44
Holbrook	0	186
Holbrook	1	1500
Holgate	0	29
Holgate	1	905
Hollisdale	1	47
Hollydeen	0	12
Hollydeen	1	47
Holmesville	0	51
Holmesville	1	1282
Holroyd	0	51
Holroyd	1	1227
Holsworthy	0	1026
Holsworthy	1	4744
Holts Flat	1	4
Home Rule	0	3
Home Rule	1	49
Homebush (NSW)	0	380
Homebush (NSW)	1	6411
Homebush West	0	912
Homebush West	1	7605
Homeleigh	0	13
Homeleigh	1	95
Honeybugle	1	21
Hopefield	0	23
Hopefield	1	62
Hopkins Creek	0	3
Hopkins Creek	1	105
Horningsea Park	0	103
Horningsea Park	1	3604
Hornsby	0	1392
Hornsby	1	20938
Hornsby Heights	0	92
Hornsby Heights	1	6108
Horse Station Creek	1	104
Horseshoe Bend	0	30
Horseshoe Bend	1	332
Horseshoe Creek	1	85
Horsfield Bay	0	41
Horsfield Bay	1	482
Horsley	0	231
Horsley	1	7859
Horsley Park	0	125
Horsley Park	1	1697
Hoskinstown	0	30
Hoskinstown	1	173
Hovells Creek	0	6
Hovells Creek	1	31
Howards Grass	0	4
Howards Grass	1	71
Howell	0	3
Howell	1	27
Howes Valley	0	59
Howes Valley	1	66
Howlong	0	252
Howlong	1	2440
Hoxton Park	0	152
Hoxton Park	1	4176
Humula	0	3
Humula	1	113
Hungerford (NSW)	0	14
Hungerford (NSW)	1	8
Hunters Hill	0	1442
Hunters Hill	1	7918
Hunterview	0	141
Hunterview	1	2807
Huntingdon	1	83
Huntingwood	0	11
Huntley (Orange - NSW)	0	8
Huntley (Orange - NSW)	1	146
Huntley (Wollongong - NSW)	1	45
Huntleys Cove	0	42
Huntleys Cove	1	719
Huntleys Point	0	3
Huntleys Point	1	139
Huonbrook	0	44
Huonbrook	1	96
Hurlstone Park	0	224
Hurlstone Park	1	4419
Hurstville	0	1276
Hurstville	1	28460
Hurstville Grove	0	70
Hurstville Grove	1	2594
Huskisson	0	169
Huskisson	1	695
Hyams Beach	0	6
Hyams Beach	1	92
Hyland Park	0	26
Hyland Park	1	412
Hyndmans Creek	1	60
Ilarwill	0	14
Ilarwill	1	199
Ilford	0	28
Ilford	1	156
Illabo	0	9
Illabo	1	133
Illaroo	0	3
Illaroo	1	36
Illawong	0	200
Illawong	1	7002
Iluka (NSW)	0	398
Iluka (NSW)	1	1571
Indi	1	39
Ingebirah	0	11
Ingebirah	1	85
Ingleburn	0	729
Ingleburn	1	14268
Ingleside	0	76
Ingleside	1	860
Innes View	1	33
Inverell	0	979
Inverell	1	10625
Invergordon (NSW)	0	6
Invergordon (NSW)	1	19
Invergowrie	0	43
Invergowrie	1	708
Iron Pot Creek	1	28
Ironbark (NSW)	1	31
Ironmungy	1	3
Irvington	0	5
Irvington	1	81
Irymple (NSW)	1	11
Isabella	0	3
Isabella	1	31
Islington	0	104
Islington	1	1714
Ivanhoe (NSW)	0	171
Ivanhoe (NSW)	1	215
Jackadgery	0	12
Jackadgery	1	80
Jacks Creek	0	9
Jacks Creek	1	124
Jacksons Flat	0	3
Jacksons Flat	1	9
Jacky Bulbin Flat	1	21
Jamberoo	0	111
Jamberoo	1	1488
James Creek	0	13
James Creek	1	194
Jamisontown	0	419
Jamisontown	1	5068
Jannali	0	319
Jannali	1	5755
Jaspers Brush	0	28
Jaspers Brush	1	325
Jaunter	1	8
Jeir	0	13
Jeir	1	240
Jellat Jellat	0	6
Jellat Jellat	1	71
Jemalong	0	18
Jemalong	1	59
Jembaicumbene	1	41
Jennings	0	16
Jennings	1	139
Jenolan	0	18
Jenolan	1	11
Jeogla	1	39
Jerangle	0	3
Jerangle	1	90
Jeremadra	0	9
Jeremadra	1	165
Jeremy	0	7
Jeremy	1	3
Jerilderie	0	152
Jerilderie	1	869
Jerrabattgulla	1	11
Jerrabomberra	0	165
Jerrabomberra	1	9077
Jerrara	0	14
Jerrara	1	135
Jerrawa	0	9
Jerrawa	1	63
Jerrawangala	0	9
Jerrawangala	1	58
Jerrong	0	3
Jerrong	1	4
Jerrys Plains	0	131
Jerrys Plains	1	259
Jerseyville	0	3
Jerseyville	1	111
Jesmond	0	309
Jesmond	1	2790
Jewells	0	26
Jewells	1	2321
Jiggi	0	48
Jiggi	1	341
Jilliby	0	118
Jilliby	1	1511
Jimenbuen	0	3
Jimenbuen	1	29
Jincumbilly	1	4
Jindabyne	0	4155
Jindabyne	1	2389
Jinden	0	4
Jinden	1	23
Jindera	0	129
Jindera	1	2056
Jingellic	0	6
Jingellic	1	43
Jingera	0	10
Jingera	1	30
Joadja	0	18
Joadja	1	109
Joes Box	1	15
Johns River	0	62
Johns River	1	264
Jones Bridge	0	8
Jones Bridge	1	17
Jones Creek	0	4
Jones Creek	1	106
Jones Island	0	8
Jones Island	1	61
Jordan Springs	0	146
Jordan Springs	1	4971
Judds Creek	1	16
Jugiong	0	23
Jugiong	1	190
Junction Hill	0	30
Junction Hill	1	1308
Junee	0	1252
Junee	1	3576
Junee Reefs	0	6
Junee Reefs	1	69
Kahibah	0	39
Kahibah	1	2354
Kains Flat	0	10
Kains Flat	1	156
Kalang	0	25
Kalang	1	218
Kalaru	0	57
Kalaru	1	609
Kalkite	0	27
Kalkite	1	196
Kamarah	0	7
Kamarah	1	83
Kameruka	0	3
Kameruka	1	109
Kanahooka	0	244
Kanahooka	1	5166
Kandos	0	151
Kandos	1	1147
Kangaloon	0	21
Kangaloon	1	129
Kangaroo Creek	0	10
Kangaroo Creek	1	94
Kangaroo Point (NSW)	0	13
Kangaroo Point (NSW)	1	536
Kangaroo Valley	0	206
Kangaroo Valley	1	732
Kangaroobie	1	38
Kangiara	0	11
Kangiara	1	48
Kangy Angy	0	14
Kangy Angy	1	278
Kanimbla (NSW)	0	16
Kanimbla (NSW)	1	115
Kanoona	0	3
Kanoona	1	133
Kanwal	0	595
Kanwal	1	3481
Kapooka	0	1107
Kapooka	1	147
Kaputar	0	8
Kaputar	1	4
Karaak Flat	0	9
Karaak Flat	1	44
Karabar	0	410
Karabar	1	7770
Karangi	0	60
Karangi	1	511
Kareela	0	35
Kareela	1	3378
Kariong	0	365
Kariong	1	5943
Kars Springs	1	31
Karuah	0	131
Karuah	1	1273
Katoomba	0	1100
Katoomba	1	7105
Kayuga	1	56
Kearns	0	45
Kearns	1	2666
Kearsley	0	37
Kearsley	1	794
Keepit	0	42
Keepit	1	10
Keera	0	5
Keera	1	43
Keerrong	0	26
Keerrong	1	134
Keinbah	1	115
Keiraville	0	470
Keiraville	1	3147
Keith Hall	0	48
Keith Hall	1	134
Kellys Plains	0	4
Kellys Plains	1	147
Kellyville	0	653
Kellyville	1	27023
Kellyville Ridge	0	342
Kellyville Ridge	1	10055
Kelso (NSW)	0	588
Kelso (NSW)	1	8207
Kelvin	0	13
Kelvin	1	162
Kembla Grange	0	19
Kembla Grange	1	234
Kembla Heights	0	10
Kembla Heights	1	111
Kemps Creek	0	266
Kemps Creek	1	1989
Kempsey	0	113
Kempsey	1	421
Kendall	0	79
Kendall	1	1027
Kenebri	1	41
Kennaicle Creek	1	5
Kensington (NSW)	0	4020
Kensington (NSW)	1	11001
Kenthurst	0	129
Kenthurst	1	4856
Kentlyn	0	37
Kentlyn	1	699
Kentucky	0	14
Kentucky	1	144
Kentucky South	0	11
Kentucky South	1	118
Kerewong	1	10
Keri Keri	1	10
Kerrabee	1	8
Kerrigundi	1	8
Kerrs Creek	0	5
Kerrs Creek	1	38
Kew (NSW)	0	98
Kew (NSW)	1	938
Keybarbin	1	3
Khancoban	0	70
Khancoban	1	250
Khatambuhl	0	3
Kia Ora (NSW)	1	25
Kiacatoo	0	4
Kiacatoo	1	26
Kiah	0	12
Kiah	1	126
Kiama	0	561
Kiama	1	6273
Kiama Downs	0	150
Kiama Downs	1	4704
Kiama Heights	0	38
Kiama Heights	1	737
Kianga (NSW)	0	57
Kianga (NSW)	1	673
Kiar	1	38
Kickabil	0	3
Kickabil	1	45
Kielvale	0	3
Kielvale	1	241
Kikiamah	0	3
Kikiamah	1	93
Kikoira	1	61
Kilaben Bay	0	28
Kilaben Bay	1	1355
Kilgin	0	8
Kilgin	1	40
Kilgra	0	9
Kilgra	1	66
Killabakh	0	18
Killabakh	1	253
Killara (NSW)	0	473
Killara (NSW)	1	9978
Killarney Heights	0	71
Killarney Heights	1	4354
Killarney Vale	0	454
Killarney Vale	1	6651
Killawarra (NSW)	0	8
Killawarra (NSW)	1	152
Killcare	0	57
Killcare	1	404
Killcare Heights	0	16
Killcare Heights	1	705
Killimicat	1	33
Killingworth (NSW)	0	6
Killingworth (NSW)	1	674
Killongbutta	1	30
Kimbriki	0	9
Kimbriki	1	125
Kinchela	0	50
Kinchela	1	224
Kincumber	0	298
Kincumber	1	6655
Kincumber South	0	51
Kincumber South	1	657
Kindee	0	10
Kindee	1	88
Kindervale	0	5
Kindervale	1	12
King Creek	0	93
King Creek	1	1440
Kingfisher Shores	1	156
Kings Forest	0	3
Kings Forest	1	36
Kings Langley	0	235
Kings Langley	1	9050
Kings Park (NSW)	0	85
Kings Park (NSW)	1	3306
Kings Plains (Blayney - NSW)	0	3
Kings Plains (Blayney - NSW)	1	108
Kings Plains (Inverell - NSW)	0	3
Kings Plains (Inverell - NSW)	1	8
Kings Point	0	14
Kings Point	1	532
Kingscliff	0	1167
Kingscliff	1	6708
Kingsdale	0	12
Kingsdale	1	163
Kingsford (NSW)	0	676
Kingsford (NSW)	1	14667
Kingsgate	0	3
Kingsgate	1	3
Kingsgrove	0	391
Kingsgrove	1	12002
Kingsland	1	43
Kingstown	1	85
Kingsvale	0	13
Kingsvale	1	160
Kingswood (Bega Valley - NSW)	1	9
Kingswood (Penrith - NSW)	0	1233
Kingswood (Penrith - NSW)	1	8474
Kingswood (Tamworth Regional - NSW)	0	65
Kingswood (Tamworth Regional - NSW)	1	909
Kioloa	0	44
Kioloa	1	236
Kiora	0	10
Kiora	1	44
Kippaxs	0	12
Kippaxs	1	11
Kippenduff	0	5
Kippenduff	1	32
Kirkconnell	0	240
Kirkconnell	1	46
Kirkham	0	32
Kirkham	1	654
Kirrawee	0	488
Kirrawee	1	8649
Kirribilli	0	472
Kirribilli	1	3361
Kitchener	0	28
Kitchener	1	449
Klori	0	5
Klori	1	42
Knights Hill	0	19
Knights Hill	1	38
Knockrow	0	20
Knockrow	1	172
Knorrit Flat	1	29
Kogarah	0	1512
Kogarah	1	14197
Kogarah Bay	0	97
Kogarah Bay	1	1940
Kooba	0	22
Kooba	1	55
Kookabookra	1	9
Koolewong	0	20
Koolewong	1	850
Koolkhan	1	33
Koonawarra	0	96
Koonawarra	1	3541
Koonorigan	0	18
Koonorigan	1	302
Koonyum Range	0	7
Koonyum Range	1	7
Koorainghat	0	7
Koorainghat	1	181
Koorawatha	0	40
Koorawatha	1	382
Kooringal (NSW)	0	221
Kooringal (NSW)	1	6754
Kootingal	0	72
Kootingal	1	2029
Koraleigh	0	24
Koraleigh	1	310
Koreelah	0	4
Koreelah	1	70
Korora	0	401
Korora	1	2286
Kosciuszko National Park	0	7634
Kosciuszko National Park	1	260
Kotara	0	53
Kotara	1	3790
Kotara South	0	28
Kotara South	1	1081
Krambach	0	33
Krambach	1	338
Krawarree	0	4
Krawarree	1	38
Kremnos	0	14
Kremnos	1	159
Ku-Ring-Gai Chase	0	3
Ku-Ring-Gai Chase	1	3
Kulnura	0	38
Kulnura	1	576
Kulwin (NSW)	1	11
Kunama	0	6
Kunama	1	67
Kundabung	0	78
Kundabung	1	532
Kundibakh	0	5
Kundibakh	1	60
Kundle Kundle	0	12
Kundle Kundle	1	173
Kungala	0	4
Kungala	1	128
Kunghur	0	6
Kunghur	1	95
Kunghur Creek	0	3
Kunghur Creek	1	42
Kurmond	0	26
Kurmond	1	794
Kurnell	0	67
Kurnell	1	2173
Kurraba Point	0	106
Kurraba Point	1	1364
Kurrajong	0	174
Kurrajong	1	2816
Kurrajong Heights	0	99
Kurrajong Heights	1	1221
Kurrajong Hills	0	37
Kurrajong Hills	1	605
Kurri Kurri	0	471
Kurri Kurri	1	5577
Kyalite	0	9
Kyalite	1	82
Kyarran	1	17
Kybeyan	0	13
Kybeyan	1	25
Kyeamba	1	56
Kyeemagh	0	69
Kyeemagh	1	846
Kyle Bay	0	24
Kyle Bay	1	980
Kynnumboon	1	127
Kyogle	0	257
Kyogle	1	1897
La Perouse	0	23
La Perouse	1	380
Lacmalac	0	14
Lacmalac	1	137
Lade Vale	0	4
Lade Vale	1	119
Ladysmith	0	23
Ladysmith	1	322
Laffing Waters	0	3
Laffing Waters	1	106
Laggan	0	24
Laggan	1	334
Lagoon Grass	1	57
Laguna	0	46
Laguna	1	159
Lake Albert (NSW)	0	137
Lake Albert (NSW)	1	5772
Lake Bathurst	0	69
Lake Bathurst	1	173
Lake Brewster	1	11
Lake Burrendong	0	3
Lake Burrendong	1	4
Lake Cargelligo	0	198
Lake Cargelligo	1	1242
Lake Cathie	0	89
Lake Cathie	1	3252
Lake Conjola	0	51
Lake Conjola	1	394
Lake Cowal	1	36
Lake George	0	21
Lake George	1	85
Lake Haven	0	212
Lake Haven	1	3303
Lake Heights	0	142
Lake Heights	1	3629
Lake Hume Village	0	50
Lake Hume Village	1	58
Lake Illawarra	0	132
Lake Illawarra	1	2986
Lake Innes	0	19
Lake Innes	1	399
Lake Munmorah	0	212
Lake Munmorah	1	4912
Lake Tabourie	0	26
Lake Tabourie	1	613
Lake Wyangan	0	41
Lake Wyangan	1	843
Lakelands (NSW)	0	18
Lakelands (NSW)	1	1367
Lakemba	0	1075
Lakemba	1	15850
Lakesland	0	17
Lakesland	1	407
Lakewood	0	18
Lakewood	1	1115
Lalalty	0	13
Lalalty	1	79
Lalor Park	0	393
Lalor Park	1	7244
Lambs Valley (Glen Innes Severn - NSW)	0	11
Lambs Valley (Glen Innes Severn - NSW)	1	74
Lambs Valley (Singleton - NSW)	0	26
Lambs Valley (Singleton - NSW)	1	335
Lambton	0	92
Lambton	1	4726
Landervale	1	21
Lane Cove	0	595
Lane Cove	1	10055
Lane Cove North	0	714
Lane Cove North	1	10635
Lane Cove West	0	81
Lane Cove West	1	2540
Langley Vale	0	5
Langley Vale	1	44
Lanitza	0	23
Lanitza	1	281
Lankeys Creek	1	41
Lansdowne (Canterbury-Bankstown - NSW)	1	14
Lansdowne (Mid-Coast - NSW)	0	26
Lansdowne (Mid-Coast - NSW)	1	549
Lansdowne Forest	1	7
Lansvale	0	125
Lansvale	1	2410
Lapstone	0	49
Lapstone	1	872
Larbert	0	14
Larbert	1	29
Largs	0	112
Largs	1	1779
Larnook	0	48
Larnook	1	316
Larras Lee	0	7
Larras Lee	1	58
Laughtondale	0	5
Laughtondale	1	72
Laurel Hill	1	20
Laurieton	0	146
Laurieton	1	1809
Lavadia	1	30
Lavender Bay	0	90
Lavender Bay	1	829
Laverstock	1	26
Lavington	0	1031
Lavington	1	11302
Lawrence (NSW)	0	78
Lawrence (NSW)	1	936
Lawson (NSW)	0	132
Lawson (NSW)	1	2405
Leadville	0	45
Leadville	1	113
Leconfield	0	3
Leconfield	1	135
Lee Creek	1	4
Leeton	0	990
Leeton	1	7638
Leets Vale	0	24
Leets Vale	1	47
Leeville	0	22
Leeville	1	224
Legume	0	14
Legume	1	146
Leichhardt (NSW)	0	1221
Leichhardt (NSW)	1	13154
Lemington	0	3
Lemington	1	4
Lemon Tree	0	3
Lemon Tree	1	53
Lemon Tree Passage	0	188
Lemon Tree Passage	1	2372
Lenaghan	0	4
Lenaghan	1	50
Lennox Head	0	412
Lennox Head	1	5906
Leonay	0	95
Leonay	1	2371
Leppington	0	231
Leppington	1	3199
Lerida	1	27
Lethbridge Park	0	401
Lethbridge Park	1	4360
Leumeah	0	401
Leumeah	1	9363
Leura	0	1018
Leura	1	3783
Levenstrath	0	8
Levenstrath	1	40
Lewinsbrook	1	34
Lewis Ponds	0	19
Lewis Ponds	1	128
Lewisham (NSW)	0	364
Lewisham (NSW)	1	2748
Leycester	1	156
Liberty Grove	0	143
Liberty Grove	1	2095
Lidcombe	0	1383
Lidcombe	1	18407
Lidsdale	0	60
Lidsdale	1	345
Lidster	0	24
Lidster	1	273
Lightning Ridge	0	670
Lightning Ridge	1	1963
Lilli Pilli (Eurobodalla - NSW)	0	47
Lilli Pilli (Eurobodalla - NSW)	1	552
Lilli Pilli (Sutherland Shire - NSW)	0	17
Lilli Pilli (Sutherland Shire - NSW)	1	1344
Lillian Rock	0	38
Lillian Rock	1	170
Lilydale (NSW)	0	9
Lilydale (NSW)	1	18
Lilyfield	0	677
Lilyfield	1	6921
Lilyvale (NSW)	1	3
Limbri	0	12
Limbri	1	96
Limeburners Creek (Mid-Coast - NSW)	0	33
Limeburners Creek (Mid-Coast - NSW)	1	300
Limeburners Creek (Port Macquarie-Hastings - NSW)	0	3
Limeburners Creek (Port Macquarie-Hastings - NSW)	1	11
Limekilns	0	10
Limekilns	1	108
Limerick	1	40
Limestone (NSW)	0	4
Limestone (NSW)	1	3
Limpinwood	0	15
Limpinwood	1	207
Linburn	1	61
Linden (NSW)	0	24
Linden (NSW)	1	462
Lindendale	0	9
Lindendale	1	226
Lindesay	1	16
Lindesay Creek	1	21
Lindfield	0	354
Lindfield	1	9256
Lindifferon	1	48
Linley Point	0	4
Linley Point	1	343
Lisarow	0	223
Lisarow	1	4813
Lismore (NSW)	0	922
Lismore (NSW)	1	2998
Lismore Heights	0	94
Lismore Heights	1	2012
Liston	0	20
Liston	1	119
Lithgow	0	425
Lithgow	1	4704
Little Back Creek	0	3
Little Back Creek	1	32
Little Bay	0	557
Little Bay	1	3856
Little Billabong	0	3
Little Billabong	1	110
Little Forest	0	10
Little Forest	1	148
Little Hartley	0	30
Little Hartley	1	464
Little Jacks Creek	1	19
Little Jilliby	0	45
Little Jilliby	1	69
Little Pelican	1	4
Little Plain	1	136
Little River (NSW)	0	3
Little River (NSW)	1	37
Little Topar	0	3
Little Topar	1	26
Little Wobby	0	19
Little Wobby	1	44
Littleton	0	25
Littleton	1	745
Liverpool	0	4097
Liverpool	1	23449
Llanarth (NSW)	0	124
Llanarth (NSW)	1	1988
Llandilo	0	116
Llandilo	1	1491
Llangothlin	0	4
Llangothlin	1	120
Lloyd	0	26
Lloyd	1	800
Loadstone	0	4
Loadstone	1	36
Lochiel (NSW)	0	13
Lochiel (NSW)	1	328
Lochinvar	0	38
Lochinvar	1	732
Lockhart	0	101
Lockhart	1	931
Locksley (NSW)	0	15
Locksley (NSW)	1	35
Loftus	0	91
Loftus	1	4002
Loftville	0	38
Loftville	1	200
Logans Crossing	1	131
Logie Brae	0	10
Logie Brae	1	63
Londonderry (NSW)	0	268
Londonderry (NSW)	1	3578
Long Beach	0	58
Long Beach	1	1305
Long Flat (NSW)	0	19
Long Flat (NSW)	1	113
Long Jetty	0	402
Long Jetty	1	5991
Long Plain (Inverell - NSW)	0	3
Long Plain (Inverell - NSW)	1	31
Long Point (Campbelltown - NSW)	0	13
Long Point (Campbelltown - NSW)	1	196
Long Point (Singleton - NSW)	1	28
Longarm	0	5
Longarm	1	9
Longreach (NSW)	0	3
Longreach (NSW)	1	58
Longueville	0	75
Longueville	1	1987
Loomberah	0	16
Loomberah	1	492
Lord Howe Island	0	181
Lord Howe Island	1	282
Lords Hill	1	22
Lorn	0	45
Lorn	1	1258
Lorne (NSW)	0	17
Lorne (NSW)	1	248
Lost River	0	7
Lost River	1	63
Lostock	0	6
Lostock	1	48
Louisa Creek	0	4
Louisa Creek	1	5
Louth	0	16
Louth	1	44
Louth Park	0	17
Louth Park	1	634
Lovedale	0	199
Lovedale	1	426
Lovett Bay	0	57
Lovett Bay	1	82
Lowanna	0	56
Lowanna	1	298
Lower Acacia Creek	0	15
Lower Acacia Creek	1	37
Lower Bago	1	7
Lower Belford	0	10
Lower Belford	1	367
Lower Boro	0	14
Lower Boro	1	155
Lower Bottle Creek	0	4
Lower Bottle Creek	1	17
Lower Creek	0	3
Lower Creek	1	23
Lower Duck Creek	1	19
Lower Dyraaba	1	23
Lower Lewis Ponds	0	4
Lower Lewis Ponds	1	37
Lower Macdonald	0	10
Lower Macdonald	1	247
Lower Mangrove	0	11
Lower Mangrove	1	57
Lower Pappinbarra	0	10
Lower Pappinbarra	1	90
Lower Peacock	1	6
Lower Portland	0	64
Lower Portland	1	511
Lower Southgate	0	7
Lower Southgate	1	107
Lowesdale	0	11
Lowesdale	1	75
Lowther	0	12
Lowther	1	57
Loxford	0	23
Loxford	1	48
Lucas Heights	0	4
Lucknow (NSW)	0	19
Lucknow (NSW)	1	273
Luddenham	0	96
Luddenham	1	1680
Lue	0	20
Lue	1	165
Lugarno	0	91
Lugarno	1	5431
Lurnea	0	595
Lurnea	1	8687
Luskintyre	0	8
Luskintyre	1	168
Lynchs Creek	1	89
Lyndhurst (Armidale Regional - NSW)	1	21
Lyndhurst (Blayney - NSW)	0	9
Lyndhurst (Blayney - NSW)	1	328
Lynwood (NSW)	0	8
Lynwood (NSW)	1	210
Mabins Well	1	11
Macdonalds Creek	1	12
Macksville	0	333
Macksville	1	2291
Maclean	0	432
Maclean	1	2267
Macmasters Beach	0	37
Macmasters Beach	1	1210
Macquarie Fields	0	750
Macquarie Fields	1	12928
Macquarie Hills	0	52
Macquarie Hills	1	3174
Macquarie Links	0	51
Macquarie Links	1	1309
Macquarie Park	0	2717
Macquarie Park	1	6339
Maddens Plains	1	4
Maffra (NSW)	0	3
Maffra (NSW)	1	24
Magenta (NSW)	0	63
Magenta (NSW)	1	197
Magometon	0	3
Magometon	1	21
Maianbar	0	9
Maianbar	1	488
Maimuru	0	6
Maimuru	1	133
Main Arm	0	98
Main Arm	1	490
Main Creek	0	8
Main Creek	1	78
Mairjimmy	0	12
Mairjimmy	1	47
Maison Dieu	0	29
Maison Dieu	1	149
Maitland (NSW)	0	463
Maitland (NSW)	1	1586
Maitland Bar	0	7
Maitland Bar	1	12
Maitland Vale	0	6
Maitland Vale	1	126
Majors Creek (NSW)	0	15
Majors Creek (NSW)	1	221
Malabar	0	1977
Malabar	1	3425
Maldon (NSW)	1	12
Mallabula	0	57
Mallabula	1	847
Mallan	1	51
Mallanganee	0	7
Mallanganee	1	144
Mallee	1	10
Mallowa	0	29
Mallowa	1	76
Maloneys Beach	0	15
Maloneys Beach	1	346
Malua Bay	0	146
Malua Bay	1	1701
Manar	0	16
Manar	1	103
Manchester Square	0	3
Manchester Square	1	19
Mandagery	1	66
Mandalong	0	21
Mandalong	1	400
Mandemar	0	4
Mandemar	1	61
Mandurama	0	29
Mandurama	1	320
Mangerton	0	136
Mangerton	1	2629
Mangoola	1	51
Mangoplah	0	54
Mangoplah	1	238
Mangrove Creek	0	55
Mangrove Creek	1	31
Mangrove Mountain	0	39
Mangrove Mountain	1	659
Manildra	0	79
Manildra	1	668
Manilla	0	265
Manilla	1	2248
Manly (NSW)	0	2184
Manly (NSW)	1	13985
Manly Vale	0	412
Manly Vale	1	5646
Mannering Park	0	65
Mannering Park	1	2370
Manning Point	0	39
Manning Point	1	205
Mannus	0	163
Mannus	1	65
Manobalai	1	66
Manton (NSW)	0	15
Manton (NSW)	1	270
Manyana	0	52
Manyana	1	456
Maragle	0	3
Maragle	1	48
Maraylya	0	49
Maraylya	1	1163
Marayong	0	311
Marayong	1	7371
March	0	3
March	1	111
Marchmont	1	220
Mardi	0	233
Mardi	1	3418
Marengo (NSW)	1	8
Marinna	0	12
Marinna	1	33
Marks Point	0	65
Marks Point	1	1725
Markwell	0	8
Markwell	1	104
Marlee	0	38
Marlee	1	180
Marlo Merrican	0	10
Marlo Merrican	1	52
Marlow	0	3
Marlow	1	20
Marlowe	1	3
Marmong Point	0	8
Marmong Point	1	727
Marom Creek	1	125
Maroota	0	57
Maroota	1	563
Maroubra	0	1802
Maroubra	1	28418
Marrangaroo	0	475
Marrangaroo	1	442
Marrar	0	21
Marrar	1	343
Marrickville	0	2297
Marrickville	1	23843
Marsden Park	0	101
Marsden Park	1	892
Marsfield	0	894
Marsfield	1	12331
Marshall Mount	0	15
Marshall Mount	1	132
Marshdale	0	7
Marshdale	1	38
Marthaguy	1	56
Martindale	0	18
Martindale	1	136
Martins Creek	0	37
Martins Creek	1	336
Martinsville	0	45
Martinsville	1	313
Marulan	0	46
Marulan	1	1111
Maryland (Newcastle - NSW)	0	129
Maryland (Newcastle - NSW)	1	7371
Maryland (Tenterfield - NSW)	0	4
