SSC_NAME16	PrivateDwelling	persons
Badgerys Creek	0	10
Badgerys Creek	1	206
Badja	1	6
Baerami	0	11
Baerami	1	55
Baerami Creek	0	20
Baerami Creek	1	26
Bagnoo	1	41
Bago	0	3
Bago	1	40
Bagotville	0	5
Bagotville	1	40
Bakers Creek (Mid-Coast - NSW)	1	32
Bakers Creek (Nambucca - NSW)	0	9
Bakers Creek (Nambucca - NSW)	1	9
Bakers Creek (Uralla - NSW)	1	15
Bakers Swamp	0	3
Bakers Swamp	1	38
Balaclava (NSW)	0	48
Balaclava (NSW)	1	440
Balala	0	26
Balala	1	100
Balcolyn	0	43
Balcolyn	1	897
Bald Blair	0	3
Bald Blair	1	45
Bald Hills (NSW)	0	14
Bald Hills (NSW)	1	231
Bald Nob	0	4
Bald Nob	1	9
Bald Ridge	1	10
Baldersleigh	0	3
Baldersleigh	1	45
Baldry	0	3
Baldry	1	85
Balfours Peak	1	36
Balgowlah	0	372
Balgowlah	1	7400
Balgowlah Heights	0	84
Balgowlah Heights	1	3165
Balgownie	0	153
Balgownie	1	5276
Balickera	1	27
Balladoran	0	10
Balladoran	1	101
Ballalaba	1	25
Balldale	0	17
Balldale	1	139
Ballengarra	0	10
Ballengarra	1	84
Ballimore	0	31
Ballimore	1	155
Ballina	0	1424
Ballina	1	7489
Ballyroe	1	8
Balmain	0	1017
Balmain	1	9285
Balmain East	0	151
Balmain East	1	1732
Balmoral (Lake Macquarie - NSW)	0	7
Balmoral (Lake Macquarie - NSW)	1	683
Balmoral (Wingecarribee - NSW)	0	18
Balmoral (Wingecarribee - NSW)	1	412
Balranald	0	240
Balranald	1	1208
Bamarang	1	21
Bandon Grove	0	9
Bandon Grove	1	96
Bangadang	1	11
Bangalee (NSW)	0	18
Bangalee (NSW)	1	614
Bangalow	0	177
Bangalow	1	1805
Bangheet	0	5
Bangheet	1	36
Bango	1	95
Bangor (NSW)	0	192
Bangor (NSW)	1	5278
Banksia	0	150
Banksia	1	3192
Banksmeadow	0	6
Banksmeadow	1	8
Bankstown	0	2902
Bankstown	1	29489
Bannaby	0	3
Bannaby	1	38
Bannister (NSW)	0	9
Bannister (NSW)	1	110
Banoon	0	3
Banoon	1	23
Banora Point	0	785
Banora Point	1	15085
Banyabba	1	51
Bar Beach	0	88
Bar Beach	1	1075
Bar Point	0	8
Bar Point	1	58
Bara	1	25
Baradine	0	53
Baradine	1	717
Barangaroo	0	93
Barangaroo	1	101
Barden Ridge	0	132
Barden Ridge	1	4105
Bardia	0	72
Bardia	1	1529
Bardwell Park	0	53
Bardwell Park	1	2159
Bardwell Valley	0	73
Bardwell Valley	1	2226
Barellan	0	46
Barellan	1	491
Bargo	0	178
Bargo	1	4160
Barham	0	242
Barham	1	1297
Barigan	1	4
Barkers Vale	0	17
Barkers Vale	1	150
Barmedman	0	27
Barmedman	1	425
Barnsley	0	51
Barnsley	1	1645
Barooga	0	227
Barooga	1	1583
Barraba	0	148
Barraba	1	1219
Barrack Heights	0	247
Barrack Heights	1	5582
Barrack Point	0	66
Barrack Point	1	613
Barraganyatti	0	14
Barraganyatti	1	121
Barragga Bay	0	14
Barragga Bay	1	93
Barratta (NSW)	1	4
Barrengarry	0	50
Barrengarry	1	163
Barretts Creek	1	13
Barringella	1	28
Barrington (NSW)	0	30
Barrington (NSW)	1	320
Barry (Blayney - NSW)	0	11
Barry (Blayney - NSW)	1	147
Barry (Upper Hunter Shire - NSW)	1	3
Barwang	0	6
Barwang	1	71
Barwon	1	32
Baryulgil	0	12
Baryulgil	1	73
Basin View	0	109
Basin View	1	1389
Bass Hill	0	588
Bass Hill	1	8640
Bassendean (NSW)	1	3
Batar Creek	0	16
