SSC_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Abbotsbury					15
Abbotsbury	0	0	0	1	71
Abbotsbury	0	0	1	0	16
Abbotsbury	0	0	1	1	10
Abbotsbury	0	1	0	0	43
Abbotsbury	0	1	0	1	3
Abbotsbury	0	1	1	0	13
Abbotsbury	0	1	1	1	3
Abbotsbury	1	0	0	1	245
Abbotsbury	1	0	1	0	81
Abbotsbury	1	0	1	1	70
Abbotsbury	1	1	0	0	227
Abbotsbury	1	1	0	1	23
Abbotsbury	1	1	1	0	77
Abbotsbury	1	1	1	1	11
Abbotsford (NSW)					29
Abbotsford (NSW)	0	0	0	1	98
Abbotsford (NSW)	0	0	1	0	24
Abbotsford (NSW)	0	0	1	1	12
Abbotsford (NSW)	0	1	0	0	82
Abbotsford (NSW)	0	1	0	1	3
Abbotsford (NSW)	0	1	1	0	5
Abbotsford (NSW)	1	0	0	1	134
Abbotsford (NSW)	1	0	1	0	50
Abbotsford (NSW)	1	0	1	1	31
Abbotsford (NSW)	1	1	0	0	336
Abbotsford (NSW)	1	1	0	1	4
Abbotsford (NSW)	1	1	1	0	47
Abbotsford (NSW)	1	1	1	1	11
Abercrombie					4
Abercrombie	0	0	0	1	5
Abercrombie	0	0	1	0	9
Abercrombie	0	1	0	0	15
Abercrombie	0	1	1	0	5
Abercrombie	1	0	0	1	26
Abercrombie	1	0	1	0	25
Abercrombie	1	0	1	1	9
Abercrombie	1	1	0	0	96
Abercrombie	1	1	1	0	18
Abercrombie	1	1	1	1	3
Aberdare					8
Aberdare	0	0	0	1	48
Aberdare	0	0	1	0	16
Aberdare	0	0	1	1	4
Aberdare	0	1	0	0	92
Aberdare	0	1	0	1	9
Aberdare	0	1	1	0	16
Aberdare	0	1	1	1	3
Aberdare	1	0	0	1	45
Aberdare	1	0	1	0	12
Aberdare	1	0	1	1	13
Aberdare	1	1	0	0	130
Aberdare	1	1	0	1	12
Aberdare	1	1	1	0	21
Aberdare	1	1	1	1	11
Aberdeen (NSW)					9
Aberdeen (NSW)	0	0	0	1	30
Aberdeen (NSW)	0	0	1	0	6
Aberdeen (NSW)	0	1	0	0	33
Aberdeen (NSW)	0	1	0	1	3
Aberdeen (NSW)	0	1	1	0	8
Aberdeen (NSW)	1	0	0	1	42
Aberdeen (NSW)	1	0	1	0	22
Aberdeen (NSW)	1	0	1	1	8
Aberdeen (NSW)	1	1	0	0	128
Aberdeen (NSW)	1	1	0	1	8
Aberdeen (NSW)	1	1	1	0	30
Aberdeen (NSW)	1	1	1	1	3
Aberfoyle	1	0	0	1	3
Aberfoyle	1	1	0	0	8
Aberglasslyn					20
Aberglasslyn	0	0	0	1	55
Aberglasslyn	0	0	1	0	21
Aberglasslyn	0	0	1	1	10
Aberglasslyn	0	1	0	0	121
Aberglasslyn	0	1	0	1	10
Aberglasslyn	0	1	1	0	18
Aberglasslyn	0	1	1	1	4
Aberglasslyn	1	0	0	1	103
Aberglasslyn	1	0	1	0	62
Aberglasslyn	1	0	1	1	34
Aberglasslyn	1	1	0	0	490
Aberglasslyn	1	1	0	1	21
Aberglasslyn	1	1	1	0	66
Aberglasslyn	1	1	1	1	18
Abermain					10
Abermain	0	0	0	1	46
Abermain	0	0	1	0	9
Abermain	0	0	1	1	5
Abermain	0	1	0	0	44
Abermain	0	1	0	1	5
Abermain	0	1	1	0	3
Abermain	0	1	1	1	3
Abermain	1	0	0	1	54
Abermain	1	0	1	0	17
Abermain	1	0	1	1	14
Abermain	1	1	0	0	141
Abermain	1	1	0	1	11
Abermain	1	1	1	0	32
Abermain	1	1	1	1	9
Abernethy	0	0	0	1	4
Abernethy	0	1	0	0	3
Abernethy	1	0	0	1	7
Abernethy	1	0	1	1	4
Abernethy	1	1	0	0	22
Abernethy	1	1	0	1	4
Abernethy	1	1	1	0	5
Abington (NSW)	1	1	0	0	3
Acacia Creek	0	1	1	0	4
Acacia Gardens					6
Acacia Gardens	0	0	0	1	47
Acacia Gardens	0	0	1	0	14
Acacia Gardens	0	0	1	1	12
Acacia Gardens	0	1	0	0	37
Acacia Gardens	0	1	0	1	4
Acacia Gardens	0	1	1	0	13
Acacia Gardens	1	0	0	1	122
Acacia Gardens	1	0	1	0	57
Acacia Gardens	1	0	1	1	49
Acacia Gardens	1	1	0	0	375
Acacia Gardens	1	1	0	1	15
Acacia Gardens	1	1	1	0	61
Acacia Gardens	1	1	1	1	6
Adaminaby	0	0	0	1	3
Adaminaby	0	0	1	0	3
Adaminaby	0	1	0	0	3
Adaminaby	1	0	0	1	6
Adaminaby	1	1	0	0	14
Adamstown					27
Adamstown	0	0	0	1	102
Adamstown	0	0	1	0	34
Adamstown	0	0	1	1	13
Adamstown	0	1	0	0	99
Adamstown	0	1	0	1	7
Adamstown	0	1	1	0	26
Adamstown	0	1	1	1	4
Adamstown	1	0	0	1	97
Adamstown	1	0	1	0	58
Adamstown	1	0	1	1	36
Adamstown	1	1	0	0	419
Adamstown	1	1	0	1	14
Adamstown	1	1	1	0	62
