SSC_NAME16	Address5YearsAgo	persons
Aarons Pass	(Same Address)	13
Aarons Pass	New South Wales	7
Abbotsbury	(Overseas)	70
Abbotsbury	(Same Address)	3000
Abbotsbury	(Same SA2)	203
Abbotsbury	New South Wales	634
Abbotsbury	Queensland	6
Abbotsbury	Victoria	6
Abbotsford (NSW)	(Overseas)	210
Abbotsford (NSW)	(Same Address)	2795
Abbotsford (NSW)	(Same SA2)	392
Abbotsford (NSW)	Australian Capital Territory	3
Abbotsford (NSW)	New South Wales	1213
Abbotsford (NSW)	Queensland	27
Abbotsford (NSW)	South Australia	4
Abbotsford (NSW)	Tasmania	3
Abbotsford (NSW)	Victoria	22
Abbotsford (NSW)	Western Australia	10
Abercrombie	(Overseas)	19
Abercrombie	(Same Address)	574
Abercrombie	(Same SA2)	188
Abercrombie	Australian Capital Territory	3
Abercrombie	New South Wales	201
Abercrombie	Queensland	11
Abercrombie River	(Same Address)	17
Abercrombie River	New South Wales	5
Aberdare	(Overseas)	6
Aberdare	(Same Address)	1222
Aberdare	(Same SA2)	363
Aberdare	Australian Capital Territory	3
Aberdare	New South Wales	452
Aberdare	Queensland	22
Aberdare	South Australia	3
Aberdare	Tasmania	11
Aberdare	Victoria	7
Aberdeen (NSW)	(Overseas)	12
Aberdeen (NSW)	(Same Address)	1166
Aberdeen (NSW)	(Same SA2)	172
Aberdeen (NSW)	Australian Capital Territory	3
Aberdeen (NSW)	New South Wales	365
Aberdeen (NSW)	Queensland	25
Aberdeen (NSW)	Victoria	4
Aberdeen (NSW)	Western Australia	3
Aberfoyle	(Same Address)	60
Aberfoyle	(Same SA2)	10
Aberfoyle	New South Wales	13
Aberfoyle	Queensland	3
Aberglasslyn	(Overseas)	98
Aberglasslyn	(Same Address)	1845
Aberglasslyn	(Same SA2)	897
Aberglasslyn	Australian Capital Territory	14
Aberglasslyn	New South Wales	1610
Aberglasslyn	Northern Territory	13
Aberglasslyn	Queensland	122
Aberglasslyn	South Australia	14
Aberglasslyn	Tasmania	5
Aberglasslyn	Victoria	24
Aberglasslyn	Western Australia	14
Abermain	(Overseas)	6
Abermain	(Same Address)	1383
Abermain	(Same SA2)	238
Abermain	New South Wales	367
Abermain	Northern Territory	3
Abermain	Queensland	21
Abermain	Victoria	3
Abernethy	(Same Address)	171
Abernethy	(Same SA2)	4
Abernethy	New South Wales	63
Abernethy	Queensland	4
Abington (NSW)	(Same Address)	10
Abington (NSW)	New South Wales	3
Acacia Creek	(Overseas)	3
Acacia Creek	(Same Address)	28
Acacia Creek	Queensland	5
Acacia Gardens	(Overseas)	213
Acacia Gardens	(Same Address)	2180
Acacia Gardens	(Same SA2)	28
Acacia Gardens	New South Wales	927
Acacia Gardens	Queensland	15
Acacia Gardens	South Australia	10
Acacia Gardens	Victoria	11
Adaminaby	(Overseas)	3
Adaminaby	(Same Address)	205
Adaminaby	(Same SA2)	12
Adaminaby	Australian Capital Territory	4
Adaminaby	New South Wales	39
Adaminaby	Queensland	8
Adamstown	(Overseas)	180
Adamstown	(Same Address)	3059
Adamstown	(Same SA2)	268
Adamstown	Australian Capital Territory	29
Adamstown	New South Wales	1691
Adamstown	Northern Territory	26
Adamstown	Queensland	81
Adamstown	South Australia	27
Adamstown	Tasmania	4
Adamstown	Victoria	33
Adamstown	Western Australia	21
Adamstown Heights	(Overseas)	109
Adamstown Heights	(Same Address)	3294
Adamstown Heights	(Same SA2)	228
Adamstown Heights	Australian Capital Territory	3
Adamstown Heights	New South Wales	1076
Adamstown Heights	Northern Territory	3
Adamstown Heights	Queensland	40
Adamstown Heights	South Australia	10
Adamstown Heights	Tasmania	6
Adamstown Heights	Victoria	22
Adamstown Heights	Western Australia	19
Adelong	(Overseas)	7
Adelong	(Same Address)	620
Adelong	(Same SA2)	93
Adelong	New South Wales	99
Adelong	Queensland	12
Adjungbilly	(Same Address)	64
Adjungbilly	(Same SA2)	3
Adjungbilly	New South Wales	4
Adjungbilly	Victoria	4
Afterlee	(Same Address)	32
Afterlee	New South Wales	5
Afterlee	Queensland	4
Agnes Banks	(Overseas)	3
Agnes Banks	(Same Address)	526
Agnes Banks	(Same SA2)	53
Agnes Banks	New South Wales	206
Agnes Banks	Queensland	9
Agnes Banks	South Australia	5
Agnes Banks	Victoria	7
Airds	(Overseas)	22
Airds	(Same Address)	1744
Airds	(Same SA2)	137
Airds	New South Wales	386
Airds	Northern Territory	5
Airds	Queensland	19
Airds	South Australia	8
Airds	Tasmania	7
Airds	Victoria	3
Akolele	(Same Address)	82
Akolele	(Same SA2)	13
Akolele	New South Wales	12
Albert	(Same Address)	53
Albert	New South Wales	10
Albion Park	(Overseas)	110
Albion Park	(Same Address)	7867
Albion Park	(Same SA2)	1115
Albion Park	Australian Capital Territory	22
Albion Park	New South Wales	2473
Albion Park	Northern Territory	10
Albion Park	Queensland	89
Albion Park	South Australia	10
Albion Park	Tasmania	6
Albion Park	Victoria	24
Albion Park	Western Australia	13
Albion Park Rail	(Overseas)	41
Albion Park Rail	(Same Address)	3945
Albion Park Rail	(Same SA2)	248
Albion Park Rail	Australian Capital Territory	3
Albion Park Rail	New South Wales	1593
Albion Park Rail	Queensland	59
Albion Park Rail	South Australia	3
Albion Park Rail	Tasmania	3
Albion Park Rail	Victoria	12
Albion Park Rail	Western Australia	3
Albury	(Overseas)	143
Albury	(Same Address)	2179
Albury	(Same SA2)	362
Albury	Australian Capital Territory	27
Albury	New South Wales	761
Albury	Northern Territory	6
Albury	Queensland	58
Albury	South Australia	19
Albury	Tasmania	12
Albury	Victoria	458
Albury	Western Australia	31
Aldavilla	(Same Address)	459
Aldavilla	(Same SA2)	71
Aldavilla	New South Wales	88
Aldavilla	Queensland	6
