SSC_NAME16	Address5YearsAgo	persons
Alectown	(Overseas)	4
Alectown	(Same Address)	94
Alectown	(Same SA2)	8
Alectown	New South Wales	14
Alectown	Queensland	5
Alectown	South Australia	7
Alectown	Victoria	3
Alectown	Western Australia	3
Alexandria	(Overseas)	1034
Alexandria	(Same Address)	2694
Alexandria	(Same SA2)	321
Alexandria	Australian Capital Territory	64
Alexandria	New South Wales	2526
Alexandria	Queensland	184
Alexandria	South Australia	43
Alexandria	Tasmania	6
Alexandria	Victoria	147
Alexandria	Western Australia	72
Alfords Point	(Overseas)	53
Alfords Point	(Same Address)	2239
Alfords Point	(Same SA2)	96
Alfords Point	Australian Capital Territory	3
Alfords Point	New South Wales	481
Alfords Point	Queensland	10
Alfords Point	South Australia	4
Alfords Point	Victoria	3
Alfredtown	(Same Address)	58
Alfredtown	New South Wales	19
Alice	(Same Address)	10
Alison (Central Coast - NSW)	(Same Address)	38
Alison (Central Coast - NSW)	(Same SA2)	3
Alison (Central Coast - NSW)	New South Wales	33
Alison (Dungog - NSW)	(Same Address)	48
Alison (Dungog - NSW)	(Same SA2)	10
Alison (Dungog - NSW)	New South Wales	9
Allambie Heights	(Overseas)	288
Allambie Heights	(Same Address)	4357
Allambie Heights	(Same SA2)	294
Allambie Heights	Australian Capital Territory	3
Allambie Heights	New South Wales	1259
Allambie Heights	Northern Territory	3
Allambie Heights	Queensland	25
Allambie Heights	South Australia	6
Allambie Heights	Tasmania	3
Allambie Heights	Victoria	21
Allambie Heights	Western Australia	7
Allandale (NSW)	(Same Address)	46
Allandale (NSW)	New South Wales	19
Allawah	(Overseas)	1007
Allawah	(Same Address)	2583
Allawah	(Same SA2)	210
Allawah	Australian Capital Territory	12
Allawah	New South Wales	1199
Allawah	Northern Territory	3
Allawah	Queensland	24
Allawah	South Australia	3
Allawah	Tasmania	3
Allawah	Victoria	19
Alleena	(Same Address)	29
Alleena	(Same SA2)	6
Alleena	Australian Capital Territory	8
Alleena	Queensland	5
Allgomera	(Same Address)	99
Allgomera	(Same SA2)	4
Allgomera	New South Wales	10
Allworth	(Overseas)	3
Allworth	(Same Address)	104
Allworth	(Same SA2)	3
Allworth	New South Wales	31
Allworth	Queensland	3
Allynbrook	(Same Address)	35
Allynbrook	(Same SA2)	3
Allynbrook	New South Wales	26
Alma Park	(Same Address)	31
Alma Park	(Same SA2)	6
Alma Park	New South Wales	9
Alma Park	Victoria	4
Alpine	(Same Address)	84
Alpine	(Same SA2)	3
Alpine	New South Wales	33
Alstonvale	(Overseas)	6
Alstonvale	(Same Address)	280
Alstonvale	(Same SA2)	23
Alstonvale	New South Wales	54
Alstonvale	Northern Territory	3
Alstonvale	Queensland	22
Alstonvale	Tasmania	3
Alstonvale	Victoria	12
Alstonvale	Western Australia	5
Alstonville	(Overseas)	59
Alstonville	(Same Address)	3108
Alstonville	(Same SA2)	627
Alstonville	Australian Capital Territory	6
Alstonville	New South Wales	981
Alstonville	Northern Territory	4
Alstonville	Queensland	181
Alstonville	South Australia	8
Alstonville	Tasmania	7
Alstonville	Victoria	17
Alstonville	Western Australia	30
Alumy Creek	(Same Address)	60
Alumy Creek	(Same SA2)	4
Alumy Creek	New South Wales	10
Amaroo (NSW)	(Same Address)	23
Ambarvale	(Overseas)	221
Ambarvale	(Same Address)	4141
Ambarvale	(Same SA2)	422
Ambarvale	New South Wales	1359
Ambarvale	Queensland	46
Ambarvale	South Australia	6
Ambarvale	Victoria	19
Ambarvale	Western Australia	5
Amosfield	(Same Address)	24
Amosfield	Queensland	10
Anabranch North	New South Wales	3
Anabranch North	South Australia	3
Anabranch South	(Same Address)	31
Anabranch South	(Same SA2)	6
Anabranch South	Victoria	3
Anambah	(Same Address)	6
Anambah	New South Wales	4
Ando	(Same Address)	44
Ando	(Same SA2)	5
Ando	New South Wales	9
Anembo	(Same Address)	48
Anembo	Australian Capital Territory	3
Anembo	New South Wales	4
Angledale	(Overseas)	4
Angledale	(Same Address)	104
Angledale	(Same SA2)	6
Angledale	New South Wales	22
Angledale	Victoria	3
Angledool	(Same Address)	37
Anglers Reach	(Overseas)	3
Anglers Reach	(Same Address)	37
Anglers Reach	Australian Capital Territory	7
Anglers Reach	New South Wales	12
Angourie	(Overseas)	4
Angourie	(Same Address)	120
Angourie	(Same SA2)	36
Angourie	New South Wales	25
Angourie	Victoria	5
Anna Bay	(Overseas)	29
Anna Bay	(Same Address)	1911
Anna Bay	(Same SA2)	300
Anna Bay	Australian Capital Territory	7
Anna Bay	New South Wales	886
Anna Bay	Northern Territory	11
Anna Bay	Queensland	77
Anna Bay	Tasmania	4
Anna Bay	Victoria	28
Anna Bay	Western Australia	14
Annandale (NSW)	(Overseas)	700
Annandale (NSW)	(Same Address)	4034
Annandale (NSW)	(Same SA2)	476
Annandale (NSW)	Australian Capital Territory	55
Annandale (NSW)	New South Wales	2465
Annandale (NSW)	Northern Territory	6
Annandale (NSW)	Queensland	90
Annandale (NSW)	South Australia	31
Annandale (NSW)	Tasmania	10
Annandale (NSW)	Victoria	125
Annandale (NSW)	Western Australia	54
Annangrove	(Overseas)	21
Annangrove	(Same Address)	912
Annangrove	(Same SA2)	74
Annangrove	New South Wales	278
Appin (NSW)	(Overseas)	19
Appin (NSW)	(Same Address)	1132
Appin (NSW)	(Same SA2)	108
Appin (NSW)	Australian Capital Territory	7
Appin (NSW)	New South Wales	954
Appin (NSW)	Queensland	7
Apple Tree Flat	(Same Address)	16
Apple Tree Flat	New South Wales	10
Appleby	(Same Address)	16
Appleby	(Same SA2)	5
Appleby	New South Wales	12
Appletree Flat	(Same Address)	6
Apsley (NSW)	(Same Address)	68
Apsley (NSW)	(Same SA2)	17
Apsley (NSW)	New South Wales	17
Arable	(Same Address)	10
Arable	New South Wales	3
Arakoon	(Overseas)	3
Arakoon	(Same Address)	265
Arakoon	(Same SA2)	46
Arakoon	New South Wales	47
Arakoon	Queensland	10
Arakoon	Victoria	4
Araluen (NSW)	(Overseas)	3
Araluen (NSW)	(Same Address)	95
Araluen (NSW)	(Same SA2)	6
Araluen (NSW)	Australian Capital Territory	13
Araluen (NSW)	New South Wales	17
Araluen (NSW)	Queensland	3
Araluen (NSW)	South Australia	3
Aratula (NSW)	(Same Address)	3
Arcadia (NSW)	(Overseas)	30
Arcadia (NSW)	(Same Address)	892
Arcadia (NSW)	(Same SA2)	56
Arcadia (NSW)	New South Wales	290
Arcadia (NSW)	Queensland	12
Arcadia Vale	(Overseas)	21
Arcadia Vale	(Same Address)	784
Arcadia Vale	(Same SA2)	113
Arcadia Vale	New South Wales	277
Arcadia Vale	Northern Territory	6
Arcadia Vale	Queensland	13
Arcadia Vale	Victoria	6
Arcadia Vale	Western Australia	4
Ardglen	(Same Address)	24
Ardglen	(Same SA2)	9
Ardglen	New South Wales	16
Arding	(Same Address)	141
Arding	(Same SA2)	7
Arding	New South Wales	45
Arding	Queensland	3
Ardlethan	(Overseas)	4
Ardlethan	(Same Address)	288
Ardlethan	(Same SA2)	32
Ardlethan	Australian Capital Territory	3
Ardlethan	New South Wales	70
Ardlethan	Queensland	7
Ardlethan	Victoria	7
Ardlethan	Western Australia	3
Argalong	(Same Address)	18
Argalong	(Same SA2)	5
Argalong	New South Wales	3
Argenton	(Overseas)	14
Argenton	(Same Address)	777
Argenton	(Same SA2)	60
Argenton	New South Wales	311
Argenton	Queensland	8
Argenton	Tasmania	7
Argenton	Western Australia	3
Argents Hill	(Same Address)	133
Argents Hill	(Same SA2)	17
Argents Hill	New South Wales	34
Argents Hill	Northern Territory	3
Argents Hill	Queensland	4
Argoon (NSW)	(Same Address)	5
Argoon (NSW)	(Same SA2)	5
Argoon (NSW)	New South Wales	8
Ariah Park	(Same Address)	315
Ariah Park	(Same SA2)	24
Ariah Park	Australian Capital Territory	4
Ariah Park	New South Wales	72
Ariah Park	Northern Territory	3
Ariah Park	Queensland	3
Ariah Park	Victoria	4
Arkell	(Same Address)	31
Arkstone	(Same Address)	17
Armatree	(Same Address)	95
Armatree	(Same SA2)	19
Armatree	New South Wales	13
Armatree	Queensland	3
Armidale	(Overseas)	1280
Armidale	(Same Address)	10189
Armidale	(Same SA2)	3721
Armidale	Australian Capital Territory	60
Armidale	New South Wales	3812
Armidale	Northern Territory	46
Armidale	Other Territories	3
Armidale	Queensland	602
Armidale	South Australia	43
Armidale	Tasmania	41
Armidale	Victoria	200
Armidale	Western Australia	79
Arncliffe	(Overseas)	1348
Arncliffe	(Same Address)	5021
Arncliffe	(Same SA2)	447
Arncliffe	Australian Capital Territory	25
Arncliffe	New South Wales	2144
Arncliffe	Northern Territory	10
Arncliffe	Queensland	91
Arncliffe	South Australia	23
Arncliffe	Tasmania	3
Arncliffe	Victoria	45
Arncliffe	Western Australia	18
Arndell Park	(Same Address)	7
Arndell Park	New South Wales	8
Arrawarra	(Overseas)	4
Arrawarra	(Same Address)	296
Arrawarra	(Same SA2)	25
Arrawarra	New South Wales	74
Arrawarra	Queensland	13
Arrawarra	Victoria	15
Arrawarra	Western Australia	5
Arrawarra Headland	(Overseas)	35
Arrawarra Headland	(Same Address)	295
Arrawarra Headland	(Same SA2)	38
Arrawarra Headland	New South Wales	79
Arrawarra Headland	Northern Territory	3
Arrawarra Headland	Queensland	21
Arrawarra Headland	Victoria	5
Arrawarra Headland	Western Australia	3
Artarmon	(Overseas)	1350
Artarmon	(Same Address)	3904
Artarmon	(Same SA2)	559
Artarmon	Australian Capital Territory	25
Artarmon	New South Wales	2284
Artarmon	Queensland	67
Artarmon	South Australia	25
Artarmon	Tasmania	12
Artarmon	Victoria	79
Artarmon	Western Australia	20
Arthurville	(Same Address)	35
Arumpo	(Same Address)	22
Arumpo	(Same SA2)	5
Ashbury	(Overseas)	60
Ashbury	(Same Address)	2292
Ashbury	(Same SA2)	48
Ashbury	New South Wales	589
Ashbury	Queensland	6
Ashbury	South Australia	6
Ashbury	Victoria	18
Ashby (NSW)	(Overseas)	12
Ashby (NSW)	(Same Address)	196
Ashby (NSW)	(Same SA2)	8
Ashby (NSW)	New South Wales	52
Ashby (NSW)	Queensland	18
Ashby (NSW)	South Australia	4
Ashby Heights	(Same Address)	120
Ashby Heights	(Same SA2)	3
Ashby Heights	New South Wales	57
Ashby Heights	Queensland	10
Ashby Heights	Tasmania	3
Ashby Heights	Victoria	4
Ashby Island	(Same Address)	8
Ashcroft	(Overseas)	162
Ashcroft	(Same Address)	1872
Ashcroft	(Same SA2)	129
Ashcroft	New South Wales	620
Ashcroft	Queensland	4
Ashcroft	Western Australia	9
Ashfield (NSW)	(Overseas)	4231
Ashfield (NSW)	(Same Address)	9789
Ashfield (NSW)	(Same SA2)	1411
Ashfield (NSW)	Australian Capital Territory	66
Ashfield (NSW)	New South Wales	4908
Ashfield (NSW)	Northern Territory	18
Ashfield (NSW)	Queensland	154
Ashfield (NSW)	South Australia	52
Ashfield (NSW)	Tasmania	24
Ashfield (NSW)	Victoria	122
Ashfield (NSW)	Western Australia	32
Ashford (NSW)	(Same Address)	408
Ashford (NSW)	(Same SA2)	39
Ashford (NSW)	New South Wales	73
Ashford (NSW)	Northern Territory	13
Ashford (NSW)	Queensland	18
Ashford (NSW)	South Australia	9
Ashley	(Same Address)	203
Ashley	(Same SA2)	33
Ashley	New South Wales	51
Ashley	Queensland	4
Ashmont	(Overseas)	49
Ashmont	(Same Address)	1891
Ashmont	(Same SA2)	309
Ashmont	Australian Capital Territory	11
Ashmont	New South Wales	776
Ashmont	Northern Territory	3
Ashmont	Queensland	45
Ashmont	South Australia	7
Ashmont	Victoria	50
Ashmont	Western Australia	13
Ashtonfield	(Overseas)	60
Ashtonfield	(Same Address)	2436
Ashtonfield	(Same SA2)	525
Ashtonfield	Australian Capital Territory	13
Ashtonfield	New South Wales	943
Ashtonfield	Northern Territory	4
Ashtonfield	Queensland	56
Ashtonfield	South Australia	16
Ashtonfield	Tasmania	6
Ashtonfield	Victoria	25
Ashtonfield	Western Australia	14
Asquith	(Overseas)	202
Asquith	(Same Address)	1884
Asquith	(Same SA2)	174
Asquith	Australian Capital Territory	4
Asquith	New South Wales	768
Asquith	Queensland	3
Asquith	Western Australia	4
Atholwood	(Same Address)	47
Atholwood	(Same SA2)	4
Atholwood	New South Wales	8
Atholwood	Queensland	11
Atholwood	Victoria	4
Attunga	(Same Address)	351
Attunga	(Same SA2)	48
Attunga	New South Wales	79
Attunga	Queensland	10
Attunga	Western Australia	3
Auburn (NSW)	(Overseas)	7831
Auburn (NSW)	(Same Address)	16234
Auburn (NSW)	(Same SA2)	2060
Auburn (NSW)	Australian Capital Territory	11
Auburn (NSW)	New South Wales	5389
Auburn (NSW)	Northern Territory	7
Auburn (NSW)	Other Territories	3
Auburn (NSW)	Queensland	107
Auburn (NSW)	South Australia	78
Auburn (NSW)	Tasmania	6
Auburn (NSW)	Victoria	147
Auburn (NSW)	Western Australia	66
Auburn Vale	(Same Address)	71
Auburn Vale	New South Wales	21
Austinmer	(Overseas)	80
Austinmer	(Same Address)	1444
Austinmer	(Same SA2)	234
Austinmer	Australian Capital Territory	3
Austinmer	New South Wales	421
Austinmer	Northern Territory	5
Austinmer	Queensland	17
Austinmer	South Australia	5
Austinmer	Tasmania	7
Austinmer	Victoria	25
Austinmer	Western Australia	3
Austral	(Overseas)	32
Austral	(Same Address)	1853
Austral	(Same SA2)	120
Austral	New South Wales	512
Austral	Queensland	17
Austral	Victoria	6
Austral Eden	(Same Address)	92
Austral Eden	(Same SA2)	3
Austral Eden	New South Wales	23
Austral Eden	Queensland	3
Avalon Beach	(Overseas)	348
Avalon Beach	(Same Address)	5365
Avalon Beach	(Same SA2)	1140
Avalon Beach	Australian Capital Territory	14
Avalon Beach	New South Wales	1843
Avalon Beach	Queensland	78
Avalon Beach	South Australia	6
Avalon Beach	Tasmania	5
Avalon Beach	Victoria	41
Avalon Beach	Western Australia	21
Avisford	(Same Address)	10
Avisford	New South Wales	9
Avoca (NSW)	(Same Address)	119
Avoca (NSW)	(Same SA2)	9
Avoca (NSW)	New South Wales	56
Avoca Beach	(Overseas)	140
Avoca Beach	(Same Address)	2442
Avoca Beach	(Same SA2)	368
Avoca Beach	Australian Capital Territory	11
Avoca Beach	New South Wales	1038
Avoca Beach	Northern Territory	19
Avoca Beach	Queensland	27
Avoca Beach	South Australia	3
Avoca Beach	Tasmania	3
Avoca Beach	Victoria	25
Avoca Beach	Western Australia	16
Avondale (NSW)	(Overseas)	9
Avondale (NSW)	(Same Address)	978
Avondale (NSW)	(Same SA2)	126
Avondale (NSW)	Australian Capital Territory	5
Avondale (NSW)	New South Wales	294
Avondale (NSW)	Queensland	9
Avondale (NSW)	Western Australia	3
Avonside	(Same Address)	64
Avonside	(Same SA2)	5
Avonside	New South Wales	28
Awaba	(Same Address)	269
Awaba	(Same SA2)	25
Awaba	New South Wales	54
Aylmerton	(Same Address)	121
Aylmerton	New South Wales	54
Baan Baa	(Same Address)	81
Baan Baa	(Same SA2)	8
Baan Baa	New South Wales	31
Baan Baa	Queensland	8
Babinda (NSW)	New South Wales	4
Babyl Creek	(Same Address)	9
Back Creek (Bland - NSW)	(Same Address)	22
Back Creek (Bland - NSW)	(Same SA2)	10
Back Creek (Bland - NSW)	New South Wales	5
Back Creek (Gwydir - NSW)	(Same Address)	12
Back Creek (Mid-Coast - NSW)	(Same Address)	15
Back Creek (Queanbeyan-Palerang Regional - NSW)	(Same SA2)	4
Back Creek (Queanbeyan-Palerang Regional - NSW)	Australian Capital Territory	5
Back Creek (Tenterfield - NSW)	(Same Address)	3
Back Creek (Tenterfield - NSW)	New South Wales	4
Back Creek (Tweed - NSW)	(Same Address)	5
Back Creek (Tweed - NSW)	Queensland	4
Back Forest	(Overseas)	3
Back Forest	(Same Address)	53
Back Forest	New South Wales	12
Backmede	(Same Address)	108
Backmede	(Same SA2)	3
Backmede	New South Wales	18
Backwater	(Same Address)	11
Backwater	(Same SA2)	3
Badgerys Creek	(Same Address)	162
Badgerys Creek	(Same SA2)	10
Badgerys Creek	New South Wales	24
Badgerys Creek	Victoria	4
Badgerys Creek	Western Australia	3
Badja	(Same Address)	6
Baerami	(Same Address)	33
Baerami	(Same SA2)	3
Baerami	New South Wales	6
Baerami	Queensland	12
Baerami Creek	(Same Address)	19
Baerami Creek	New South Wales	13
Bagnoo	(Same Address)	35
Bagnoo	New South Wales	6
Bago	(Same Address)	13
Bago	New South Wales	11
Bagotville	(Same Address)	36
Bagotville	New South Wales	3
Bakers Creek (Mid-Coast - NSW)	(Overseas)	3
Bakers Creek (Mid-Coast - NSW)	(Same Address)	18
Bakers Creek (Mid-Coast - NSW)	New South Wales	12
Bakers Creek (Nambucca - NSW)	(Same Address)	9
Bakers Creek (Uralla - NSW)	(Same Address)	9
Bakers Creek (Uralla - NSW)	New South Wales	3
Bakers Swamp	(Overseas)	3
Bakers Swamp	(Same Address)	30
Bakers Swamp	New South Wales	10
Balaclava (NSW)	(Overseas)	3
Balaclava (NSW)	(Same Address)	260
Balaclava (NSW)	(Same SA2)	22
Balaclava (NSW)	New South Wales	102
Balaclava (NSW)	Queensland	4
Balaclava (NSW)	Victoria	4
Balala	(Same Address)	84
Balala	(Same SA2)	3
Balala	New South Wales	20
Balcolyn	(Overseas)	3
Balcolyn	(Same Address)	474
Balcolyn	(Same SA2)	76
Balcolyn	New South Wales	272
Balcolyn	Queensland	10
Balcolyn	Western Australia	9
Bald Blair	(Same Address)	28
Bald Blair	(Same SA2)	7
Bald Hills (NSW)	(Same Address)	151
Bald Hills (NSW)	(Same SA2)	28
Bald Hills (NSW)	Australian Capital Territory	3
Bald Hills (NSW)	New South Wales	22
Bald Hills (NSW)	Northern Territory	6
Bald Hills (NSW)	Queensland	3
Bald Hills (NSW)	Victoria	12
Bald Nob	(Same Address)	8
Bald Ridge	(Same Address)	4
Baldersleigh	(Same Address)	24
Baldersleigh	(Same SA2)	6
Baldersleigh	New South Wales	12
Baldersleigh	Queensland	3
Baldry	(Same Address)	63
Baldry	(Same SA2)	7
Baldry	New South Wales	13
Balfours Peak	(Same Address)	25
Balfours Peak	(Same SA2)	4
Balfours Peak	New South Wales	3
Balgowlah	(Overseas)	607
Balgowlah	(Same Address)	3694
Balgowlah	(Same SA2)	571
Balgowlah	Australian Capital Territory	11
Balgowlah	New South Wales	1827
Balgowlah	Northern Territory	4
Balgowlah	Queensland	59
Balgowlah	South Australia	6
Balgowlah	Tasmania	3
Balgowlah	Victoria	43
Balgowlah	Western Australia	20
Balgowlah Heights	(Overseas)	217
Balgowlah Heights	(Same Address)	1889
Balgowlah Heights	(Same SA2)	317
Balgowlah Heights	Australian Capital Territory	3
Balgowlah Heights	New South Wales	539
Balgowlah Heights	Northern Territory	3
Balgowlah Heights	Queensland	11
Balgowlah Heights	Victoria	27
Balgownie	(Overseas)	95
Balgownie	(Same Address)	3423
Balgownie	(Same SA2)	401
Balgownie	Australian Capital Territory	16
Balgownie	New South Wales	982
Balgownie	Northern Territory	3
Balgownie	Queensland	19
Balgownie	Tasmania	10
Balgownie	Victoria	17
Balickera	(Same Address)	14
Balickera	New South Wales	10
Balladoran	(Same Address)	81
Balladoran	New South Wales	12
Balladoran	Queensland	3
Ballalaba	(Same Address)	20
Balldale	(Same Address)	108
Balldale	New South Wales	16
Balldale	Victoria	7
Ballengarra	(Same Address)	37
Ballengarra	(Same SA2)	9
Ballengarra	New South Wales	18
Ballengarra	Queensland	10
Ballimore	(Same Address)	100
Ballimore	(Same SA2)	12
Ballimore	New South Wales	40
Ballina	(Overseas)	158
Ballina	(Same Address)	3747
Ballina	(Same SA2)	1291
Ballina	Australian Capital Territory	15
Ballina	New South Wales	1641
Ballina	Northern Territory	18
Ballina	Queensland	307
Ballina	South Australia	15
Ballina	Tasmania	21
Ballina	Victoria	88
Ballina	Western Australia	26
Balmain	(Overseas)	816
Balmain	(Same Address)	4470
Balmain	(Same SA2)	876
Balmain	Australian Capital Territory	45
Balmain	New South Wales	2163
Balmain	Northern Territory	7
Balmain	Queensland	131
Balmain	South Australia	35
Balmain	Tasmania	13
Balmain	Victoria	155
Balmain	Western Australia	52
Balmain East	(Overseas)	139
Balmain East	(Same Address)	888
Balmain East	(Same SA2)	166
Balmain East	Australian Capital Territory	3
Balmain East	New South Wales	356
Balmain East	Queensland	33
Balmain East	South Australia	15
Balmain East	Victoria	20
Balmain East	Western Australia	13
Balmoral (Lake Macquarie - NSW)	(Same Address)	428
Balmoral (Lake Macquarie - NSW)	(Same SA2)	72
Balmoral (Lake Macquarie - NSW)	New South Wales	160
Balmoral (Lake Macquarie - NSW)	Queensland	8
Balmoral (Wingecarribee - NSW)	(Overseas)	10
Balmoral (Wingecarribee - NSW)	(Same Address)	245
Balmoral (Wingecarribee - NSW)	(Same SA2)	26
Balmoral (Wingecarribee - NSW)	New South Wales	100
Balranald	(Overseas)	13
Balranald	(Same Address)	749
Balranald	(Same SA2)	188
Balranald	New South Wales	83
Balranald	Northern Territory	3
Balranald	Queensland	13
Balranald	South Australia	5
Balranald	Victoria	71
Bamarang	(Same Address)	10
Bamarang	New South Wales	15
Bandon Grove	(Same Address)	79
Bandon Grove	(Same SA2)	8
Bandon Grove	New South Wales	20
Bangadang	(Same Address)	6
Bangadang	(Same SA2)	7
Bangadang	Victoria	3
Bangalee (NSW)	(Overseas)	5
Bangalee (NSW)	(Same Address)	417
Bangalee (NSW)	(Same SA2)	64
Bangalee (NSW)	Australian Capital Territory	5
Bangalee (NSW)	New South Wales	106
Bangalee (NSW)	Queensland	3
Bangalee (NSW)	Victoria	9
Bangalow	(Overseas)	67
Bangalow	(Same Address)	932
Bangalow	(Same SA2)	166
Bangalow	Australian Capital Territory	3
Bangalow	New South Wales	388
Bangalow	Queensland	89
Bangalow	Tasmania	3
Bangalow	Victoria	55
Bangalow	Western Australia	21
Bangheet	(Same Address)	25
Bangheet	New South Wales	3
Bangheet	Queensland	3
Bango	(Same Address)	52
Bango	(Same SA2)	3
Bango	Australian Capital Territory	3
Bango	New South Wales	23
Bango	Western Australia	3
Bangor (NSW)	(Overseas)	85
Bangor (NSW)	(Same Address)	3750
