SSC_NAME16	BornAust	Sex	persons
Aarons Pass	0	F	3
Aarons Pass	1	F	4
Aarons Pass	1	M	12
Abbotsbury	0	F	764
Abbotsbury	0	M	705
Abbotsbury	1	F	1350
Abbotsbury	1	M	1308
Abbotsford (NSW)	0	F	857
Abbotsford (NSW)	0	M	720
Abbotsford (NSW)	1	F	1782
Abbotsford (NSW)	1	M	1632
Abercrombie	0	F	50
Abercrombie	0	M	41
Abercrombie	1	F	502
Abercrombie	1	M	472
Abercrombie River	0	F	3
Abercrombie River	1	F	8
Abercrombie River	1	M	6
Aberdare	0	F	60
Aberdare	0	M	50
Aberdare	1	F	1098
Aberdare	1	M	1077
Aberdeen (NSW)	0	F	52
Aberdeen (NSW)	0	M	46
Aberdeen (NSW)	1	F	899
Aberdeen (NSW)	1	M	897
Aberfoyle	1	F	41
Aberfoyle	1	M	45
Aberglasslyn	0	F	245
Aberglasslyn	0	M	225
Aberglasslyn	1	F	2441
Aberglasslyn	1	M	2302
Abermain	0	F	52
Abermain	0	M	46
Abermain	1	F	1044
Abermain	1	M	1042
Abernethy	0	F	8
Abernethy	0	M	3
Abernethy	1	F	123
Abernethy	1	M	129
Abington (NSW)	1	F	3
Abington (NSW)	1	M	5
Acacia Creek	0	M	6
Acacia Creek	1	F	20
Acacia Creek	1	M	17
Acacia Gardens	0	F	796
Acacia Gardens	0	M	773
Acacia Gardens	1	F	1050
Acacia Gardens	1	M	1061
Adaminaby	0	F	27
Adaminaby	0	M	24
Adaminaby	1	F	112
Adaminaby	1	M	125
Adamstown	0	F	369
Adamstown	0	M	349
Adamstown	1	F	2665
Adamstown	1	M	2472
Adamstown Heights	0	F	346
Adamstown Heights	0	M	345
Adamstown Heights	1	F	2225
Adamstown Heights	1	M	2234
Adelong	0	F	33
Adelong	0	M	26
Adelong	1	F	395
Adelong	1	M	406
Adjungbilly	1	F	36
Adjungbilly	1	M	37
Afterlee	1	F	22
Afterlee	1	M	25
Agnes Banks	0	F	45
Agnes Banks	0	M	48
Agnes Banks	1	F	367
Agnes Banks	1	M	394
Airds	0	F	291
Airds	0	M	194
Airds	1	F	1099
Airds	1	M	967
Akolele	0	F	6
Akolele	0	M	4
Akolele	1	F	64
Akolele	1	M	60
Albert	1	F	32
Albert	1	M	33
Albion Park	0	F	921
Albion Park	0	M	806
Albion Park	1	F	5682
Albion Park	1	M	5346
Albion Park Rail	0	F	517
Albion Park Rail	0	M	481
Albion Park Rail	1	F	2789
Albion Park Rail	1	M	2679
Albury	0	F	272
Albury	0	M	305
Albury	1	F	1992
Albury	1	M	1801
Aldavilla	0	F	16
Aldavilla	0	M	66
Aldavilla	1	F	348
Aldavilla	1	M	753
Alectown	0	F	10
Alectown	0	M	3
Alectown	1	F	74
Alectown	1	M	70
Alexandria	0	F	1318
Alexandria	0	M	1416
Alexandria	1	F	2425
Alexandria	1	M	2431
Alfords Point	0	F	349
Alfords Point	0	M	340
Alfords Point	1	F	1203
Alfords Point	1	M	1145
Alfredtown	1	F	44
Alfredtown	1	M	44
Alice	1	F	3
Alice	1	M	3
Alison (Central Coast - NSW)	0	F	4
Alison (Central Coast - NSW)	0	M	4
Alison (Central Coast - NSW)	1	F	40
Alison (Central Coast - NSW)	1	M	35
Alison (Dungog - NSW)	0	M	3
Alison (Dungog - NSW)	1	F	28
Alison (Dungog - NSW)	1	M	36
Allambie Heights	0	F	975
Allambie Heights	0	M	862
Allambie Heights	1	F	2509
Allambie Heights	1	M	2453
Allandale (NSW)	0	F	3
Allandale (NSW)	1	F	26
Allandale (NSW)	1	M	37
Allawah	0	F	1780
Allawah	0	M	1711
Allawah	1	F	948
Allawah	1	M	1021
Alleena	0	F	3
Alleena	0	M	3
Alleena	1	F	21
Alleena	1	M	19
Allgomera	0	F	11
Allgomera	0	M	3
Allgomera	1	F	58
Allgomera	1	M	53
Allworth	0	F	8
Allworth	0	M	3
Allworth	1	F	61
Allworth	1	M	79
Allynbrook	0	F	3
Allynbrook	1	F	24
Allynbrook	1	M	30
Alma Park	1	F	26
Alma Park	1	M	26
Alpine	0	F	11
Alpine	0	M	9
Alpine	1	F	52
Alpine	1	M	49
Alstonvale	0	F	28
Alstonvale	0	M	28
Alstonvale	1	F	187
Alstonvale	1	M	166
Alstonville	0	F	332
Alstonville	0	M	270
Alstonville	1	F	2604
Alstonville	1	M	2202
Alumy Creek	0	F	7
Alumy Creek	1	F	39
Alumy Creek	1	M	39
Amaroo (NSW)	1	F	21
Amaroo (NSW)	1	M	17
Ambarvale	0	F	941
Ambarvale	0	M	877
Ambarvale	1	F	2495
Ambarvale	1	M	2432
Amosfield	1	F	10
Amosfield	1	M	11
Anabranch North	1	F	3
Anabranch North	1	M	3
Anabranch South	1	F	14
Anabranch South	1	M	23
Anambah	1	F	5
Anambah	1	M	11
Ando	1	F	31
Ando	1	M	39
Anembo	0	M	5
Anembo	1	F	19
Anembo	1	M	25
Angledale	0	F	9
Angledale	0	M	5
Angledale	1	F	58
Angledale	1	M	64
Angledool	1	F	20
Angledool	1	M	17
Anglers Reach	0	F	8
Anglers Reach	0	M	16
Anglers Reach	1	F	20
Anglers Reach	1	M	20
Angourie	0	F	12
Angourie	0	M	11
Angourie	1	F	88
Angourie	1	M	87
Anna Bay	0	F	240
Anna Bay	0	M	217
Anna Bay	1	F	1524
Anna Bay	1	M	1454
Annandale (NSW)	0	F	1240
Annandale (NSW)	0	M	1215
Annandale (NSW)	1	F	3308
Annandale (NSW)	1	M	2957
Annangrove	0	F	105
Annangrove	0	M	112
Annangrove	1	F	541
Annangrove	1	M	581
Appin (NSW)	0	F	166
Appin (NSW)	0	M	142
Appin (NSW)	1	F	1059
Appin (NSW)	1	M	1122
Apple Tree Flat	1	F	10
Apple Tree Flat	1	M	14
Appleby	1	F	16
Appleby	1	M	19
Appletree Flat	1	F	9
Appletree Flat	1	M	9
Apsley (NSW)	0	M	3
Apsley (NSW)	1	F	50
Apsley (NSW)	1	M	47
Arable	1	F	4
Arable	1	M	7
Arakoon	0	F	24
Arakoon	0	M	22
Arakoon	1	F	158
Arakoon	1	M	177
Araluen (NSW)	0	F	16
Araluen (NSW)	0	M	11
Araluen (NSW)	1	F	54
Araluen (NSW)	1	M	60
Aratula (NSW)	1	F	5
Arcadia (NSW)	0	F	121
Arcadia (NSW)	0	M	116
Arcadia (NSW)	1	F	542
Arcadia (NSW)	1	M	562
Arcadia Vale	0	F	73
Arcadia Vale	0	M	67
Arcadia Vale	1	F	573
Arcadia Vale	1	M	600
Ardglen	1	F	28
Ardglen	1	M	24
Arding	0	F	7
Arding	0	M	6
Arding	1	F	90
Arding	1	M	97
Ardlethan	0	F	11
Ardlethan	0	M	21
Ardlethan	1	F	200
Ardlethan	1	M	200
Argalong	1	F	19
Argalong	1	M	11
Argenton	0	F	74
Argenton	0	M	48
Argenton	1	F	558
Argenton	1	M	596
Argents Hill	0	F	14
Argents Hill	0	M	12
Argents Hill	1	F	74
Argents Hill	1	M	94
Argoon (NSW)	1	F	9
Argoon (NSW)	1	M	10
Ariah Park	0	F	11
Ariah Park	0	M	18
Ariah Park	1	F	214
Ariah Park	1	M	216
Arkell	0	F	3
Arkell	1	F	10
Arkell	1	M	24
Arkstone	0	M	3
Arkstone	1	F	10
Arkstone	1	M	11
Armatree	0	F	6
Armatree	0	M	3
Armatree	1	F	65
Armatree	1	M	66
Armidale	0	F	1668
Armidale	0	M	1597
Armidale	1	F	9563
Armidale	1	M	8675
Arncliffe	0	F	2512
Arncliffe	0	M	2499
Arncliffe	1	F	2439
Arncliffe	1	M	2458
Arndell Park	0	F	3
Arndell Park	0	M	7
Arndell Park	1	M	5
Arrawarra	0	F	44
Arrawarra	0	M	39
Arrawarra	1	F	177
Arrawarra	1	M	184
Arrawarra Headland	0	F	38
Arrawarra Headland	0	M	33
Arrawarra Headland	1	F	217
Arrawarra Headland	1	M	222
Artarmon	0	F	2469
Artarmon	0	M	2105
Artarmon	1	F	2144
Artarmon	1	M	2281
Arthurville	1	F	19
Arthurville	1	M	16
Arumpo	0	F	3
Arumpo	1	F	7
Arumpo	1	M	18
Ashbury	0	F	530
Ashbury	0	M	473
Ashbury	1	F	1075
Ashbury	1	M	1095
Ashby (NSW)	0	F	24
Ashby (NSW)	0	M	23
Ashby (NSW)	1	F	123
Ashby (NSW)	1	M	123
Ashby Heights	0	F	8
Ashby Heights	0	M	17
Ashby Heights	1	F	102
Ashby Heights	1	M	90
Ashby Island	1	F	3
Ashby Island	1	M	4
Ashcroft	0	F	640
Ashcroft	0	M	590
Ashcroft	1	F	962
Ashcroft	1	M	946
Ashfield (NSW)	0	F	6632
Ashfield (NSW)	0	M	6425
Ashfield (NSW)	1	F	4655
Ashfield (NSW)	1	M	4566
Ashford (NSW)	0	F	26
Ashford (NSW)	0	M	18
Ashford (NSW)	1	F	270
Ashford (NSW)	1	M	259
Ashley	0	F	9
Ashley	0	M	3
Ashley	1	F	146
Ashley	1	M	173
Ashmont	0	F	103
Ashmont	0	M	118
Ashmont	1	F	1720
Ashmont	1	M	1520
Ashtonfield	0	F	253
Ashtonfield	0	M	248
Ashtonfield	1	F	1999
Ashtonfield	1	M	1916
Asquith	0	F	605
Asquith	0	M	526
Asquith	1	F	1101
Asquith	1	M	1029
Atholwood	0	F	9
Atholwood	0	M	3
Atholwood	1	F	36
Atholwood	1	M	31
Attunga	0	F	8
Attunga	0	M	6
Attunga	1	F	241
Attunga	1	M	267
Auburn (NSW)	0	F	10356
Auburn (NSW)	0	M	13761
Auburn (NSW)	1	F	5418
Auburn (NSW)	1	M	5610
Auburn Vale	0	F	3
Auburn Vale	1	F	53
Auburn Vale	1	M	59
Austinmer	0	F	211
Austinmer	0	M	169
Austinmer	1	F	1027
Austinmer	1	M	998
Austral	0	F	428
Austral	0	M	396
Austral	1	F	900
Austral	1	M	924
Austral Eden	0	F	3
Austral Eden	0	M	3
Austral Eden	1	F	56
Austral Eden	1	M	65
Avalon Beach	0	F	1157
Avalon Beach	0	M	1036
Avalon Beach	1	F	3677
Avalon Beach	1	M	3562
Avisford	0	M	3
Avisford	1	F	9
Avisford	1	M	12
Avoca (NSW)	0	F	8
Avoca (NSW)	0	M	10
Avoca (NSW)	1	F	89
Avoca (NSW)	1	M	86
Avoca Beach	0	F	409
Avoca Beach	0	M	440
