SSC_NAME16	BornAust	Sex	persons
Avoca Beach	1	F	1780
Avoca Beach	1	M	1726
Avondale (NSW)	0	F	134
Avondale (NSW)	0	M	126
Avondale (NSW)	1	F	661
Avondale (NSW)	1	M	631
Avonside	0	F	9
Avonside	0	M	9
Avonside	1	F	51
Avonside	1	M	46
Awaba	0	F	12
Awaba	0	M	19
Awaba	1	F	171
Awaba	1	M	185
Aylmerton	0	F	12
Aylmerton	0	M	14
Aylmerton	1	F	81
Aylmerton	1	M	83
Baan Baa	0	F	6
Baan Baa	0	M	3
Baan Baa	1	F	53
Baan Baa	1	M	74
Babinda (NSW)	1	M	3
Babyl Creek	1	F	3
Babyl Creek	1	M	9
Back Creek (Bland - NSW)	1	F	23
Back Creek (Bland - NSW)	1	M	21
Back Creek (Gwydir - NSW)	1	F	5
Back Creek (Gwydir - NSW)	1	M	9
Back Creek (Mid-Coast - NSW)	1	F	9
Back Creek (Mid-Coast - NSW)	1	M	13
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	F	7
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	M	3
Back Creek (Tenterfield - NSW)	1	F	3
Back Creek (Tenterfield - NSW)	1	M	8
Back Creek (Tweed - NSW)	1	F	3
Back Creek (Tweed - NSW)	1	M	5
Back Forest	0	F	3
Back Forest	0	M	10
Back Forest	1	F	28
Back Forest	1	M	34
Backmede	0	F	7
Backmede	0	M	7
Backmede	1	F	59
Backmede	1	M	62
Backwater	1	F	4
Backwater	1	M	8
Badgerys Creek	0	F	33
Badgerys Creek	0	M	31
Badgerys Creek	1	F	69
Badgerys Creek	1	M	75
Badja	0	M	4
Baerami	0	F	3
Baerami	0	M	4
Baerami	1	F	20
Baerami	1	M	25
Baerami Creek	1	F	10
Baerami Creek	1	M	14
Bagnoo	1	F	17
Bagnoo	1	M	27
Bago	1	F	17
Bago	1	M	16
Bagotville	0	M	4
Bagotville	1	F	12
Bagotville	1	M	18
Bakers Creek (Mid-Coast - NSW)	0	F	5
Bakers Creek (Mid-Coast - NSW)	0	M	3
Bakers Creek (Mid-Coast - NSW)	1	F	15
Bakers Creek (Mid-Coast - NSW)	1	M	16
Bakers Creek (Nambucca - NSW)	0	F	3
Bakers Creek (Nambucca - NSW)	1	M	5
Bakers Creek (Uralla - NSW)	1	F	5
Bakers Creek (Uralla - NSW)	1	M	5
Bakers Swamp	0	F	4
Bakers Swamp	0	M	3
Bakers Swamp	1	F	13
Bakers Swamp	1	M	18
Balaclava (NSW)	0	F	36
Balaclava (NSW)	0	M	43
Balaclava (NSW)	1	F	184
Balaclava (NSW)	1	M	160
Balala	0	F	11
Balala	0	M	7
Balala	1	F	47
Balala	1	M	49
Balcolyn	0	F	59
Balcolyn	0	M	38
Balcolyn	1	F	406
Balcolyn	1	M	398
Bald Blair	1	F	18
Bald Blair	1	M	18
Bald Hills (NSW)	0	F	11
Bald Hills (NSW)	0	M	19
Bald Hills (NSW)	1	F	115
Bald Hills (NSW)	1	M	107
Bald Nob	1	F	4
Bald Nob	1	M	9
Bald Ridge	1	M	3
Baldersleigh	0	F	3
Baldersleigh	0	M	3
Baldersleigh	1	F	22
Baldersleigh	1	M	23
Baldry	0	M	3
Baldry	1	F	47
Baldry	1	M	43
Balfours Peak	0	M	3
Balfours Peak	1	F	14
Balfours Peak	1	M	16
Balgowlah	0	F	1311
Balgowlah	0	M	1152
Balgowlah	1	F	2586
Balgowlah	1	M	2437
Balgowlah Heights	0	F	511
Balgowlah Heights	0	M	480
Balgowlah Heights	1	F	1158
Balgowlah Heights	1	M	1082
Balgownie	0	F	619
Balgownie	0	M	525
Balgownie	1	F	2118
Balgownie	1	M	2007
Balickera	1	F	10
Balickera	1	M	9
Balladoran	1	F	45
Balladoran	1	M	49
Ballalaba	1	F	4
Ballalaba	1	M	12
Balldale	0	F	3
Balldale	0	M	3
Balldale	1	F	54
Balldale	1	M	61
Ballengarra	0	F	4
Ballengarra	1	F	43
Ballengarra	1	M	34
Ballimore	0	F	3
Ballimore	1	F	72
Ballimore	1	M	84
Ballina	0	F	520
Ballina	0	M	432
Ballina	1	F	3673
Ballina	1	M	3138
Ballyroe	1	F	3
Ballyroe	1	M	6
Balmain	0	F	1613
Balmain	0	M	1456
Balmain	1	F	3361
Balmain	1	M	3089
Balmain East	0	F	260
Balmain East	0	M	272
Balmain East	1	F	628
Balmain East	1	M	583
Balmoral (Lake Macquarie - NSW)	0	F	41
Balmoral (Lake Macquarie - NSW)	0	M	31
Balmoral (Lake Macquarie - NSW)	1	F	301
Balmoral (Lake Macquarie - NSW)	1	M	336
Balmoral (Wingecarribee - NSW)	0	F	33
Balmoral (Wingecarribee - NSW)	0	M	29
Balmoral (Wingecarribee - NSW)	1	F	159
Balmoral (Wingecarribee - NSW)	1	M	183
Balranald	0	F	34
Balranald	0	M	30
Balranald	1	F	559
Balranald	1	M	594
Bamarang	1	F	10
Bamarang	1	M	12
Bandon Grove	0	F	4
Bandon Grove	0	M	5
Bandon Grove	1	F	49
Bandon Grove	1	M	50
Bangadang	1	F	8
Bangadang	1	M	4
Bangalee (NSW)	0	F	42
Bangalee (NSW)	0	M	50
Bangalee (NSW)	1	F	281
Bangalee (NSW)	1	M	265
Bangalow	0	F	180
Bangalow	0	M	155
Bangalow	1	F	769
Bangalow	1	M	715
Bangheet	1	F	16
Bangheet	1	M	21
Bango	0	F	3
Bango	0	M	8
Bango	1	F	36
Bango	1	M	44
Bangor (NSW)	0	F	466
Bangor (NSW)	0	M	454
Bangor (NSW)	1	F	2262
Bangor (NSW)	1	M	2233
Banksia	0	F	766
Banksia	0	M	710
Banksia	1	F	846
Banksia	1	M	851
Banksmeadow	1	F	6
Banksmeadow	1	M	12
Bankstown	0	F	8966
Bankstown	0	M	8469
Bankstown	1	F	5899
Bankstown	1	M	6022
Bannaby	0	F	3
Bannaby	1	F	10
Bannaby	1	M	16
Bannister (NSW)	0	F	3
Bannister (NSW)	0	M	6
Bannister (NSW)	1	F	47
Bannister (NSW)	1	M	54
Banoon	1	F	6
Banoon	1	M	13
Banora Point	0	F	1345
Banora Point	0	M	1158
Banora Point	1	F	6800
Banora Point	1	M	5980
Banyabba	0	F	4
Banyabba	0	M	10
Banyabba	1	F	14
Banyabba	1	M	18
Bar Beach	0	F	86
Bar Beach	0	M	96
Bar Beach	1	F	447
Bar Beach	1	M	516
Bar Point	0	F	5
Bar Point	0	M	3
Bar Point	1	F	21
Bar Point	1	M	32
Bara	0	M	5
Bara	1	F	12
Bara	1	M	15
Baradine	0	F	16
Baradine	0	M	14
Baradine	1	F	320
Baradine	1	M	343
Barangaroo	0	F	28
Barangaroo	0	M	36
Barangaroo	1	F	17
Barangaroo	1	M	25
Barden Ridge	0	F	342
Barden Ridge	0	M	317
Barden Ridge	1	F	1795
Barden Ridge	1	M	1777
Bardia	0	F	358
Bardia	0	M	359
Bardia	1	F	394
Bardia	1	M	391
Bardwell Park	0	F	399
Bardwell Park	0	M	355
Bardwell Park	1	F	712
Bardwell Park	1	M	716
Bardwell Valley	0	F	418
Bardwell Valley	0	M	385
Bardwell Valley	1	F	735
Bardwell Valley	1	M	683
Barellan	0	F	6
Barellan	0	M	5
Barellan	1	F	209
Barellan	1	M	245
Bargo	0	F	269
Bargo	0	M	254
Bargo	1	F	1784
Bargo	1	M	1814
Barham	0	F	47
Barham	0	M	36
Barham	1	F	647
Barham	1	M	619
Barigan	1	F	3
Barigan	1	M	3
Barkers Vale	0	F	20
Barkers Vale	0	M	20
Barkers Vale	1	F	43
Barkers Vale	1	M	62
Barmedman	0	F	9
Barmedman	0	M	11
Barmedman	1	F	184
Barmedman	1	M	198
Barnsley	0	F	41
Barnsley	0	M	43
Barnsley	1	F	800
Barnsley	1	M	800
Barooga	0	F	71
Barooga	0	M	73
Barooga	1	F	731
Barooga	1	M	748
Barraba	0	F	45
Barraba	0	M	41
Barraba	1	F	588
Barraba	1	M	555
Barrack Heights	0	F	605
Barrack Heights	0	M	553
Barrack Heights	1	F	2202
Barrack Heights	1	M	2129
Barrack Point	0	F	47
Barrack Point	0	M	54
Barrack Point	1	F	259
Barrack Point	1	M	258
Barraganyatti	0	F	6
Barraganyatti	0	M	7
Barraganyatti	1	F	54
Barraganyatti	1	M	52
Barragga Bay	0	F	12
Barragga Bay	0	M	6
Barragga Bay	1	F	39
Barragga Bay	1	M	38
Barrengarry	0	F	4
Barrengarry	0	M	12
Barrengarry	1	F	65
Barrengarry	1	M	78
Barretts Creek	1	F	4
Barretts Creek	1	M	4
Barringella	1	F	15
Barringella	1	M	14
Barrington (NSW)	0	F	16
Barrington (NSW)	0	M	9
Barrington (NSW)	1	F	156
Barrington (NSW)	1	M	155
Barry (Blayney - NSW)	0	F	5
Barry (Blayney - NSW)	0	M	7
Barry (Blayney - NSW)	1	F	69
Barry (Blayney - NSW)	1	M	74
Barry (Upper Hunter Shire - NSW)	1	M	3
Barwang	1	F	34
Barwang	1	M	37
Barwon	1	F	13
Barwon	1	M	14
Baryulgil	1	F	43
Baryulgil	1	M	38
Basin View	0	F	87
Basin View	0	M	100
Basin View	1	F	651
Basin View	1	M	588
Bass Hill	0	F	1683
Bass Hill	0	M	1631
Bass Hill	1	F	2688
Bass Hill	1	M	2613
Batar Creek	0	F	4
Batar Creek	0	M	3
Batar Creek	1	F	27
Batar Creek	1	M	30
Bateau Bay	0	F	726
Bateau Bay	0	M	616
Bateau Bay	1	F	5321
Bateau Bay	1	M	4742
Batehaven	0	F	140
Batehaven	0	M	129
Batehaven	1	F	747
Batehaven	1	M	635
Batemans Bay	0	F	109
Batemans Bay	0	M	103
Batemans Bay	1	F	553
Batemans Bay	1	M	561
Bathampton	1	F	17
Bathampton	1	M	14
Bathurst	0	F	434
Bathurst	0	M	405
Bathurst	1	F	2734
Bathurst	1	M	2682
Batlow	0	F	110
Batlow	0	M	97
Batlow	1	F	473
Batlow	1	M	516
Baulkham Hills	0	F	7185
Baulkham Hills	0	M	6616
Baulkham Hills	1	F	11245
Baulkham Hills	1	M	11044
Baw Baw (NSW)	0	F	15
Baw Baw (NSW)	0	M	16
Baw Baw (NSW)	1	F	101
Baw Baw (NSW)	1	M	106
Bawley Point	0	F	52
Bawley Point	0	M	44
Bawley Point	1	F	269
Bawley Point	1	M	280
Bayview (NSW)	0	F	526
Bayview (NSW)	0	M	459
Bayview (NSW)	1	F	1317
Bayview (NSW)	1	M	1112
Beacon Hill	0	F	1091
Beacon Hill	0	M	1063
Beacon Hill	1	F	2489
Beacon Hill	1	M	2519
Beaconsfield (NSW)	0	F	166
Beaconsfield (NSW)	0	M	169
Beaconsfield (NSW)	1	F	275
Beaconsfield (NSW)	1	M	302
Bean Creek	0	F	3
Bean Creek	1	F	26
Bean Creek	1	M	32
Bearbong	1	F	18
Bearbong	1	M	32
Beaumont (NSW)	0	F	9
Beaumont (NSW)	0	M	16
Beaumont (NSW)	1	F	41
Beaumont (NSW)	1	M	41
Beaumont Hills	0	F	1712
Beaumont Hills	0	M	1654
Beaumont Hills	1	F	2677
Beaumont Hills	1	M	2702
Beckom	0	M	3
Beckom	1	F	48
Beckom	1	M	64
Bective	0	F	3
Bective	0	M	3
Bective	1	F	87
Bective	1	M	90
Bectric	1	F	29
Bectric	1	M	17
Bedgerabong	0	F	3
Bedgerabong	0	M	3
Bedgerabong	1	F	59
Bedgerabong	1	M	71
Beechwood	0	F	29
Beechwood	0	M	18
Beechwood	1	F	272
Beechwood	1	M	253
Beecroft	0	F	1647
Beecroft	0	M	1425
Beecroft	1	F	3181
Beecroft	1	M	2890
Beelbangera	0	F	11
Beelbangera	0	M	16
Beelbangera	1	F	175
Beelbangera	1	M	169
Beemunnel	1	F	7
Beemunnel	1	M	9
Bega	0	F	189
Bega	0	M	179
Bega	1	F	2034
Bega	1	M	1874
Beggan Beggan	1	F	48
Beggan Beggan	1	M	36
Belanglo	1	F	8
Belanglo	1	M	9
Belbora	0	M	4
Belbora	1	F	47
Belbora	1	M	52
Belfield	0	F	1315
Belfield	0	M	1145
Belfield	1	F	1790
Belfield	1	M	1773
Belford	0	F	11
Belford	0	M	5
Belford	1	F	74
Belford	1	M	70
Belfrayden	0	F	3
Belfrayden	1	F	10
Belfrayden	1	M	11
Belgravia	0	M	3
Belgravia	1	F	58
Belgravia	1	M	55
Belimbla Park	0	F	32
Belimbla Park	0	M	41
Belimbla Park	1	F	248
Belimbla Park	1	M	238
Bell (NSW)	1	F	17
Bell (NSW)	1	M	25
Bella Vista	0	F	1885
Bella Vista	0	M	1710
Bella Vista	1	F	1962
Bella Vista	1	M	2041
Bellambi	0	F	390
Bellambi	0	M	308
Bellambi	1	F	1492
Bellambi	1	M	1462
Bellangry	0	F	4
Bellangry	0	M	3
Bellangry	1	F	39
Bellangry	1	M	35
Bellata	0	F	6
Bellata	1	F	143
Bellata	1	M	162
Bellawongarah	0	F	7
Bellawongarah	0	M	18
Bellawongarah	1	F	38
Bellawongarah	1	M	39
Bellbird	0	F	49
Bellbird	0	M	50
Bellbird	1	F	905
Bellbird	1	M	871
Bellbird Heights	0	F	30
Bellbird Heights	0	M	29
Bellbird Heights	1	F	369
Bellbird Heights	1	M	314
Bellbrook	0	F	12
Bellbrook	0	M	19
Bellbrook	1	F	115
Bellbrook	1	M	115
Bellevue Hill	0	F	1887
Bellevue Hill	0	M	1742
Bellevue Hill	1	F	3171
Bellevue Hill	1	M	3057
Bellimbopinni	0	F	4
Bellimbopinni	1	F	48
Bellimbopinni	1	M	51
Bellingen	0	F	286
Bellingen	0	M	245
Bellingen	1	F	1593
Bellingen	1	M	1375
Bellmount Forest	0	F	5
Bellmount Forest	0	M	9
Bellmount Forest	1	F	59
Bellmount Forest	1	M	45
Belltrees	1	F	13
Belltrees	1	M	13
Belmont (NSW)	0	F	333
Belmont (NSW)	0	M	298
Belmont (NSW)	1	F	3115
Belmont (NSW)	1	M	2943
Belmont North	0	F	265
Belmont North	0	M	222
Belmont North	1	F	2831
Belmont North	1	M	2800
Belmont South	0	F	47
Belmont South	0	M	32
Belmont South	1	F	465
Belmont South	1	M	446
Belmore	0	F	3241
Belmore	0	M	3044
Belmore	1	F	2708
Belmore	1	M	2861
Belmore River	0	F	6
Belmore River	0	M	10
Belmore River	1	F	125
Belmore River	1	M	122
Beloka	1	F	10
Beloka	1	M	5
Belowra	1	F	3
Belowra	1	M	3
Belrose	0	F	1264
Belrose	0	M	1157
Belrose	1	F	3043
Belrose	1	M	2884
Bemboka	0	F	24
Bemboka	0	M	31
Bemboka	1	F	229
Bemboka	1	M	232
Ben Bullen	0	F	3
Ben Bullen	0	M	3
Ben Bullen	1	F	29
Ben Bullen	1	M	44
Ben Lomond (NSW)	0	F	4
Ben Lomond (NSW)	0	M	8
Ben Lomond (NSW)	1	F	56
Ben Lomond (NSW)	1	M	59
Benandarah	0	F	9
Benandarah	0	M	7
Benandarah	1	F	43
Benandarah	1	M	66
Bendalong	0	F	5
Bendalong	1	F	37
Bendalong	1	M	43
Bendemeer	0	F	22
Bendemeer	0	M	11
Bendemeer	1	F	188
Bendemeer	1	M	206
Bendick Murrell	0	F	3
Bendick Murrell	0	M	9
Bendick Murrell	1	F	65
Bendick Murrell	1	M	60
Bendolba	0	M	3
Bendolba	1	F	93
Bendolba	1	M	89
Bendoura	0	F	7
Bendoura	0	M	5
Bendoura	1	F	23
Bendoura	1	M	26
Benerembah	0	M	3
Benerembah	1	F	48
Benerembah	1	M	54
Bengalla	1	F	10
Bengalla	1	M	10
Bennetts Green	1	F	7
Bennetts Green	1	M	9
Benolong	1	F	22
Benolong	1	M	23
Bensville	0	F	184
Bensville	0	M	180
Bensville	1	F	1052
Bensville	1	M	1054
Bentley (NSW)	0	F	9
Bentley (NSW)	0	M	4
Bentley (NSW)	1	F	76
Bentley (NSW)	1	M	82
Berala	0	F	2598
Berala	0	M	2784
Berala	1	F	1591
Berala	1	M	1710
Berambing	0	F	5
Berambing	0	M	4
Berambing	1	F	41
Berambing	1	M	44
Beresfield	0	F	163
Beresfield	0	M	132
Beresfield	1	F	1321
Beresfield	1	M	1387
Bergalia	0	F	8
Bergalia	0	M	10
Bergalia	1	F	64
Bergalia	1	M	68
Berkeley	0	F	878
Berkeley	0	M	768
Berkeley	1	F	2712
Berkeley	1	M	2691
Berkeley Vale	0	F	462
Berkeley Vale	0	M	457
Berkeley Vale	1	F	3714
Berkeley Vale	1	M	3367
Berkshire Park	0	F	135
Berkshire Park	0	M	286
Berkshire Park	1	F	617
Berkshire Park	1	M	977
Bermagui	0	F	107
Bermagui	0	M	107
Bermagui	1	F	603
Bermagui	1	M	582
Berowra	0	F	585
Berowra	0	M	571
Berowra	1	F	1720
Berowra	1	M	1723
Berowra Creek	0	F	3
Berowra Creek	0	M	3
Berowra Creek	1	F	4
Berowra Creek	1	M	8
Berowra Heights	0	F	502
Berowra Heights	0	M	523
Berowra Heights	1	F	2107
Berowra Heights	1	M	1990
Berowra Waters	0	F	8
Berowra Waters	0	M	13
Berowra Waters	1	F	17
Berowra Waters	1	M	13
Berrambool	0	F	28
Berrambool	0	M	24
Berrambool	1	F	193
Berrambool	1	M	179
Berrara	0	F	7
Berrara	0	M	7
Berrara	1	F	133
Berrara	1	M	133
Berremangra	0	M	3
Berremangra	1	F	32
Berremangra	1	M	33
Berrico	1	F	9
Berrico	1	M	8
Berridale	0	F	61
Berridale	0	M	63
Berridale	1	F	469
Berridale	1	M	512
Berrigal	1	F	10
Berrigal	1	M	14
Berrigan	0	F	38
