SSC_NAME16	HomeCensusNight	Sex	persons
Aarons Pass	1	F	12
Aarons Pass	1	M	10
Abbotsbury	0	F	40
Abbotsbury	0	M	32
Abbotsbury	1	F	2134
Abbotsbury	1	M	2047
Abbotsford (NSW)	0	F	90
Abbotsford (NSW)	0	M	89
Abbotsford (NSW)	1	F	2748
Abbotsford (NSW)	1	M	2453
Abercrombie	0	F	13
Abercrombie	0	M	28
Abercrombie	1	F	561
Abercrombie	1	M	507
Abercrombie River	1	F	11
Abercrombie River	1	M	13
Aberdare	0	F	85
Aberdare	0	M	79
Aberdare	1	F	1185
Aberdare	1	M	1129
Aberdeen (NSW)	0	F	48
Aberdeen (NSW)	0	M	80
Aberdeen (NSW)	1	F	985
Aberdeen (NSW)	1	M	969
Aberfoyle	0	F	3
Aberfoyle	0	M	3
Aberfoyle	1	F	48
Aberfoyle	1	M	48
Aberglasslyn	0	F	106
Aberglasslyn	0	M	122
Aberglasslyn	1	F	2677
Aberglasslyn	1	M	2501
Abermain	0	F	62
Abermain	0	M	74
Abermain	1	F	1121
Abermain	1	M	1090
Abernethy	0	F	8
Abernethy	0	M	3
Abernethy	1	F	161
Abernethy	1	M	176
Abington (NSW)	1	F	8
Abington (NSW)	1	M	4
Acacia Creek	1	F	22
Acacia Creek	1	M	17
Acacia Gardens	0	F	24
Acacia Gardens	0	M	36
Acacia Gardens	1	F	1877
Acacia Gardens	1	M	1871
Adaminaby	0	F	11
Adaminaby	0	M	18
Adaminaby	1	F	130
Adaminaby	1	M	144
Adamstown	0	F	137
Adamstown	0	M	171
Adamstown	1	F	2986
Adamstown	1	M	2745
Adamstown Heights	0	F	101
Adamstown Heights	0	M	141
Adamstown Heights	1	F	2539
Adamstown Heights	1	M	2514
Adelong	0	F	25
Adelong	0	M	28
Adelong	1	F	440
Adelong	1	M	452
Adjungbilly	0	F	4
Adjungbilly	1	F	37
Adjungbilly	1	M	41
Afterlee	1	F	22
Afterlee	1	M	24
Agnes Banks	0	F	12
Agnes Banks	0	M	16
Agnes Banks	1	F	423
Agnes Banks	1	M	458
Airds	0	F	65
Airds	0	M	80
Airds	1	F	1531
Airds	1	M	1256
Akolele	0	F	11
Akolele	0	M	7
Akolele	1	F	81
Akolele	1	M	77
Albert	0	F	3
Albert	1	F	37
Albert	1	M	40
Albion Park	0	F	243
Albion Park	0	M	311
Albion Park	1	F	6648
Albion Park	1	M	6118
Albion Park Rail	0	F	124
Albion Park Rail	0	M	176
Albion Park Rail	1	F	3416
Albion Park Rail	1	M	3203
Albury	0	F	185
Albury	0	M	194
Albury	1	F	2283
Albury	1	M	2145
Aldavilla	0	F	13
Aldavilla	0	M	13
Aldavilla	1	F	375
Aldavilla	1	M	823
Alectown	0	F	3
Alectown	0	M	4
Alectown	1	F	85
Alectown	1	M	82
Alexandria	0	F	186
Alexandria	0	M	187
Alexandria	1	F	3867
Alexandria	1	M	4022
Alfords Point	0	F	40
Alfords Point	0	M	34
Alfords Point	1	F	1540
Alfords Point	1	M	1493
Alfredtown	0	M	3
Alfredtown	1	F	53
Alfredtown	1	M	49
Alice	0	F	3
Alice	1	F	4
Alice	1	M	3
Alison (Central Coast - NSW)	0	F	3
Alison (Central Coast - NSW)	1	F	47
Alison (Central Coast - NSW)	1	M	41
Alison (Dungog - NSW)	1	F	34
Alison (Dungog - NSW)	1	M	43
Allambie Heights	0	F	136
Allambie Heights	0	M	129
Allambie Heights	1	F	3468
Allambie Heights	1	M	3276
Allandale (NSW)	1	F	37
Allandale (NSW)	1	M	36
Allawah	0	F	65
Allawah	0	M	68
Allawah	1	F	2790
Allawah	1	M	2789
Alleena	1	F	31
Alleena	1	M	31
Allgomera	0	F	5
Allgomera	0	M	3
Allgomera	1	F	64
Allgomera	1	M	54
Allworth	0	M	6
Allworth	1	F	69
Allworth	1	M	85
Allynbrook	1	F	25
Allynbrook	1	M	36
Alma Park	0	F	5
Alma Park	0	M	3
Alma Park	1	F	26
Alma Park	1	M	24
Alpine	0	F	5
Alpine	1	F	65
Alpine	1	M	67
Alstonvale	0	F	8
Alstonvale	0	M	15
Alstonvale	1	F	216
Alstonvale	1	M	202
Alstonville	0	F	172
Alstonville	0	M	126
Alstonville	1	F	2948
Alstonville	1	M	2492
Alumy Creek	1	F	43
Alumy Creek	1	M	39
Amaroo (NSW)	1	F	26
Amaroo (NSW)	1	M	19
Ambarvale	0	F	122
Ambarvale	0	M	134
Ambarvale	1	F	3658
Ambarvale	1	M	3460
Amosfield	0	F	3
Amosfield	1	F	10
Amosfield	1	M	15
Anabranch North	1	F	3
Anabranch North	1	M	3
Anabranch South	1	F	13
Anabranch South	1	M	20
Anambah	0	F	3
Anambah	0	M	3
Anambah	1	F	18
Anambah	1	M	13
Ando	0	M	3
Ando	1	F	31
Ando	1	M	33
Anembo	0	F	3
Anembo	0	M	7
Anembo	1	F	25
Anembo	1	M	27
Angledale	0	F	3
Angledale	0	M	5
Angledale	1	F	72
Angledale	1	M	72
Angledool	0	F	9
Angledool	0	M	7
Angledool	1	F	17
Angledool	1	M	22
Anglers Reach	0	F	3
Anglers Reach	0	M	4
Anglers Reach	1	F	41
Anglers Reach	1	M	46
Angourie	0	F	16
Angourie	0	M	6
Angourie	1	F	104
Angourie	1	M	98
Anna Bay	0	F	130
Anna Bay	0	M	137
Anna Bay	1	F	1852
Anna Bay	1	M	1723
Annandale (NSW)	0	F	220
Annandale (NSW)	0	M	206
