SSC_NAME16	HomeCensusNight	Sex	persons
Annandale (NSW)	1	F	4695
Annandale (NSW)	1	M	4336
Annangrove	0	F	29
Annangrove	0	M	34
Annangrove	1	F	639
Annangrove	1	M	693
Appin (NSW)	0	F	57
Appin (NSW)	0	M	50
Appin (NSW)	1	F	1233
Appin (NSW)	1	M	1292
Apple Tree Flat	1	F	18
Apple Tree Flat	1	M	19
Appleby	1	F	15
Appleby	1	M	19
Appletree Flat	1	F	8
Appletree Flat	1	M	11
Apsley (NSW)	0	F	4
Apsley (NSW)	0	M	4
Apsley (NSW)	1	F	50
Apsley (NSW)	1	M	55
Arable	0	M	4
Arable	1	F	4
Arable	1	M	11
Arakoon	0	F	13
Arakoon	0	M	16
Arakoon	1	F	188
Arakoon	1	M	207
Araluen (NSW)	0	F	10
Araluen (NSW)	0	M	6
Araluen (NSW)	1	F	71
Araluen (NSW)	1	M	81
Aratula (NSW)	1	F	5
Arcadia (NSW)	0	F	19
Arcadia (NSW)	0	M	27
Arcadia (NSW)	1	F	664
Arcadia (NSW)	1	M	671
Arcadia Vale	0	F	31
Arcadia Vale	0	M	33
Arcadia Vale	1	F	648
Arcadia Vale	1	M	668
Ardglen	1	F	28
Ardglen	1	M	32
Arding	0	F	3
Arding	0	M	3
Arding	1	F	98
Arding	1	M	111
Ardlethan	0	F	14
Ardlethan	0	M	18
Ardlethan	1	F	237
Ardlethan	1	M	241
Argalong	1	F	19
Argalong	1	M	11
Argenton	0	F	24
Argenton	0	M	26
Argenton	1	F	647
Argenton	1	M	654
Argents Hill	0	F	6
Argents Hill	0	M	10
Argents Hill	1	F	91
Argents Hill	1	M	115
Argoon (NSW)	1	F	9
Argoon (NSW)	1	M	10
Ariah Park	0	F	25
Ariah Park	0	M	20
Ariah Park	1	F	212
Ariah Park	1	M	234
Arkell	1	F	16
Arkell	1	M	29
Arkstone	0	M	3
Arkstone	1	F	3
Arkstone	1	M	12
Armatree	0	F	18
Armatree	0	M	6
Armatree	1	F	66
Armatree	1	M	66
Armidale	0	F	894
Armidale	0	M	843
Armidale	1	F	11311
Armidale	1	M	10301
Arncliffe	0	F	165
Arncliffe	0	M	159
Arncliffe	1	F	5121
Arncliffe	1	M	5152
Arndell Park	0	M	5
Arndell Park	1	F	6
Arndell Park	1	M	24
Arrawarra	0	F	16
Arrawarra	0	M	18
Arrawarra	1	F	248
Arrawarra	1	M	236
Arrawarra Headland	0	F	17
Arrawarra Headland	0	M	10
Arrawarra Headland	1	F	262
Arrawarra Headland	1	M	264
Artarmon	0	F	158
Artarmon	0	M	167
Artarmon	1	F	4715
Artarmon	1	M	4484
Arthurville	1	F	22
Arthurville	1	M	18
Arumpo	1	F	18
Arumpo	1	M	15
Ashbury	0	F	62
Ashbury	0	M	55
Ashbury	1	F	1611
Ashbury	1	M	1597
Ashby (NSW)	0	F	11
Ashby (NSW)	0	M	11
Ashby (NSW)	1	F	154
Ashby (NSW)	1	M	153
Ashby Heights	0	F	6
Ashby Heights	0	M	3
Ashby Heights	1	F	115
Ashby Heights	1	M	109
Ashby Island	1	F	9
Ashby Island	1	M	10
Ashcroft	0	F	49
Ashcroft	0	M	60
Ashcroft	1	F	1779
Ashcroft	1	M	1698
Ashfield (NSW)	0	F	395
Ashfield (NSW)	0	M	342
Ashfield (NSW)	1	F	11672
Ashfield (NSW)	1	M	11425
Ashford (NSW)	0	F	19
Ashford (NSW)	0	M	28
Ashford (NSW)	1	F	311
Ashford (NSW)	1	M	294
Ashley	0	F	9
Ashley	0	M	12
Ashley	1	F	172
Ashley	1	M	180
Ashmont	0	F	111
Ashmont	0	M	105
Ashmont	1	F	1915
Ashmont	1	M	1705
Ashtonfield	0	F	107
Ashtonfield	0	M	132
Ashtonfield	1	F	2254
Ashtonfield	1	M	2152
Asquith	0	F	52
Asquith	0	M	65
Asquith	1	F	1707
Asquith	1	M	1551
Atholwood	0	F	3
Atholwood	0	M	5
Atholwood	1	F	37
Atholwood	1	M	34
Attunga	0	F	9
Attunga	0	M	18
Attunga	1	F	262
Attunga	1	M	278
Auburn (NSW)	0	F	440
Auburn (NSW)	0	M	566
Auburn (NSW)	1	F	16363
Auburn (NSW)	1	M	20006
Auburn Vale	0	F	5
Auburn Vale	0	M	7
Auburn Vale	1	F	53
Auburn Vale	1	M	54
Austinmer	0	F	80
Austinmer	0	M	91
Austinmer	1	F	1242
Austinmer	1	M	1149
Austral	0	F	49
Austral	0	M	59
Austral	1	F	1450
Austral	1	M	1466
Austral Eden	0	F	9
Austral Eden	0	M	7
Austral Eden	1	F	66
Austral Eden	1	M	71
Avalon Beach	0	F	265
Avalon Beach	0	M	303
Avalon Beach	1	F	4813
Avalon Beach	1	M	4525
Avisford	0	F	6
Avisford	0	M	3
Avisford	1	F	8
Avisford	1	M	16
Avoca (NSW)	0	M	3
Avoca (NSW)	1	F	101
Avoca (NSW)	1	M	91
Avoca Beach	0	F	125
Avoca Beach	0	M	146
Avoca Beach	1	F	2175
Avoca Beach	1	M	2133
Avondale (NSW)	0	F	22
Avondale (NSW)	0	M	30
Avondale (NSW)	1	F	827
Avondale (NSW)	1	M	779
Avonside	0	F	6
Avonside	0	M	7
Avonside	1	F	54
Avonside	1	M	55
Awaba	0	F	7
Awaba	0	M	10
Awaba	1	F	192
Awaba	1	M	198
Aylmerton	0	F	9
Aylmerton	0	M	5
Aylmerton	1	F	86
Aylmerton	1	M	87
Baan Baa	0	F	3
Baan Baa	0	M	3
Baan Baa	1	F	69
Baan Baa	1	M	85
Babinda (NSW)	1	M	3
Babyl Creek	1	F	3
Babyl Creek	1	M	8
Back Creek (Bland - NSW)	1	F	19
Back Creek (Bland - NSW)	1	M	24
Back Creek (Gwydir - NSW)	1	F	9
Back Creek (Gwydir - NSW)	1	M	9
Back Creek (Mid-Coast - NSW)	1	F	6
Back Creek (Mid-Coast - NSW)	1	M	13
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	F	6
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	M	3
Back Creek (Tenterfield - NSW)	1	F	3
Back Creek (Tenterfield - NSW)	1	M	8
Back Creek (Tweed - NSW)	1	F	5
Back Creek (Tweed - NSW)	1	M	9
Back Forest	0	F	7
Back Forest	0	M	3
Back Forest	1	F	34
Back Forest	1	M	35
Backmede	0	F	9
Backmede	0	M	3
Backmede	1	F	70
Backmede	1	M	69
Backwater	1	F	4
Backwater	1	M	5
Badgerys Creek	0	F	9
Badgerys Creek	0	M	5
Badgerys Creek	1	F	104
Badgerys Creek	1	M	107
Badja	1	M	4
Baerami	0	M	7
Baerami	1	F	30
Baerami	1	M	33
Baerami Creek	0	M	3
Baerami Creek	1	F	19
Baerami Creek	1	M	27
Bagnoo	1	F	12
Bagnoo	1	M	23
Bago	1	F	22
Bago	1	M	20
Bagotville	0	M	3
Bagotville	1	F	22
Bagotville	1	M	27
Bakers Creek (Mid-Coast - NSW)	1	F	19
Bakers Creek (Mid-Coast - NSW)	1	M	19
Bakers Creek (Nambucca - NSW)	1	F	4
Bakers Creek (Nambucca - NSW)	1	M	9
Bakers Creek (Uralla - NSW)	1	F	4
Bakers Creek (Uralla - NSW)	1	M	8
Bakers Swamp	0	M	3
Bakers Swamp	1	F	21
Bakers Swamp	1	M	23
Balaclava (NSW)	0	F	15
Balaclava (NSW)	0	M	7
Balaclava (NSW)	1	F	252
Balaclava (NSW)	1	M	223
Balala	0	F	10
Balala	0	M	9
Balala	1	F	63
Balala	1	M	62
Balcolyn	0	F	30
Balcolyn	0	M	29
Balcolyn	1	F	463
Balcolyn	1	M	437
Bald Blair	0	M	5
Bald Blair	1	F	24
Bald Blair	1	M	24
Bald Hills (NSW)	0	F	20
Bald Hills (NSW)	0	M	7
Bald Hills (NSW)	1	F	112
Bald Hills (NSW)	1	M	123
Bald Nob	1	F	4
Bald Nob	1	M	9
Bald Ridge	1	F	5
Bald Ridge	1	M	4
Baldersleigh	1	F	23
Baldersleigh	1	M	28
Baldry	0	F	3
Baldry	1	F	47
Baldry	1	M	44
Balfours Peak	1	F	15
Balfours Peak	1	M	23
Balgowlah	0	F	154
Balgowlah	0	M	170
Balgowlah	1	F	3983
Balgowlah	1	M	3650
Balgowlah Heights	0	F	70
Balgowlah Heights	0	M	80
Balgowlah Heights	1	F	1657
Balgowlah Heights	1	M	1542
Balgownie	0	F	90
Balgownie	0	M	109
Balgownie	1	F	2778
Balgownie	1	M	2553
Balickera	1	F	10
Balickera	1	M	9
Balladoran	0	M	7
Balladoran	1	F	49
Balladoran	1	M	54
Ballalaba	1	F	10
Ballalaba	1	M	12
Balldale	0	F	3
Balldale	1	F	72
Balldale	1	M	82
Ballengarra	0	M	3
Ballengarra	1	F	48
Ballengarra	1	M	40
Ballimore	0	F	9
Ballimore	0	M	11
Ballimore	1	F	89
Ballimore	1	M	84
Ballina	0	F	220
Ballina	0	M	190
Ballina	1	F	4476
Ballina	1	M	3765
Ballyroe	1	F	3
Ballyroe	1	M	6
Balmain	0	F	260
Balmain	0	M	259
Balmain	1	F	5169
Balmain	1	M	4761
Balmain East	0	F	59
Balmain East	0	M	48
Balmain East	1	F	930
Balmain East	1	M	903
Balmoral (Lake Macquarie - NSW)	0	F	22
Balmoral (Lake Macquarie - NSW)	0	M	27
Balmoral (Lake Macquarie - NSW)	1	F	334
Balmoral (Lake Macquarie - NSW)	1	M	342
Balmoral (Wingecarribee - NSW)	0	M	9
Balmoral (Wingecarribee - NSW)	1	F	202
Balmoral (Wingecarribee - NSW)	1	M	213
Balranald	0	F	45
Balranald	0	M	38
Balranald	1	F	610
Balranald	1	M	653
Bamarang	0	M	3
Bamarang	1	F	12
Bamarang	1	M	9
Bandon Grove	0	F	3
Bandon Grove	0	M	9
Bandon Grove	1	F	52
Bandon Grove	1	M	50
Bangadang	1	F	9
Bangadang	1	M	4
Bangalee (NSW)	0	F	16
Bangalee (NSW)	0	M	30
Bangalee (NSW)	1	F	315
Bangalee (NSW)	1	M	297
Bangalow	0	F	48
Bangalow	0	M	58
Bangalow	1	F	1008
Bangalow	1	M	902
Bangheet	1	F	17
Bangheet	1	M	25
Bango	0	M	6
Bango	1	F	46
Bango	1	M	50
Bangor (NSW)	0	F	89
Bangor (NSW)	0	M	110
Bangor (NSW)	1	F	2710
Bangor (NSW)	1	M	2652
Banksia	0	F	42
Banksia	0	M	50
Banksia	1	F	1665
Banksia	1	M	1625
Banksmeadow	0	F	3
Banksmeadow	0	M	3
Banksmeadow	1	F	7
Banksmeadow	1	M	8
Bankstown	0	F	462
Bankstown	0	M	482
Bankstown	1	F	15822
Bankstown	1	M	15346
Bannaby	1	F	16
Bannaby	1	M	15
Bannister (NSW)	0	F	3
Bannister (NSW)	0	M	4
Bannister (NSW)	1	F	58
Bannister (NSW)	1	M	57
Banoon	1	F	9
Banoon	1	M	16
Banora Point	0	F	381
Banora Point	0	M	439
Banora Point	1	F	8241
Banora Point	1	M	7100
Banyabba	1	F	22
Banyabba	1	M	24
Bar Beach	0	F	57
Bar Beach	0	M	78
Bar Beach	1	F	524
Bar Beach	1	M	599
Bar Point	0	F	3
Bar Point	1	F	26
Bar Point	1	M	33
Bara	1	F	8
Bara	1	M	13
Baradine	0	F	19
Baradine	0	M	23
Baradine	1	F	357
Baradine	1	M	367
Barangaroo	0	F	3
Barangaroo	0	M	7
Barangaroo	1	F	80
Barangaroo	1	M	100
Barden Ridge	0	F	81
Barden Ridge	0	M	71
Barden Ridge	1	F	2113
Barden Ridge	1	M	2071
Bardia	0	F	22
Bardia	0	M	15
Bardia	1	F	776
Bardia	1	M	788
Bardwell Park	0	F	47
Bardwell Park	0	M	27
Bardwell Park	1	F	1094
Bardwell Park	1	M	1076
Bardwell Valley	0	F	38
Bardwell Valley	0	M	31
Bardwell Valley	1	F	1170
Bardwell Valley	1	M	1081
Barellan	0	F	7
Barellan	0	M	17
Barellan	1	F	236
Barellan	1	M	271
Bargo	0	F	60
Bargo	0	M	87
Bargo	1	F	2124
Bargo	1	M	2122
Barham	0	F	71
Barham	0	M	65
Barham	1	F	711
Barham	1	M	674
Barigan	1	F	3
Barkers Vale	0	F	3
Barkers Vale	0	M	8
Barkers Vale	1	F	79
Barkers Vale	1	M	83
Barmedman	0	F	14
Barmedman	0	M	8
Barmedman	1	F	211
Barmedman	1	M	223
Barnsley	0	F	49
Barnsley	0	M	47
Barnsley	1	F	830
Barnsley	1	M	828
Barooga	0	F	83
Barooga	0	M	90
Barooga	1	F	813
Barooga	1	M	834
Barraba	0	F	56
Barraba	0	M	51
Barraba	1	F	676
Barraba	1	M	629
Barrack Heights	0	F	142
Barrack Heights	0	M	138
Barrack Heights	1	F	2888
Barrack Heights	1	M	2731
Barrack Point	0	F	21
Barrack Point	0	M	10
Barrack Point	1	F	319
Barrack Point	1	M	338
Barraganyatti	0	M	5
Barraganyatti	1	F	66
Barraganyatti	1	M	65
Barragga Bay	0	M	4
Barragga Bay	1	F	49
Barragga Bay	1	M	40
Barrengarry	0	M	6
Barrengarry	1	F	90
Barrengarry	1	M	105
Barretts Creek	1	F	5
Barretts Creek	1	M	4
Barringella	1	F	15
Barringella	1	M	11
Barrington (NSW)	0	F	16
Barrington (NSW)	0	M	12
Barrington (NSW)	1	F	173
Barrington (NSW)	1	M	167
Barry (Blayney - NSW)	0	F	4
Barry (Blayney - NSW)	0	M	3
Barry (Blayney - NSW)	1	F	78
Barry (Blayney - NSW)	1	M	76
Barry (Upper Hunter Shire - NSW)	1	M	3
Barwang	0	M	5
Barwang	1	F	36
Barwang	1	M	40
Barwon	0	M	3
Barwon	1	F	11
Barwon	1	M	18
Baryulgil	0	F	3
Baryulgil	0	M	3
Baryulgil	1	F	46
Baryulgil	1	M	39
Basin View	0	F	56
Basin View	0	M	59
Basin View	1	F	758
Basin View	1	M	680
Bass Hill	0	F	133
Bass Hill	0	M	128
Bass Hill	1	F	4466
Bass Hill	1	M	4345
Batar Creek	1	F	40
Batar Creek	1	M	40
Bateau Bay	0	F	277
Bateau Bay	0	M	281
Bateau Bay	1	F	6175
Bateau Bay	1	M	5413
Batehaven	0	F	59
Batehaven	0	M	61
Batehaven	1	F	892
Batehaven	1	M	763
Batemans Bay	0	F	54
Batemans Bay	0	M	66
Batemans Bay	1	F	713
Batemans Bay	1	M	696
Bathampton	0	F	3
Bathampton	1	F	17
Bathampton	1	M	15
Bathurst	0	F	251
Bathurst	0	M	256
Bathurst	1	F	3266
Bathurst	1	M	3156
Batlow	0	F	40
Batlow	0	M	42
Batlow	1	F	607
Batlow	1	M	626
Baulkham Hills	0	F	488
Baulkham Hills	0	M	525
Baulkham Hills	1	F	18425
Baulkham Hills	1	M	17609
Baw Baw (NSW)	0	F	6
Baw Baw (NSW)	0	M	12
Baw Baw (NSW)	1	F	116
Baw Baw (NSW)	1	M	127
Bawley Point	0	F	38
Bawley Point	0	M	31
Bawley Point	1	F	324
Bawley Point	1	M	309
Bayview (NSW)	0	F	104
Bayview (NSW)	0	M	92
Bayview (NSW)	1	F	1856
Bayview (NSW)	1	M	1564
Beacon Hill	0	F	132
Beacon Hill	0	M	143
Beacon Hill	1	F	3592
Beacon Hill	1	M	3584
Beaconsfield (NSW)	0	F	14
Beaconsfield (NSW)	0	M	35
Beaconsfield (NSW)	1	F	459
Beaconsfield (NSW)	1	M	482
Bean Creek	0	F	4
Bean Creek	0	M	4
Bean Creek	1	F	34
Bean Creek	1	M	36
Bearbong	0	F	3
Bearbong	0	M	3
Bearbong	1	F	23
Bearbong	1	M	29
Beaumont (NSW)	0	F	8
Beaumont (NSW)	0	M	3
Beaumont (NSW)	1	F	62
Beaumont (NSW)	1	M	55
Beaumont Hills	0	F	121
Beaumont Hills	0	M	96
Beaumont Hills	1	F	4427
Beaumont Hills	1	M	4396
Beckom	0	M	5
Beckom	1	F	52
Beckom	1	M	68
Bective	0	F	3
Bective	0	M	6
Bective	1	F	95
Bective	1	M	97
Bectric	0	F	4
Bectric	1	F	27
Bectric	1	M	23
Bedgerabong	0	M	3
Bedgerabong	1	F	66
Bedgerabong	1	M	80
Beechwood	0	F	14
Beechwood	0	M	19
Beechwood	1	F	309
Beechwood	1	M	273
Beecroft	0	F	124
Beecroft	0	M	169
Beecroft	1	F	4826
Beecroft	1	M	4286
Beelbangera	0	F	7
Beelbangera	0	M	14
Beelbangera	1	F	194
Beelbangera	1	M	187
Beemunnel	1	F	7
Beemunnel	1	M	9
Bega	0	F	118
Bega	0	M	160
Bega	1	F	2305
Bega	1	M	2086
Beggan Beggan	1	F	59
Beggan Beggan	1	M	45
Belanglo	1	F	9
Belanglo	1	M	12
Belbora	0	F	8
Belbora	0	M	9
Belbora	1	F	54
Belbora	1	M	56
Belfield	0	F	81
Belfield	0	M	76
Belfield	1	F	3184
Belfield	1	M	2984
Belford	0	F	6
Belford	0	M	5
Belford	1	F	82
Belford	1	M	82
Belfrayden	1	F	10
Belfrayden	1	M	11
Belgravia	0	F	3
Belgravia	0	M	7
Belgravia	1	F	58
Belgravia	1	M	48
Belimbla Park	0	F	15
Belimbla Park	0	M	23
Belimbla Park	1	F	282
Belimbla Park	1	M	263
Bell (NSW)	0	F	3
Bell (NSW)	1	F	21
Bell (NSW)	1	M	20
Bella Vista	0	F	76
Bella Vista	0	M	94
Bella Vista	1	F	3890
Bella Vista	1	M	3776
Bellambi	0	F	80
Bellambi	0	M	84
Bellambi	1	F	1960
Bellambi	1	M	1824
Bellangry	0	F	5
Bellangry	1	F	49
Bellangry	1	M	47
Bellata	0	F	13
Bellata	0	M	15
Bellata	1	F	152
Bellata	1	M	165
Bellawongarah	0	F	7
Bellawongarah	0	M	11
Bellawongarah	1	F	57
Bellawongarah	1	M	58
Bellbird	0	F	60
Bellbird	0	M	57
Bellbird	1	F	973
Bellbird	1	M	936
Bellbird Heights	0	F	15
Bellbird Heights	0	M	17
Bellbird Heights	1	F	411
Bellbird Heights	1	M	345
Bellbrook	0	M	8
Bellbrook	1	F	132
Bellbrook	1	M	135
Bellevue Hill	0	F	227
Bellevue Hill	0	M	265
Bellevue Hill	1	F	5271
Bellevue Hill	1	M	4955
Bellimbopinni	0	M	3
Bellimbopinni	1	F	63
Bellimbopinni	1	M	59
Bellingen	0	F	90
Bellingen	0	M	96
Bellingen	1	F	1943
Bellingen	1	M	1650
Bellmount Forest	1	F	63
Bellmount Forest	1	M	56
Belltrees	1	F	11
Belltrees	1	M	17
Belmont (NSW)	0	F	170
Belmont (NSW)	0	M	194
Belmont (NSW)	1	F	3499
Belmont (NSW)	1	M	3254
Belmont North	0	F	144
Belmont North	0	M	166
Belmont North	1	F	3065
Belmont North	1	M	2964
Belmont South	0	F	25
Belmont South	0	M	15
Belmont South	1	F	517
Belmont South	1	M	490
Belmore	0	F	206
Belmore	0	M	197
Belmore	1	F	6177
Belmore	1	M	6139
Belmore River	0	F	7
Belmore River	0	M	4
Belmore River	1	F	127
Belmore River	1	M	128
Beloka	0	F	4
Beloka	1	F	9
Beloka	1	M	10
Belowra	1	F	3
Belowra	1	M	3
Belrose	0	F	114
Belrose	0	M	127
Belrose	1	F	4439
Belrose	1	M	4093
Bemboka	0	F	22
Bemboka	0	M	18
Bemboka	1	F	258
Bemboka	1	M	277
Ben Bullen	0	M	4
Ben Bullen	1	F	43
Ben Bullen	1	M	56
Ben Lomond (NSW)	0	F	7
Ben Lomond (NSW)	0	M	3
Ben Lomond (NSW)	1	F	66
Ben Lomond (NSW)	1	M	75
Benandarah	0	F	6
Benandarah	0	M	13
Benandarah	1	F	64
Benandarah	1	M	80
Bendalong	0	F	7
Bendalong	0	M	9
Bendalong	1	F	30
Bendalong	1	M	39
Bendemeer	0	F	13
Bendemeer	0	M	17
Bendemeer	1	F	225
Bendemeer	1	M	230
Bendick Murrell	0	F	7
Bendick Murrell	0	M	3
Bendick Murrell	1	F	71
Bendick Murrell	1	M	80
Bendolba	0	F	5
Bendolba	0	M	3
Bendolba	1	F	104
Bendolba	1	M	99
Bendoura	0	F	4
Bendoura	1	F	33
Bendoura	1	M	32
Benerembah	0	F	6
Benerembah	0	M	3
Benerembah	1	F	56
Benerembah	1	M	66
Bengalla	1	F	11
Bengalla	1	M	9
Bennetts Green	1	F	7
Bennetts Green	1	M	9
Benolong	0	F	3
Benolong	0	M	4
Benolong	1	F	19
Benolong	1	M	17
Bensville	0	F	45
Bensville	0	M	72
Bensville	1	F	1230
Bensville	1	M	1190
Bentley (NSW)	0	F	3
Bentley (NSW)	0	M	3
Bentley (NSW)	1	F	96
Bentley (NSW)	1	M	92
Berala	0	F	105
Berala	0	M	135
Berala	1	F	4256
Berala	1	M	4551
Berambing	0	F	3
Berambing	0	M	3
Berambing	1	F	45
Berambing	1	M	50
Beresfield	0	F	64
Beresfield	0	M	102
Beresfield	1	F	1501
Beresfield	1	M	1519
Bergalia	0	F	11
Bergalia	0	M	9
Bergalia	1	F	71
Bergalia	1	M	76
Berkeley	0	F	137
Berkeley	0	M	144
Berkeley	1	F	3759
Berkeley	1	M	3560
Berkeley Vale	0	F	198
Berkeley Vale	0	M	215
Berkeley Vale	1	F	4150
Berkeley Vale	1	M	3794
Berkshire Park	0	F	15
Berkshire Park	0	M	15
Berkshire Park	1	F	780
Berkshire Park	1	M	1323
Bermagui	0	F	72
Bermagui	0	M	79
Bermagui	1	F	724
Bermagui	1	M	668
Berowra	0	F	93
Berowra	0	M	108
Berowra	1	F	2274
Berowra	1	M	2248
Berowra Creek	0	M	5
Berowra Creek	1	F	4
Berowra Creek	1	M	7
Berowra Heights	0	F	71
Berowra Heights	0	M	103
Berowra Heights	1	F	2602
Berowra Heights	1	M	2495
Berowra Waters	1	F	60
Berowra Waters	1	M	56
Berrambool	0	F	16
Berrambool	0	M	11
Berrambool	1	F	212
Berrambool	1	M	209
Berrara	0	F	20
Berrara	0	M	20
Berrara	1	F	137
Berrara	1	M	128
Berremangra	0	F	8
Berremangra	0	M	3
Berremangra	1	F	34
Berremangra	1	M	37
Berrico	0	M	3
Berrico	1	F	16
Berrico	1	M	13
Berridale	0	F	32
Berridale	0	M	40
Berridale	1	F	543
Berridale	1	M	584
Berrigal	1	F	17
Berrigal	1	M	14
Berrigan	0	F	42
Berrigan	0	M	49
Berrigan	1	F	586
Berrigan	1	M	583
Berrilee	0	F	9
Berrilee	0	M	10
Berrilee	1	F	99
Berrilee	1	M	106
Berrima	0	F	28
Berrima	0	M	28
