SSC_NAME16	MaxSchoolingCompleted	Sex	persons
Aarons Pass	Year 9	M	7
Aarons Pass	Year 10	M	4
Aarons Pass	Year 12	F	8
Abbotsbury	Did not go to school	F	43
Abbotsbury	Did not go to school	M	28
Abbotsbury	Year 8	F	110
Abbotsbury	Year 8	M	82
Abbotsbury	Year 9	F	81
Abbotsbury	Year 9	M	78
Abbotsbury	Year 10	F	402
Abbotsbury	Year 10	M	412
Abbotsbury	Year 11	F	94
Abbotsbury	Year 11	M	107
Abbotsbury	Year 12	F	1006
Abbotsbury	Year 12	M	937
Abbotsford (NSW)	Did not go to school	F	23
Abbotsford (NSW)	Did not go to school	M	10
Abbotsford (NSW)	Year 8	F	121
Abbotsford (NSW)	Year 8	M	88
Abbotsford (NSW)	Year 9	F	100
Abbotsford (NSW)	Year 9	M	89
Abbotsford (NSW)	Year 10	F	410
Abbotsford (NSW)	Year 10	M	324
Abbotsford (NSW)	Year 11	F	108
Abbotsford (NSW)	Year 11	M	97
Abbotsford (NSW)	Year 12	F	1468
Abbotsford (NSW)	Year 12	M	1332
Abercrombie	Year 8	F	11
Abercrombie	Year 8	M	17
Abercrombie	Year 9	F	25
Abercrombie	Year 9	M	21
Abercrombie	Year 10	F	100
Abercrombie	Year 10	M	122
Abercrombie	Year 11	F	35
Abercrombie	Year 11	M	44
Abercrombie	Year 12	F	238
Abercrombie	Year 12	M	191
Abercrombie River	Year 9	M	3
Abercrombie River	Year 10	M	3
Abercrombie River	Year 12	F	6
Abercrombie River	Year 12	M	4
Aberdare	Did not go to school	F	4
Aberdare	Did not go to school	M	5
Aberdare	Year 8	F	54
Aberdare	Year 8	M	77
Aberdare	Year 9	F	124
Aberdare	Year 9	M	106
Aberdare	Year 10	F	327
Aberdare	Year 10	M	367
Aberdare	Year 11	F	91
Aberdare	Year 11	M	92
Aberdare	Year 12	F	313
Aberdare	Year 12	M	223
Aberdeen (NSW)	Did not go to school	M	3
Aberdeen (NSW)	Year 8	F	46
Aberdeen (NSW)	Year 8	M	69
Aberdeen (NSW)	Year 9	F	108
Aberdeen (NSW)	Year 9	M	89
Aberdeen (NSW)	Year 10	F	276
Aberdeen (NSW)	Year 10	M	330
Aberdeen (NSW)	Year 11	F	54
Aberdeen (NSW)	Year 11	M	64
Aberdeen (NSW)	Year 12	F	232
Aberdeen (NSW)	Year 12	M	173
Aberfoyle	Year 8	M	3
Aberfoyle	Year 10	F	12
Aberfoyle	Year 10	M	10
Aberfoyle	Year 11	F	9
Aberfoyle	Year 11	M	3
Aberfoyle	Year 12	F	11
Aberfoyle	Year 12	M	19
Aberglasslyn	Did not go to school	F	3
Aberglasslyn	Year 8	F	45
Aberglasslyn	Year 8	M	58
Aberglasslyn	Year 9	F	170
Aberglasslyn	Year 9	M	165
Aberglasslyn	Year 10	F	698
Aberglasslyn	Year 10	M	700
Aberglasslyn	Year 11	F	170
Aberglasslyn	Year 11	M	200
Aberglasslyn	Year 12	F	889
Aberglasslyn	Year 12	M	682
Abermain	Year 8	F	61
Abermain	Year 8	M	73
Abermain	Year 9	F	136
Abermain	Year 9	M	131
Abermain	Year 10	F	357
Abermain	Year 10	M	396
Abermain	Year 11	F	70
Abermain	Year 11	M	80
Abermain	Year 12	F	243
Abermain	Year 12	M	184
Abernethy	Year 8	F	8
Abernethy	Year 8	M	7
Abernethy	Year 9	F	7
Abernethy	Year 9	M	6
Abernethy	Year 10	F	33
Abernethy	Year 10	M	54
Abernethy	Year 11	F	8
Abernethy	Year 11	M	12
Abernethy	Year 12	F	35
Abernethy	Year 12	M	17
Abington (NSW)	Year 10	M	4
Abington (NSW)	Year 12	F	3
Acacia Creek	Year 9	F	3
Acacia Creek	Year 9	M	3
Acacia Creek	Year 10	F	6
Acacia Creek	Year 10	M	8
Acacia Creek	Year 12	F	3
Acacia Creek	Year 12	M	3
Acacia Gardens	Did not go to school	F	13
Acacia Gardens	Did not go to school	M	6
Acacia Gardens	Year 8	F	39
Acacia Gardens	Year 8	M	19
Acacia Gardens	Year 9	F	61
Acacia Gardens	Year 9	M	54
Acacia Gardens	Year 10	F	231
Acacia Gardens	Year 10	M	232
Acacia Gardens	Year 11	F	81
Acacia Gardens	Year 11	M	89
Acacia Gardens	Year 12	F	1009
Acacia Gardens	Year 12	M	968
Adaminaby	Year 8	F	8
Adaminaby	Year 8	M	7
Adaminaby	Year 9	F	22
Adaminaby	Year 9	M	15
Adaminaby	Year 10	F	26
Adaminaby	Year 10	M	45
Adaminaby	Year 11	F	14
Adaminaby	Year 11	M	6
Adaminaby	Year 12	F	49
Adaminaby	Year 12	M	44
Adamstown	Did not go to school	F	5
Adamstown	Did not go to school	M	10
Adamstown	Year 8	F	94
Adamstown	Year 8	M	93
Adamstown	Year 9	F	164
Adamstown	Year 9	M	174
Adamstown	Year 10	F	645
Adamstown	Year 10	M	589
Adamstown	Year 11	F	141
Adamstown	Year 11	M	169
Adamstown	Year 12	F	1389
Adamstown	Year 12	M	1200
Adamstown Heights	Did not go to school	F	12
Adamstown Heights	Did not go to school	M	10
Adamstown Heights	Year 8	F	58
Adamstown Heights	Year 8	M	74
Adamstown Heights	Year 9	F	148
Adamstown Heights	Year 9	M	136
Adamstown Heights	Year 10	F	529
Adamstown Heights	Year 10	M	488
Adamstown Heights	Year 11	F	110
Adamstown Heights	Year 11	M	123
Adamstown Heights	Year 12	F	1186
Adamstown Heights	Year 12	M	1158
Adelong	Year 8	F	25
Adelong	Year 8	M	28
Adelong	Year 9	F	31
Adelong	Year 9	M	54
Adelong	Year 10	F	120
Adelong	Year 10	M	141
Adelong	Year 11	F	44
Adelong	Year 11	M	29
Adelong	Year 12	F	119
Adelong	Year 12	M	91
Adjungbilly	Year 8	M	3
Adjungbilly	Year 10	F	11
Adjungbilly	Year 10	M	12
Adjungbilly	Year 11	F	3
Adjungbilly	Year 12	F	11
Adjungbilly	Year 12	M	14
Afterlee	Year 9	M	3
Afterlee	Year 10	F	8
Afterlee	Year 10	M	6
Afterlee	Year 11	F	3
Afterlee	Year 12	F	5
Afterlee	Year 12	M	3
Agnes Banks	Year 8	F	14
Agnes Banks	Year 8	M	23
Agnes Banks	Year 9	F	25
Agnes Banks	Year 9	M	41
Agnes Banks	Year 10	F	99
Agnes Banks	Year 10	M	136
Agnes Banks	Year 11	F	33
Agnes Banks	Year 11	M	28
Agnes Banks	Year 12	F	140
Agnes Banks	Year 12	M	112
Airds	Did not go to school	F	21
Airds	Did not go to school	M	9
Airds	Year 8	F	127
Airds	Year 8	M	107
Airds	Year 9	F	151
Airds	Year 9	M	114
Airds	Year 10	F	348
Airds	Year 10	M	230
Airds	Year 11	F	100
Airds	Year 11	M	84
Airds	Year 12	F	314
Airds	Year 12	M	229
Akolele	Year 8	F	10
Akolele	Year 8	M	4
Akolele	Year 9	F	15
Akolele	Year 9	M	4
Akolele	Year 10	F	9
Akolele	Year 10	M	13
Akolele	Year 11	F	7
Akolele	Year 11	M	9
Akolele	Year 12	F	16
Akolele	Year 12	M	18
Albert	Year 8	F	3
Albert	Year 8	M	4
Albert	Year 10	F	8
Albert	Year 10	M	7
Albert	Year 12	F	16
Albert	Year 12	M	8
Albion Park	Did not go to school	F	17
Albion Park	Did not go to school	M	21
Albion Park	Year 8	F	236
Albion Park	Year 8	M	217
Albion Park	Year 9	F	461
Albion Park	Year 9	M	430
Albion Park	Year 10	F	1853
Albion Park	Year 10	M	1911
Albion Park	Year 11	F	426
Albion Park	Year 11	M	449
Albion Park	Year 12	F	2045
Albion Park	Year 12	M	1642
Albion Park Rail	Did not go to school	F	22
Albion Park Rail	Did not go to school	M	9
Albion Park Rail	Year 8	F	162
Albion Park Rail	Year 8	M	139
Albion Park Rail	Year 9	F	325
